Trial,Mean,Low,High,SE,Stimulus,,,,,,,,
1,3.612257256,3.462374967,3.762139544,0.149882289,ABC-,,,,,,,,
2,2.281270701,2.094309728,2.468231675,0.186960973,ABC-,,,,,,,,
3,2.281936658,2.076417726,2.487455589,0.205518932,ABC-,,,,,,,,
4,2.361469894,2.149363431,2.573576357,0.212106463,ABC-,,,,,,,,
5,1.955315919,1.77195727,2.138674568,0.183358649,ABC-,,,,,,,,
6,2.048759851,1.847475241,2.250044462,0.20128461,ABC-,,,,,,,,
7,2.065691557,1.862521965,2.268861149,0.203169592,ABC-,,,,,,,,
8,2.223967751,2.012363278,2.435572223,0.211604473,ABC-,,,,,,,,
9,2.043407419,1.848306169,2.23850867,0.19510125,ABC-,,,,,,,,
10,2.095355593,1.891274374,2.299436812,0.204081219,ABC-,,,,,,,,
11,2.485921617,2.278188854,2.69365438,0.207732763,ABC-,,,,,,,,
12,2.110796969,1.913115543,2.308478395,0.197681426,ABC-,,,,,,,,
13,2.116510883,1.918964364,2.314057401,0.197546519,ABC-,,,,,,,,
14,1.937314469,1.755492498,2.11913644,0.181821971,ABC-,,,,,,,,
15,2.103188755,1.898388503,2.307989007,0.204800252,ABC-,,,,,,,,
16,2.162008381,1.949906471,2.374110291,0.21210191,ABC-,,,,,,,,
17,2.185866318,1.981318891,2.390413744,0.204547427,ABC-,,,,,,,,
18,2.052079543,1.851500182,2.252658905,0.200579361,ABC-,,,,,,,,
19,2.108005886,1.901224716,2.314787056,0.20678117,ABC-,,,,,,,,
20,2.139033222,1.934015283,2.344051162,0.205017939,ABC-,,,,,,,,
21,NaN,NaN,NaN,NaN,ABC-,,,,,,,,
22,NaN,NaN,NaN,NaN,ABC-,,,,,,,,
23,NaN,NaN,NaN,NaN,ABC-,,,,,,,,
24,NaN,NaN,NaN,NaN,ABC-,,,,,,,,
25,NaN,NaN,NaN,NaN,ABC-,,,,,,,,
26,NaN,NaN,NaN,NaN,ABC-,,,,,,,,
27,NaN,NaN,NaN,NaN,ABC-,,,,,,,,
28,NaN,NaN,NaN,NaN,ABC-,,,,,,,,
29,NaN,NaN,NaN,NaN,ABC-,,,,,,,,
30,NaN,NaN,NaN,NaN,ABC-,,,,,,,,
31,NaN,NaN,NaN,NaN,ABC-,,,,,,,,
32,NaN,NaN,NaN,NaN,ABC-,,,,,,,,
33,NaN,NaN,NaN,NaN,ABC-,,,,,,,,
34,NaN,NaN,NaN,NaN,ABC-,,,,,,,,
35,NaN,NaN,NaN,NaN,ABC-,,,,,,,,
36,NaN,NaN,NaN,NaN,ABC-,,,,,,,,
37,NaN,NaN,NaN,NaN,ABC-,,,,,,,,
38,NaN,NaN,NaN,NaN,ABC-,,,,,,,,
39,NaN,NaN,NaN,NaN,ABC-,,,,,,,,
1,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
2,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
3,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
4,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
5,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
6,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
7,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
8,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
9,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
10,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
11,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
12,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
13,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
14,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
15,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
16,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
17,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
18,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
19,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
20,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
21,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
22,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
23,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
24,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
25,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
26,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
27,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
28,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
29,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
30,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
31,2.197560465,2.013257305,2.381863625,0.18430316,ABC-2,,,,,,,,
32,2.250156311,2.057909919,2.442402702,0.192246392,ABC-2,,,,,,,,
33,2.302752157,2.102562534,2.50294178,0.200189623,ABC-2,,,,,,,,
34,2.355348003,2.147215149,2.563480857,0.208132854,ABC-2,,,,,,,,
35,2.264434383,2.064439407,2.464429358,0.199994976,ABC-2,,,,,,,,
36,2.173520762,1.981663665,2.36537786,0.191857097,ABC-2,,,,,,,,
37,2.082607142,1.898887923,2.266326361,0.183719219,ABC-2,,,,,,,,
38,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
39,NaN,NaN,NaN,NaN,ABC-2,,,,,,,,
1,2.920053504,2.767053757,3.073053252,0.152999747,AB+,,,,,,,,
2,3.485314284,3.323903178,3.646725391,0.161411106,AB+,,,,,,,,
3,4.050575064,3.880752599,4.220397529,0.169822465,AB+,,,,,,,,
4,4.07804053,3.904155748,4.251925312,0.173884782,AB+,,,,,,,,
5,4.105505996,3.927558897,4.283453094,0.177947099,AB+,,,,,,,,
6,4.108853272,3.934806284,4.282900259,0.174046988,AB+,,,,,,,,
7,4.112200548,3.942053671,4.282347424,0.170146877,AB+,,,,,,,,
8,4.18705847,4.020496034,4.353620906,0.166562436,AB+,,,,,,,,
9,4.261916393,4.098938398,4.424894388,0.162977995,AB+,,,,,,,,
10,4.13886375,3.97087041,4.30685709,0.16799334,AB+,,,,,,,,
11,4.015811106,3.842802421,4.188819791,0.173008685,AB+,,,,,,,,
12,4.028806398,3.852013121,4.205599675,0.176793277,AB+,,,,,,,,
13,4.04180169,3.861223821,4.222379559,0.180577869,AB+,,,,,,,,
14,4.053826349,3.873352833,4.234299865,0.180473516,AB+,,,,,,,,
15,4.065851008,3.885481844,4.246220171,0.180369164,AB+,,,,,,,,
16,4.07218822,3.88886228,4.25551416,0.18332594,AB+,,,,,,,,
17,4.078525432,3.892242716,4.264808148,0.186282716,AB+,,,,,,,,
18,4.108706015,3.929271005,4.288141024,0.17943501,AB+,,,,,,,,
19,4.138886598,3.966299295,4.3114739,0.172587303,AB+,,,,,,,,
20,NaN,NaN,NaN,NaN,AB+,,,,,,,,
21,NaN,NaN,NaN,NaN,AB+,,,,,,,,
22,NaN,NaN,NaN,NaN,AB+,,,,,,,,
23,NaN,NaN,NaN,NaN,AB+,,,,,,,,
24,NaN,NaN,NaN,NaN,AB+,,,,,,,,
25,NaN,NaN,NaN,NaN,AB+,,,,,,,,
26,NaN,NaN,NaN,NaN,AB+,,,,,,,,
27,NaN,NaN,NaN,NaN,AB+,,,,,,,,
28,NaN,NaN,NaN,NaN,AB+,,,,,,,,
29,NaN,NaN,NaN,NaN,AB+,,,,,,,,
30,NaN,NaN,NaN,NaN,AB+,,,,,,,,
31,NaN,NaN,NaN,NaN,AB+,,,,,,,,
32,NaN,NaN,NaN,NaN,AB+,,,,,,,,
33,NaN,NaN,NaN,NaN,AB+,,,,,,,,
34,NaN,NaN,NaN,NaN,AB+,,,,,,,,
35,NaN,NaN,NaN,NaN,AB+,,,,,,,,
36,NaN,NaN,NaN,NaN,AB+,,,,,,,,
37,NaN,NaN,NaN,NaN,AB+,,,,,,,,
38,NaN,NaN,NaN,NaN,AB+,,,,,,,,
39,NaN,NaN,NaN,NaN,AB+,,,,,,,,
1,2.30058885,2.140950876,2.460226823,0.159637974,A+,,,,,,,,
2,2.962707215,2.782585917,3.142828514,0.180121298,A+,,,,,,,,
3,3.624825581,3.424220957,3.825430204,0.200604624,A+,,,,,,,,
4,3.859676396,3.674467162,4.04488563,0.185209234,A+,,,,,,,,
5,4.094527211,3.924713367,4.264341055,0.169813844,A+,,,,,,,,
6,4.233886944,4.075435604,4.392338284,0.15845134,A+,,,,,,,,
7,4.373246677,4.226157841,4.520335513,0.147088836,A+,,,,,,,,
8,4.37281877,4.224220827,4.521416713,0.148597943,A+,,,,,,,,
9,4.372390863,4.222283812,4.522497913,0.150107051,A+,,,,,,,,
10,4.187769185,4.026344344,4.349194027,0.161424841,A+,,,,,,,,
11,4.003147508,3.830404875,4.175890141,0.172742633,A+,,,,,,,,
12,4.099519917,3.928644645,4.270395189,0.170875272,A+,,,,,,,,
13,4.195892326,4.026884415,4.364900237,0.169007911,A+,,,,,,,,
14,4.293720748,4.134070333,4.453371163,0.159650415,A+,,,,,,,,
15,4.39154917,4.241256251,4.541842089,0.150292919,A+,,,,,,,,
16,4.387841231,4.237837935,4.537844528,0.150003296,A+,,,,,,,,
17,4.384133293,4.23441962,4.533846966,0.149713673,A+,,,,,,,,
18,4.32509846,4.162135155,4.488061765,0.162963305,A+,,,,,,,,
19,4.266063627,4.08985069,4.442276564,0.176212937,A+,,,,,,,,
20,NaN,NaN,NaN,NaN,A+,,,,,,,,
21,NaN,NaN,NaN,NaN,A+,,,,,,,,
22,NaN,NaN,NaN,NaN,A+,,,,,,,,
23,NaN,NaN,NaN,NaN,A+,,,,,,,,
24,NaN,NaN,NaN,NaN,A+,,,,,,,,
25,NaN,NaN,NaN,NaN,A+,,,,,,,,
26,NaN,NaN,NaN,NaN,A+,,,,,,,,
27,NaN,NaN,NaN,NaN,A+,,,,,,,,
28,NaN,NaN,NaN,NaN,A+,,,,,,,,
29,NaN,NaN,NaN,NaN,A+,,,,,,,,
30,NaN,NaN,NaN,NaN,A+,,,,,,,,
31,NaN,NaN,NaN,NaN,A+,,,,,,,,
32,NaN,NaN,NaN,NaN,A+,,,,,,,,
33,NaN,NaN,NaN,NaN,A+,,,,,,,,
34,NaN,NaN,NaN,NaN,A+,,,,,,,,
35,NaN,NaN,NaN,NaN,A+,,,,,,,,
36,NaN,NaN,NaN,NaN,A+,,,,,,,,
37,NaN,NaN,NaN,NaN,A+,,,,,,,,
38,NaN,NaN,NaN,NaN,A+,,,,,,,,
39,NaN,NaN,NaN,NaN,A+,,,,,,,,
1,NaN,NaN,NaN,NaN,A+2,,,,,,,,
2,NaN,NaN,NaN,NaN,A+2,,,,,,,,
3,NaN,NaN,NaN,NaN,A+2,,,,,,,,
4,NaN,NaN,NaN,NaN,A+2,,,,,,,,
5,NaN,NaN,NaN,NaN,A+2,,,,,,,,
6,NaN,NaN,NaN,NaN,A+2,,,,,,,,
7,NaN,NaN,NaN,NaN,A+2,,,,,,,,
8,NaN,NaN,NaN,NaN,A+2,,,,,,,,
9,NaN,NaN,NaN,NaN,A+2,,,,,,,,
10,NaN,NaN,NaN,NaN,A+2,,,,,,,,
11,NaN,NaN,NaN,NaN,A+2,,,,,,,,
12,NaN,NaN,NaN,NaN,A+2,,,,,,,,
13,NaN,NaN,NaN,NaN,A+2,,,,,,,,
14,NaN,NaN,NaN,NaN,A+2,,,,,,,,
15,NaN,NaN,NaN,NaN,A+2,,,,,,,,
16,NaN,NaN,NaN,NaN,A+2,,,,,,,,
17,NaN,NaN,NaN,NaN,A+2,,,,,,,,
18,NaN,NaN,NaN,NaN,A+2,,,,,,,,
19,NaN,NaN,NaN,NaN,A+2,,,,,,,,
20,NaN,NaN,NaN,NaN,A+2,,,,,,,,
21,NaN,NaN,NaN,NaN,A+2,,,,,,,,
22,NaN,NaN,NaN,NaN,A+2,,,,,,,,
23,NaN,NaN,NaN,NaN,A+2,,,,,,,,
24,NaN,NaN,NaN,NaN,A+2,,,,,,,,
25,NaN,NaN,NaN,NaN,A+2,,,,,,,,
26,NaN,NaN,NaN,NaN,A+2,,,,,,,,
27,NaN,NaN,NaN,NaN,A+2,,,,,,,,
28,NaN,NaN,NaN,NaN,A+2,,,,,,,,
29,NaN,NaN,NaN,NaN,A+2,,,,,,,,
30,NaN,NaN,NaN,NaN,A+2,,,,,,,,
31,4.431693048,4.318194916,4.54519118,0.113498132,A+2,,4.431693048,4.420577445,4.409461842,4.398346239,4.456804133,4.515262026,4.57371992
32,4.420577445,4.297729059,4.543425831,0.122848386,A+2,,4.318194916,4.297729059,4.277263201,4.256797344,4.325807944,4.394818544,4.463829144
33,4.409461842,4.277263201,4.541660483,0.132198641,A+2,,4.54519118,4.543425831,4.541660483,4.539895134,4.587800321,4.635705509,4.683610696
34,4.398346239,4.256797344,4.539895134,0.141548895,A+2,,,,,,,,
35,4.456804133,4.325807944,4.587800321,0.130996189,A+2,,,,,,,,
36,4.515262026,4.394818544,4.635705509,0.120443482,A+2,,,,,,,,
37,4.57371992,4.463829144,4.683610696,0.109890776,A+2,,,,,,,,
38,NaN,NaN,NaN,NaN,A+2,,,,,,,,
39,NaN,NaN,NaN,NaN,A+2,,,,,,,,
1,3.655133258,3.529002311,3.781264204,0.126130947,BC+,,,,,,,,
2,4.66688304,4.591716834,4.742049247,0.075166206,BC+,,,,,,,,
3,4.663302834,4.563731669,4.762873998,0.099571165,BC+,,,,,,,,
4,4.663205735,4.554610264,4.771801207,0.108595471,BC+,,,,,,,,
5,4.689036708,4.588662002,4.789411415,0.100374706,BC+,,,,,,,,
6,3.710350288,3.541885753,3.878814823,0.168464535,BC+,,,,,,,,
7,4.0365268,3.862582014,4.210471586,0.173944786,BC+,,,,,,,,
8,4.024114087,3.842037975,4.206190199,0.182076112,BC+,,,,,,,,
9,4.182793488,4.013141036,4.352445939,0.169652452,BC+,,,,,,,,
10,4.20188352,4.029443704,4.374323337,0.172439816,BC+,,,,,,,,
11,4.001287903,3.836199136,4.166376669,0.165088767,BC+,,,,,,,,
12,4.087169813,3.930364244,4.243975383,0.156805569,BC+,,,,,,,,
13,4.173051724,4.024529352,4.321574096,0.148522372,BC+,,,,,,,,
14,4.157773634,3.995878119,4.319669149,0.161895515,BC+,,,,,,,,
15,4.142495544,3.967226887,4.317764202,0.175268657,BC+,,,,,,,,
16,4.169926618,4.000134005,4.339719231,0.169792613,BC+,,,,,,,,
17,4.197357691,4.033041122,4.36167426,0.164316569,BC+,,,,,,,,
18,4.09180119,3.91649153,4.267110851,0.17530966,BC+,,,,,,,,
19,3.986244689,3.799941937,4.172547441,0.186302752,BC+,,,,,,,,
20,NaN,NaN,NaN,NaN,BC+,,,,,,,,
21,NaN,NaN,NaN,NaN,BC+,,,,,,,,
22,NaN,NaN,NaN,NaN,BC+,,,,,,,,
23,NaN,NaN,NaN,NaN,BC+,,,,,,,,
24,NaN,NaN,NaN,NaN,BC+,,,,,,,,
25,NaN,NaN,NaN,NaN,BC+,,,,,,,,
26,NaN,NaN,NaN,NaN,BC+,,,,,,,,
27,NaN,NaN,NaN,NaN,BC+,,,,,,,,
28,NaN,NaN,NaN,NaN,BC+,,,,,,,,
29,NaN,NaN,NaN,NaN,BC+,,,,,,,,
30,NaN,NaN,NaN,NaN,BC+,,,,,,,,
31,NaN,NaN,NaN,NaN,BC+,,,,,,,,
32,NaN,NaN,NaN,NaN,BC+,,,,,,,,
33,NaN,NaN,NaN,NaN,BC+,,,,,,,,
34,NaN,NaN,NaN,NaN,BC+,,,,,,,,
35,NaN,NaN,NaN,NaN,BC+,,,,,,,,
36,NaN,NaN,NaN,NaN,BC+,,,,,,,,
37,NaN,NaN,NaN,NaN,BC+,,,,,,,,
38,NaN,NaN,NaN,NaN,BC+,,,,,,,,
39,NaN,NaN,NaN,NaN,BC+,,,,,,,,
1,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
2,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
3,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
4,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
5,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
6,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
7,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
8,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
9,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
10,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
11,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
12,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
13,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
14,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
15,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
16,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
17,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
18,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
19,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
20,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
21,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
22,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
23,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
24,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
25,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
26,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
27,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
28,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
29,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
30,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
31,3.781448282,3.596339596,3.966556968,0.185108686,BC+2,,,,,,,,
32,3.846864407,3.663479582,4.030249232,0.183384825,BC+2,,,,,,,,
33,3.912280533,3.730619569,4.093941496,0.181660964,BC+2,,,,,,,,
34,3.977696658,3.797759555,4.15763376,0.179937103,BC+2,,,,,,,,
35,4.000755132,3.822556703,4.17895356,0.178198429,BC+2,,,,,,,,
36,4.023813606,3.847353852,4.200273359,0.176459754,BC+2,,,,,,,,
37,4.046872079,3.872151,4.221593159,0.174721079,BC+2,,,,,,,,
38,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
39,NaN,NaN,NaN,NaN,BC+2,,,,,,,,
1,2.614808794,2.480856618,2.74876097,0.133952176,B-,,,,,,,,
2,1.445065158,1.346013957,1.544116359,0.099051201,B-,,,,,,,,
3,1.531604572,1.393022068,1.670187076,0.138582504,B-,,,,,,,,
4,1.350010613,1.244457319,1.455563907,0.105553294,B-,,,,,,,,
5,1.366121887,1.260312219,1.471931556,0.105809668,B-,,,,,,,,
6,1.961573431,1.80960925,2.113537611,0.151964181,B-,,,,,,,,
7,1.950519257,1.770624847,2.130413668,0.17989441,B-,,,,,,,,
8,1.770678087,1.605092564,1.93626361,0.165585523,B-,,,,,,,,
9,1.651936603,1.50783708,1.796036126,0.144099523,B-,,,,,,,,
10,1.57110222,1.435173274,1.707031166,0.135928946,B-,,,,,,,,
11,1.788199527,1.63963149,1.936767564,0.148568037,B-,,,,,,,,
