Trial,Mean,Low,High,SE,Stimulus
1,NaN,NaN,NaN,NaN,TJK-
2,NaN,NaN,NaN,NaN,TJK-
3,NaN,NaN,NaN,NaN,TJK-
4,NaN,NaN,NaN,NaN,TJK-
5,NaN,NaN,NaN,NaN,TJK-
6,NaN,NaN,NaN,NaN,TJK-
7,NaN,NaN,NaN,NaN,TJK-
8,NaN,NaN,NaN,NaN,TJK-
9,NaN,NaN,NaN,NaN,TJK-
10,NaN,NaN,NaN,NaN,TJK-
11,NaN,NaN,NaN,NaN,TJK-
12,NaN,NaN,NaN,NaN,TJK-
13,NaN,NaN,NaN,NaN,TJK-
14,NaN,NaN,NaN,NaN,TJK-
15,NaN,NaN,NaN,NaN,TJK-
16,NaN,NaN,NaN,NaN,TJK-
17,NaN,NaN,NaN,NaN,TJK-
18,NaN,NaN,NaN,NaN,TJK-
19,NaN,NaN,NaN,NaN,TJK-
20,NaN,NaN,NaN,NaN,TJK-
21,3.373507093,3.240571317,3.50644287,0.132935777,TJK-
22,2.679807126,2.459400246,2.900214005,0.220406879,TJK-
23,2.559549737,2.345405039,2.773694435,0.214144698,TJK-
24,2.208630513,2.006387781,2.410873245,0.202242732,TJK-
25,2.230392061,2.024427758,2.436356365,0.205964304,TJK-
26,2.314995151,2.105326182,2.52466412,0.209668969,TJK-
27,2.571971313,2.353811848,2.790130779,0.218159466,TJK-
28,2.467034586,2.244800626,2.689268546,0.22223396,TJK-
29,2.588750603,2.366569848,2.810931358,0.222180755,TJK-
30,2.325472108,2.118782127,2.532162089,0.206689981,TJK-
31,2.662068869,2.454790629,2.869347108,0.207278239,TJK-
32,2.412489115,2.196576975,2.628401255,0.21591214,TJK-
33,2.490659502,2.270134981,2.711184023,0.220524521,TJK-
34,2.624662504,2.406030552,2.843294455,0.218631951,TJK-
35,2.53753029,2.319559433,2.755501147,0.217970857,TJK-
36,2.375671095,2.166668074,2.584674116,0.209003021,TJK-
37,2.346277003,2.136109312,2.556444694,0.210167691,TJK-
38,2.394154757,2.181260012,2.607049502,0.212894745,TJK-
39,2.298194713,2.08588302,2.510506405,0.212311692,TJK-
1,NaN,NaN,NaN,NaN,TJ+
2,NaN,NaN,NaN,NaN,TJ+
3,NaN,NaN,NaN,NaN,TJ+
4,NaN,NaN,NaN,NaN,TJ+
5,NaN,NaN,NaN,NaN,TJ+
6,NaN,NaN,NaN,NaN,TJ+
7,NaN,NaN,NaN,NaN,TJ+
8,NaN,NaN,NaN,NaN,TJ+
9,NaN,NaN,NaN,NaN,TJ+
10,NaN,NaN,NaN,NaN,TJ+
11,NaN,NaN,NaN,NaN,TJ+
12,NaN,NaN,NaN,NaN,TJ+
13,NaN,NaN,NaN,NaN,TJ+
14,NaN,NaN,NaN,NaN,TJ+
15,NaN,NaN,NaN,NaN,TJ+
16,NaN,NaN,NaN,NaN,TJ+
17,NaN,NaN,NaN,NaN,TJ+
18,NaN,NaN,NaN,NaN,TJ+
19,NaN,NaN,NaN,NaN,TJ+
20,NaN,NaN,NaN,NaN,TJ+
21,3.269779424,3.136596672,3.402962177,0.133182753,TJ+
22,3.685309798,3.533445105,3.83717449,0.151864692,TJ+
23,4.100840171,3.930293538,4.271386803,0.170546632,TJ+
24,4.105909826,3.936490174,4.275329476,0.16941965,TJ+
25,4.11097948,3.942686811,4.27927215,0.16829267,TJ+
26,4.165434934,4.00515436,4.325715507,0.160280573,TJ+
27,4.219890387,4.06762191,4.372158864,0.152268477,TJ+
28,4.346296499,4.211735499,4.480857499,0.134561,TJ+
29,4.472702611,4.355849088,4.589556134,0.116853523,TJ+
30,NaN,NaN,NaN,NaN,TJ+
31,NaN,NaN,NaN,NaN,TJ+
32,NaN,NaN,NaN,NaN,TJ+
33,NaN,NaN,NaN,NaN,TJ+
34,NaN,NaN,NaN,NaN,TJ+
35,NaN,NaN,NaN,NaN,TJ+
36,NaN,NaN,NaN,NaN,TJ+
37,NaN,NaN,NaN,NaN,TJ+
38,NaN,NaN,NaN,NaN,TJ+
