Trial,Mean,Low,High,SE,Stimulus
1,3.188316172,3.096448937,3.280183407,0.091867235,G+
2,4.439904359,4.325220755,4.554587963,0.114683604,G+
3,4.606967162,4.501541735,4.712392589,0.105425427,G+
4,4.697586604,4.604880633,4.790292575,0.092705971,G+
5,4.611215054,4.487316014,4.735114095,0.123899041,G+
6,4.740100808,4.656563122,4.823638493,0.083537685,G+
7,4.645053535,4.530932494,4.759174576,0.114121041,G+
8,4.703124078,4.598719086,4.80752907,0.104404992,G+
9,4.587045721,4.460360423,4.713731019,0.126685298,G+
10,4.68893319,4.582868672,4.794997707,0.106064517,G+
11,4.359541085,4.215628288,4.503453883,0.143912798,G+
12,4.705087254,4.611464034,4.798710474,0.09362322,G+
13,4.680729202,4.578074159,4.783384245,0.102655043,G+
14,4.551835071,4.421868783,4.681801359,0.129966288,G+
15,4.701594553,4.608544827,4.794644279,0.093049726,G+
16,4.641234829,4.531384654,4.751085004,0.109850175,G+
17,4.582955436,4.464716446,4.701194425,0.118238989,G+
18,4.739434277,4.6575751,4.821293455,0.081859178,G+
19,4.721283503,4.630013396,4.81255361,0.091270107,G+
20,4.706239557,4.611884825,4.800594289,0.094354732,G+
21,NaN,NaN,NaN,NaN,G+
22,NaN,NaN,NaN,NaN,G+
23,NaN,NaN,NaN,NaN,G+
24,NaN,NaN,NaN,NaN,G+
25,NaN,NaN,NaN,NaN,G+
26,NaN,NaN,NaN,NaN,G+
27,NaN,NaN,NaN,NaN,G+
28,NaN,NaN,NaN,NaN,G+
29,NaN,NaN,NaN,NaN,G+
30,NaN,NaN,NaN,NaN,G+
31,NaN,NaN,NaN,NaN,G+
32,NaN,NaN,NaN,NaN,G+
33,NaN,NaN,NaN,NaN,G+
34,NaN,NaN,NaN,NaN,G+
35,NaN,NaN,NaN,NaN,G+
36,NaN,NaN,NaN,NaN,G+
37,NaN,NaN,NaN,NaN,G+
38,NaN,NaN,NaN,NaN,G+
39,NaN,NaN,NaN,NaN,G+
1,2.987855238,2.874493076,3.1012174,0.113362162,H-
2,1.636267846,1.493868426,1.778667265,0.142399419,H-
3,1.499609541,1.370570806,1.628648276,0.129038735,H-
4,1.34969612,1.237926032,1.461466207,0.111770087,H-
5,1.519947564,1.373399724,1.666495403,0.146547839,H-
6,1.453442001,1.325931145,1.580952856,0.127510855,H-
7,1.346632179,1.238327854,1.454936505,0.108304326,H-
