Participant,Stimulus,US Exp,BorderColor
101,BC+,4.975835906,#b3de69
102,BC+,4.555634442,#b3de69
103,BC+,4.993141289,#b3de69
104,BC+,4.695601852,#b3de69
105,BC+,4.75308642,#b3de69
106,BC+,4.972565158,#b3de69
107,BC+,4.642013531,#b3de69
108,BC+,4.958252112,#b3de69
109,BC+,4.984910837,#b3de69
110,BC+,4.928929997,#b3de69
111,BC+,1.130398769,#b3de69
112,BC+,3.820499904,#b3de69
113,BC+,4.303266461,#b3de69
114,BC+,4.435956249,#b3de69
115,BC+,2.873799726,#b3de69
116,BC+,1.043981481,#b3de69
117,BC+,4.981258367,#b3de69
118,BC+,4.41852602,#b3de69
119,BC+,4.722890948,#b3de69
120,BC+,3.414312618,#b3de69
121,BC+,4.971450618,#b3de69
122,BC+,4.923225309,#b3de69
123,BC+,3.539094849,#b3de69
124,BC+,5,#b3de69
125,BC+,4.965713863,#b3de69
126,BC+,4.882030136,#b3de69
127,BC+,1.289711934,#b3de69
128,BC+,4.987654321,#b3de69
129,BC+,4.286651235,#b3de69
130,BC+,2.457232621,#b3de69
131,BC+,4.754458162,#b3de69
132,BC+,4.961805556,#b3de69
133,BC+,3.33744856,#b3de69
134,BC+,2.389159514,#b3de69
135,BC+,3.005486968,#b3de69
136,BC+,1.51989026,#b3de69
137,BC+,1.159722222,#b3de69
138,BC+,3.023319825,#b3de69
139,BC+,4.983024692,#b3de69
140,BC+,3.543981482,#b3de69
141,BC+,3.422496571,#b3de69
142,BC+,3.655618944,#b3de69
143,BC+,2.840882201,#b3de69
144,BC+,2.209876543,#b3de69
145,BC+,4.961591221,#b3de69
146,BC+,2.204545454,#b3de69
147,BC+,4.982167353,#b3de69
148,BC+,4.927957819,#b3de69
149,BC+,3.572916667,#b3de69
150,BC+,4.892447916,#b3de69
151,BC+,1.256515796,#b3de69
152,BC+,4.948822317,#b3de69
153,BC+,3.328270717,#b3de69
154,BC+,4.975255939,#b3de69
155,BC+,4.976781121,#b3de69
156,BC+,3.966435185,#b3de69
157,BC+,5,#b3de69
158,BC+,4.895897634,#b3de69
101,BH,2.991100823,#e41a1c
102,BH,2.19220605,#e41a1c
103,BH,2.853223594,#e41a1c
104,BH,1.319830247,#e41a1c
105,BH,3.285545268,#e41a1c
106,BH,3.252400549,#e41a1c
107,BH,1.3167068,#e41a1c
108,BH,3.356562703,#e41a1c
109,BH,1.005486968,#e41a1c
110,BH,1.880588166,#e41a1c
111,BH,1.113832683,#e41a1c
112,BH,3.668395282,#e41a1c
113,BH,1.310603138,#e41a1c
114,BH,3.012806551,#e41a1c
115,BH,1.131687243,#e41a1c
116,BH,1.043981481,#e41a1c
117,BH,2.387636014,#e41a1c
118,BH,2.943222736,#e41a1c
119,BH,1.143069833,#e41a1c
120,BH,3.355125101,#e41a1c
121,BH,4.975308642,#e41a1c
122,BH,2.969135803,#e41a1c
123,BH,1.207133101,#e41a1c
124,BH,2.964030936,#e41a1c
125,BH,4.965713863,#e41a1c
126,BH,2.351166044,#e41a1c
127,BH,1.266666667,#e41a1c
128,BH,3.006858711,#e41a1c
129,BH,2.96720679,#e41a1c
130,BH,1,#e41a1c
131,BH,1.55829904,#e41a1c
132,BH,4.967592593,#e41a1c
133,BH,1.942386831,#e41a1c
134,BH,3.111343076,#e41a1c
135,BH,1.038408779,#e41a1c
136,BH,1.975308642,#e41a1c
137,BH,1.175154321,#e41a1c
138,BH,1.080932868,#e41a1c
139,BH,2.982638889,#e41a1c
140,BH,1.331404321,#e41a1c
141,BH,2.473251029,#e41a1c
142,BH,1.688762112,#e41a1c
143,BH,1.289371142,#e41a1c
144,BH,1.277091907,#e41a1c
145,BH,1.685871056,#e41a1c
146,BH,1.066077441,#e41a1c
147,BH,2.987654321,#e41a1c
148,BH,3.761149691,#e41a1c
149,BH,1.831018519,#e41a1c
150,BH,2.954036458,#e41a1c
151,BH,1.341563817,#e41a1c
152,BH,1.051983478,#e41a1c
153,BH,3.68212097,#e41a1c
154,BH,1,#e41a1c
155,BH,2.350462963,#e41a1c
156,BH,1.101851852,#e41a1c
157,BH,1,#e41a1c
158,BH,2.362390689,#e41a1c
101,H-,1.013882459,#e41a1c
102,H-,1.415966552,#e41a1c
103,H-,1.024691358,#e41a1c
104,H-,1.138503087,#e41a1c
105,H-,1.010776749,#e41a1c
106,H-,1.046639232,#e41a1c
107,H-,1.315177923,#e41a1c
108,H-,1.044996751,#e41a1c
109,H-,1.004115226,#e41a1c
110,H-,1.078975454,#e41a1c
111,H-,1.144598272,#e41a1c
112,H-,3.69634847,#e41a1c
113,H-,1.300758745,#e41a1c
114,H-,1.020870715,#e41a1c
115,H-,1.208504801,#e41a1c
116,H-,1.043981481,#e41a1c
117,H-,1.022860674,#e41a1c
118,H-,1.193833591,#e41a1c
119,H-,1.124384939,#e41a1c
120,H-,2.48524796,#e41a1c
121,H-,1.013117284,#e41a1c
122,H-,1.045910494,#e41a1c
123,H-,1.204389659,#e41a1c
124,H-,1,#e41a1c
125,H-,4.965713863,#e41a1c
126,H-,1.060356684,#e41a1c
127,H-,1.251851852,#e41a1c
128,H-,1.009602195,#e41a1c
129,H-,1.040123457,#e41a1c
130,H-,1,#e41a1c
131,H-,1.588477366,#e41a1c
132,H-,4.967592593,#e41a1c
133,H-,1.048010974,#e41a1c
134,H-,2.849996134,#e41a1c
135,H-,1.0521262,#e41a1c
136,H-,1.688614541,#e41a1c
137,H-,1.15779321,#e41a1c
138,H-,1.0877916,#e41a1c
139,H-,1.009259259,#e41a1c
140,H-,1.217592593,#e41a1c
141,H-,1.95473251,#e41a1c
142,H-,1.036765372,#e41a1c
143,H-,1.200990226,#e41a1c
144,H-,1.101508916,#e41a1c
145,H-,1.034293553,#e41a1c
146,H-,1.026094276,#e41a1c
147,H-,1,#e41a1c
148,H-,1.025784465,#e41a1c
149,H-,1.020833333,#e41a1c
150,H-,1.033777006,#e41a1c
151,H-,1.341563817,#e41a1c
152,H-,1.050055305,#e41a1c
153,H-,4.398347988,#e41a1c
154,H-,1.01209534,#e41a1c
155,H-,1.019341564,#e41a1c
156,H-,1.109567901,#e41a1c
157,H-,1,#e41a1c
158,H-,1.024717078,#e41a1c
