Participant,Stimulus,US Exp,BorderColor
101,JK+,4.988805299,#80b1d3
102,JK+,4.906046622,#80b1d3
103,JK+,4.969821673,#80b1d3
104,JK+,3.692515432,#80b1d3
105,JK+,4.733320473,#80b1d3
106,JK+,4.971193416,#80b1d3
107,JK+,4.637426901,#80b1d3
108,JK+,4.93388564,#80b1d3
109,JK+,4.983539095,#80b1d3
110,JK+,4.930511087,#80b1d3
111,JK+,4.808070051,#80b1d3
112,JK+,3.470166774,#80b1d3
113,JK+,4.291988169,#80b1d3
114,JK+,4.405293382,#80b1d3
115,JK+,2.26611797,#80b1d3
116,JK+,4.930941358,#80b1d3
117,JK+,4.953798098,#80b1d3
118,JK+,4.781421468,#80b1d3
119,JK+,4.713620174,#80b1d3
120,JK+,3.387409201,#80b1d3
121,JK+,4.969521605,#80b1d3
122,JK+,4.915509259,#80b1d3
123,JK+,4.786008189,#80b1d3
124,JK+,5,#80b1d3
125,JK+,4.959762266,#80b1d3
126,JK+,4.961591221,#80b1d3
127,JK+,4.705349794,#80b1d3
128,JK+,4.984910837,#80b1d3
129,JK+,4.961805556,#80b1d3
130,JK+,2.305013496,#80b1d3
131,JK+,3.296296296,#80b1d3
132,JK+,4.956018518,#80b1d3
133,JK+,4.975308642,#80b1d3
134,JK+,3.19175752,#80b1d3
135,JK+,4.835390947,#80b1d3
136,JK+,4.310013718,#80b1d3
137,JK+,4.846064815,#80b1d3
138,JK+,4.539094776,#80b1d3
139,JK+,4.990740741,#80b1d3
140,JK+,2.81867284,#80b1d3
141,JK+,4.478737997,#80b1d3
142,JK+,3.354976003,#80b1d3
143,JK+,3.394135803,#80b1d3
144,JK+,4.609053498,#80b1d3
145,JK+,4.975308642,#80b1d3
146,JK+,3.696548822,#80b1d3
147,JK+,4.98079561,#80b1d3
148,JK+,4.983198302,#80b1d3
149,JK+,4.983024692,#80b1d3
150,JK+,4.9453125,#80b1d3
151,JK+,4.849108619,#80b1d3
152,JK+,4.92375606,#80b1d3
153,JK+,3.543565148,#80b1d3
154,JK+,5,#80b1d3
155,JK+,4.955047582,#80b1d3
156,JK+,1.088348766,#80b1d3
157,JK+,5,#80b1d3
158,JK+,4.968389918,#80b1d3
101,JH,3.119830247,#e41a1c
102,JH,1.546917525,#e41a1c
103,JH,1.864197531,#e41a1c
104,JH,1.288966049,#e41a1c
105,JH,3.015342078,#e41a1c
106,JH,3.997256516,#e41a1c
107,JH,1.315177923,#e41a1c
108,JH,2.131741391,#e41a1c
109,JH,1.008230453,#e41a1c
110,JH,2.427645362,#e41a1c
111,JH,1.061767838,#e41a1c
112,JH,3.324006609,#e41a1c
113,JH,1.262062757,#e41a1c
114,JH,2.992664008,#e41a1c
115,JH,1.139917695,#e41a1c
116,JH,1.032407407,#e41a1c
