Participant,Stimulus,US Exp,BorderColor
101,G+,4.987313529,#33a02c
102,G+,4.401175403,#33a02c
103,G+,4.982167353,#33a02c
104,G+,4.701388889,#33a02c
105,G+,4.815303498,#33a02c
106,G+,4.972565158,#33a02c
107,G+,4.70622635,#33a02c
108,G+,4.973684211,#33a02c
109,G+,4.982167353,#33a02c
110,G+,4.935254358,#33a02c
111,G+,3.042598509,#33a02c
112,G+,4.70587909,#33a02c
113,G+,4.490965792,#33a02c
114,G+,4.958033008,#33a02c
115,G+,4.809327846,#33a02c
116,G+,4.961805556,#33a02c
117,G+,4.812377716,#33a02c
118,G+,4.532123414,#33a02c
119,G+,4.694679849,#33a02c
120,G+,2.996412878,#33a02c
121,G+,4.977237655,#33a02c
122,G+,4.940586419,#33a02c
123,G+,1.281207196,#33a02c
124,G+,5,#33a02c
125,G+,4.953886091,#33a02c
126,G+,4.942386915,#33a02c
127,G+,4.665843621,#33a02c
128,G+,4.979423868,#33a02c
129,G+,4.959876543,#33a02c
130,G+,5,#33a02c
131,G+,4.359396433,#33a02c
132,G+,4.967592593,#33a02c
133,G+,4.986282579,#33a02c
134,G+,2.191216268,#33a02c
135,G+,4.943758573,#33a02c
136,G+,4.412894376,#33a02c
137,G+,4.763117284,#33a02c
138,G+,4.609053749,#33a02c
139,G+,4.983024692,#33a02c
140,G+,4.894290123,#33a02c
141,G+,4.596707819,#33a02c
142,G+,4.963234628,#33a02c
143,G+,4.779243827,#33a02c
144,G+,4.894375857,#33a02c
145,G+,4.968449931,#33a02c
146,G+,4.967592593,#33a02c
147,G+,4.982167352,#33a02c
148,G+,4.946341306,#33a02c
149,G+,4.994598766,#33a02c
150,G+,4.857527971,#33a02c
151,G+,2.93827171,#33a02c
152,G+,3.643448792,#33a02c
153,G+,4.078603784,#33a02c
154,G+,5,#33a02c
155,G+,4.966332305,#33a02c
156,G+,4.815200617,#33a02c
157,G+,5,#33a02c
158,G+,4.979873971,#33a02c
101,AG,2.893383488,#33a02c
102,AG,4.216424092,#33a02c
103,AG,3.691358025,#33a02c
104,AG,3.530478395,#33a02c
105,AG,3.020556842,#33a02c
106,AG,4.31138546,#33a02c
107,AG,4.6832932,#33a02c
