Participant,Stimulus,US Exp,BorderColor
101,G+,4.992431842,#33a02c
102,G+,5,#33a02c
103,G+,4.983539094,#33a02c
104,G+,4.714891975,#33a02c
105,G+,4.958101852,#33a02c
106,G+,4.942386831,#33a02c
107,G+,4.834706718,#33a02c
108,G+,4.95662768,#33a02c
109,G+,4.987654321,#33a02c
110,G+,4.935254358,#33a02c
111,G+,2.950301739,#33a02c
112,G+,4.860330011,#33a02c
113,G+,4.431430041,#33a02c
114,G+,4.962766294,#33a02c
115,G+,4.695473251,#33a02c
116,G+,4.959876543,#33a02c
117,G+,4.985377407,#33a02c
118,G+,4.658961334,#33a02c
119,G+,4.947544592,#33a02c
120,G+,2.695094611,#33a02c
121,G+,4.965663581,#33a02c
122,G+,4.913580247,#33a02c
123,G+,1.175583043,#33a02c
124,G+,5,#33a02c
125,G+,4.957691548,#33a02c
126,G+,4.943758532,#33a02c
127,G+,4.776131687,#33a02c
128,G+,4.994513032,#33a02c
129,G+,4.97337963,#33a02c
130,G+,5,#33a02c
131,G+,4.562414266,#33a02c
132,G+,4.963734568,#33a02c
133,G+,4.533607682,#33a02c
134,G+,2.302559344,#33a02c
135,G+,4.935528121,#33a02c
136,G+,4.61042524,#33a02c
137,G+,4.861496914,#33a02c
138,G+,4.905349794,#33a02c
139,G+,4.981095679,#33a02c
140,G+,4.795910494,#33a02c
141,G+,4.801097394,#33a02c
142,G+,4.970479037,#33a02c
143,G+,4.292740484,#33a02c
144,G+,4.873799726,#33a02c
145,G+,4.968449931,#33a02c
146,G+,4.952861953,#33a02c
147,G+,4.98079561,#33a02c
148,G+,4.988554527,#33a02c
149,G+,4.969521605,#33a02c
150,G+,4.970490934,#33a02c
151,G+,3,#33a02c
152,G+,4.908330672,#33a02c
153,G+,3.778044231,#33a02c
154,G+,4.991620222,#33a02c
155,G+,4.974382716,#33a02c
156,G+,4.930941358,#33a02c
157,G+,5,#33a02c
158,G+,4.9624357,#33a02c
101,JK+,4.988805299,#80b1d3
102,JK+,4.906046622,#80b1d3
103,JK+,4.969821673,#80b1d3
104,JK+,3.692515432,#80b1d3
105,JK+,4.733320473,#80b1d3
106,JK+,4.971193416,#80b1d3
107,JK+,4.637426901,#80b1d3
108,JK+,4.93388564,#80b1d3
109,JK+,4.983539095,#80b1d3
110,JK+,4.930511087,#80b1d3
111,JK+,4.808070051,#80b1d3
112,JK+,3.470166774,#80b1d3
113,JK+,4.291988169,#80b1d3
114,JK+,4.405293382,#80b1d3
115,JK+,2.26611797,#80b1d3
116,JK+,4.930941358,#80b1d3
117,JK+,4.953798098,#80b1d3
118,JK+,4.781421468,#80b1d3
119,JK+,4.713620174,#80b1d3
120,JK+,3.387409201,#80b1d3
121,JK+,4.969521605,#80b1d3
122,JK+,4.915509259,#80b1d3
123,JK+,4.786008189,#80b1d3
124,JK+,5,#80b1d3
125,JK+,4.959762266,#80b1d3
126,JK+,4.961591221,#80b1d3
127,JK+,4.705349794,#80b1d3
128,JK+,4.984910837,#80b1d3
129,JK+,4.961805556,#80b1d3
130,JK+,2.305013496,#80b1d3
131,JK+,3.296296296,#80b1d3
132,JK+,4.956018518,#80b1d3
133,JK+,4.975308642,#80b1d3
134,JK+,3.19175752,#80b1d3
135,JK+,4.835390947,#80b1d3
136,JK+,4.310013718,#80b1d3
137,JK+,4.846064815,#80b1d3
138,JK+,4.539094776,#80b1d3
139,JK+,4.990740741,#80b1d3
140,JK+,2.81867284,#80b1d3
141,JK+,4.478737997,#80b1d3
142,JK+,3.354976003,#80b1d3
143,JK+,3.394135803,#80b1d3
144,JK+,4.609053498,#80b1d3
145,JK+,4.975308642,#80b1d3
146,JK+,3.696548822,#80b1d3
147,JK+,4.98079561,#80b1d3
148,JK+,4.983198302,#80b1d3
149,JK+,4.983024692,#80b1d3
150,JK+,4.9453125,#80b1d3
151,JK+,4.849108619,#80b1d3
152,JK+,4.92375606,#80b1d3
153,JK+,3.543565148,#80b1d3
154,JK+,5,#80b1d3
155,JK+,4.955047582,#80b1d3
156,JK+,1.088348766,#80b1d3
157,JK+,5,#80b1d3
158,JK+,4.968389918,#80b1d3
101,ABG,2.33592464,#33a02c
102,ABG,4.045320081,#33a02c
103,ABG,3.80521262,#33a02c
104,ABG,4.097608024,#33a02c
105,ABG,3.248881173,#33a02c
106,ABG,3.742112483,#33a02c
107,ABG,4.804607621,#33a02c
108,ABG,3.519005848,#33a02c
109,ABG,3.651577503,#33a02c
110,ABG,4.930511087,#33a02c
111,ABG,2.929002485,#33a02c
112,ABG,3.644265136,#33a02c
113,ABG,4.510744599,#33a02c
114,ABG,2.958231891,#33a02c
115,ABG,4.680384088,#33a02c
116,ABG,4.961805556,#33a02c
117,ABG,2.942333436,#33a02c
118,ABG,3.56666881,#33a02c
119,ABG,4.197759722,#33a02c
120,ABG,3.885481123,#33a02c
121,ABG,4.965663581,#33a02c
122,ABG,3.059799382,#33a02c
123,ABG,1.186556969,#33a02c
124,ABG,3.002997662,#33a02c
125,ABG,4.954633469,#33a02c
126,ABG,2.388203143,#33a02c
127,ABG,4.809053498,#33a02c
128,ABG,3.002743484,#33a02c
129,ABG,2.97492284,#33a02c
130,ABG,5,#33a02c
131,ABG,3.628257887,#33a02c
132,ABG,4.965663581,#33a02c
133,ABG,4.042524005,#33a02c
134,ABG,3.428361556,#33a02c
135,ABG,4.927297668,#33a02c
136,ABG,3.027434842,#33a02c
137,ABG,4.851851852,#33a02c
138,ABG,1.060356737,#33a02c
139,ABG,2.990354938,#33a02c
140,ABG,4.795910494,#33a02c
141,ABG,3.758573388,#33a02c
142,ABG,4.981345649,#33a02c
143,ABG,3.996669239,#33a02c
144,ABG,3.489711934,#33a02c
145,ABG,3.005486968,#33a02c
146,ABG,4.900252525,#33a02c
147,ABG,2.975308642,#33a02c
148,ABG,4.201691101,#33a02c
149,ABG,3.721450617,#33a02c
150,ABG,4.078337191,#33a02c
151,ABG,2.927297731,#33a02c
152,ABG,1.050055304,#33a02c
153,ABG,4.777777778,#33a02c
154,ABG,1,#33a02c
155,ABG,3.040059157,#33a02c
156,ABG,4.902006173,#33a02c
157,ABG,1,#33a02c
158,ABG,2.97186857,#33a02c
101,AJK,1.982433128,#80b1d3
102,AJK,2.578748077,#80b1d3
103,AJK,3.550068587,#80b1d3
104,AJK,4.651234568,#80b1d3
105,AJK,3.095704733,#80b1d3
106,AJK,1.798353909,#80b1d3
107,AJK,4.830921601,#80b1d3
108,AJK,3.570175439,#80b1d3
109,AJK,2.305898491,#80b1d3
110,AJK,3.154946836,#80b1d3
111,AJK,4.157259496,#80b1d3
112,AJK,4.866791703,#80b1d3
113,AJK,2.439429013,#80b1d3
114,AJK,2.251733179,#80b1d3
115,AJK,4.434842249,#80b1d3
116,AJK,4.944444444,#80b1d3
117,AJK,3.783990664,#80b1d3
118,AJK,2.472023963,#80b1d3
119,AJK,4.437318354,#80b1d3
120,AJK,4.081517353,#80b1d3
121,AJK,4.961805556,#80b1d3
122,AJK,2.976851852,#80b1d3
123,AJK,4.821673776,#80b1d3
124,AJK,2.998501375,#80b1d3
125,AJK,4.957691548,#80b1d3
126,AJK,3.636488413,#80b1d3
127,AJK,4.739917696,#80b1d3
128,AJK,3.659807956,#80b1d3
129,AJK,2.990354938,#80b1d3
130,AJK,2.971680163,#80b1d3
131,AJK,3.751714677,#80b1d3
132,AJK,2.336419753,#80b1d3
133,AJK,4.223593964,#80b1d3
134,AJK,2.939689167,#80b1d3
135,AJK,4.641975309,#80b1d3
136,AJK,3.991769547,#80b1d3
137,AJK,4.880787037,#80b1d3
138,AJK,3.281207175,#80b1d3
139,AJK,2.969135803,#80b1d3
140,AJK,2.581404321,#80b1d3
141,AJK,4.764060357,#80b1d3
142,AJK,4.941501404,#80b1d3
143,AJK,2.376369599,#80b1d3
144,AJK,3.252400549,#80b1d3
145,AJK,3.008230453,#80b1d3
146,AJK,4.233164983,#80b1d3
147,AJK,2.860082304,#80b1d3
148,AJK,4.687821502,#80b1d3
149,AJK,3.111882716,#80b1d3
150,AJK,3.400988619,#80b1d3
151,AJK,4.809327763,#80b1d3
152,AJK,4.885192588,#80b1d3
153,AJK,3.737543298,#80b1d3
154,AJK,1,#80b1d3
155,AJK,2.994978138,#80b1d3
156,AJK,4.878858025,#80b1d3
157,AJK,1,#80b1d3
158,AJK,2.769058642,#80b1d3
101,ABC-,1.01098894,#fdb462
102,ABC-,1.663511222,#fdb462
103,ABC-,1.002743484,#fdb462
104,ABC-,4.537422839,#fdb462
105,ABC-,1.012172068,#fdb462
106,ABC-,1.028806584,#fdb462
107,ABC-,2.562785412,#fdb462
108,ABC-,1.025503574,#fdb462
109,ABC-,1.009602195,#fdb462
110,ABC-,1.078975454,#fdb462
111,ABC-,1.338658147,#fdb462
112,ABC-,2.413912577,#fdb462
113,ABC-,3.411561214,#fdb462
114,ABC-,1.013241968,#fdb462
115,ABC-,3.355281207,#fdb462
116,ABC-,1.03433642,#fdb462
117,ABC-,1.241169808,#fdb462
118,ABC-,1.316084748,#fdb462
119,ABC-,1.612304676,#fdb462
120,ABC-,1.787552686,#fdb462
121,ABC-,1.022762345,#fdb462
122,ABC-,1.088348765,#fdb462
123,ABC-,3.463648876,#fdb462
124,ABC-,1,#fdb462
125,ABC-,4.957691548,#fdb462
126,ABC-,3.595336307,#fdb462
127,ABC-,1.844444445,#fdb462
128,ABC-,1.030178326,#fdb462
129,ABC-,1.020833333,#fdb462
130,ABC-,2.8955706,#fdb462
131,ABC-,1.189300411,#fdb462
132,ABC-,3.65779321,#fdb462
133,ABC-,1.825788752,#fdb462
134,ABC-,3.777855099,#fdb462
135,ABC-,1.807956104,#fdb462
136,ABC-,1.606310014,#fdb462
137,ABC-,1.142361111,#fdb462
138,ABC-,1.048011058,#fdb462
139,ABC-,1.005401234,#fdb462
140,ABC-,2.510030864,#fdb462
141,ABC-,3.040645729,#fdb462
