Participant,Stimulus,US Exp,BorderColor
101,JK+2,4.987557871,#80b1d3
102,JK+2,3.250857886,#80b1d3
103,JK+2,4.990397805,#80b1d3
104,JK+2,3.603780864,#80b1d3
105,JK+2,4.971412037,#80b1d3
106,JK+2,4.953360768,#80b1d3
107,JK+2,4.668004434,#80b1d3
108,JK+2,4.896523717,#80b1d3
109,JK+2,4.98079561,#80b1d3
110,JK+2,4.530864198,#80b1d3
111,JK+2,3.011832919,#80b1d3
112,JK+2,3.256458693,#80b1d3
113,JK+2,3.475475823,#80b1d3
114,JK+2,4.968674719,#80b1d3
115,JK+2,4.525377229,#80b1d3
116,JK+2,4.790123457,#80b1d3
117,JK+2,3.340507329,#80b1d3
118,JK+2,4.643523877,#80b1d3
119,JK+2,3.814131395,#80b1d3
120,JK+2,3.57932024,#80b1d3
121,JK+2,4.971450618,#80b1d3
122,JK+2,4.936728395,#80b1d3
123,JK+2,4.821673777,#80b1d3
124,JK+2,5,#80b1d3
125,JK+2,4.966831501,#80b1d3
126,JK+2,3.547325176,#80b1d3
127,JK+2,3.126748971,#80b1d3
128,JK+2,4.982167353,#80b1d3
129,JK+2,4.719531105,#80b1d3
130,JK+2,3.152219125,#80b1d3
131,JK+2,3.727023319,#80b1d3
132,JK+2,3.642361111,#80b1d3
133,JK+2,4.75308642,#80b1d3
134,JK+2,2.800510323,#80b1d3
135,JK+2,4.072702332,#80b1d3
136,JK+2,3.475994513,#80b1d3
137,JK+2,4.543209876,#80b1d3
138,JK+2,4.744856093,#80b1d3
139,JK+2,4.996527778,#80b1d3
140,JK+2,1.854166667,#80b1d3
141,JK+2,3.994505712,#80b1d3
142,JK+2,4.95599022,#80b1d3
143,JK+2,2.498733282,#80b1d3
144,JK+2,4.794238683,#80b1d3
145,JK+2,4.961591221,#80b1d3
146,JK+2,3.275673401,#80b1d3
147,JK+2,4.978052126,#80b1d3
148,JK+2,3.660808899,#80b1d3
149,JK+2,4.97337963,#80b1d3
150,JK+2,3.659929591,#80b1d3
151,JK+2,4.827160452,#80b1d3
152,JK+2,4.723226006,#80b1d3
153,JK+2,4.539035438,#80b1d3
154,JK+2,3.666666667,#80b1d3
155,JK+2,4.975717207,#80b1d3
156,JK+2,1.236882716,#80b1d3
157,JK+2,4.95473272,#80b1d3
158,JK+2,4.920942644,#80b1d3
101,AJK1,1.982433128,#80b1d3
102,AJK1,2.578748077,#80b1d3
103,AJK1,3.550068587,#80b1d3
104,AJK1,4.651234568,#80b1d3
105,AJK1,3.095704733,#80b1d3
106,AJK1,1.798353909,#80b1d3
107,AJK1,4.830921601,#80b1d3
108,AJK1,3.570175439,#80b1d3
109,AJK1,2.305898491,#80b1d3
110,AJK1,3.154946836,#80b1d3
111,AJK1,4.157259496,#80b1d3
112,AJK1,4.866791703,#80b1d3
113,AJK1,2.439429013,#80b1d3
114,AJK1,2.251733179,#80b1d3
115,AJK1,4.434842249,#80b1d3
116,AJK1,4.944444444,#80b1d3
117,AJK1,3.783990664,#80b1d3
118,AJK1,2.472023963,#80b1d3
119,AJK1,4.437318354,#80b1d3
120,AJK1,4.081517353,#80b1d3
121,AJK1,4.961805556,#80b1d3
122,AJK1,2.976851852,#80b1d3
123,AJK1,4.821673776,#80b1d3
124,AJK1,2.998501375,#80b1d3
125,AJK1,4.957691548,#80b1d3
126,AJK1,3.636488413,#80b1d3
127,AJK1,4.739917696,#80b1d3
128,AJK1,3.659807956,#80b1d3
129,AJK1,2.990354938,#80b1d3
130,AJK1,2.971680163,#80b1d3
131,AJK1,3.751714677,#80b1d3
132,AJK1,2.336419753,#80b1d3
133,AJK1,4.223593964,#80b1d3
134,AJK1,2.939689167,#80b1d3
135,AJK1,4.641975309,#80b1d3
136,AJK1,3.991769547,#80b1d3
137,AJK1,4.880787037,#80b1d3
138,AJK1,3.281207175,#80b1d3
139,AJK1,2.969135803,#80b1d3
140,AJK1,2.581404321,#80b1d3
141,AJK1,4.764060357,#80b1d3
142,AJK1,4.941501404,#80b1d3
143,AJK1,2.376369599,#80b1d3
144,AJK1,3.252400549,#80b1d3
145,AJK1,3.008230453,#80b1d3
146,AJK1,4.233164983,#80b1d3
147,AJK1,2.860082304,#80b1d3
148,AJK1,4.687821502,#80b1d3
149,AJK1,3.111882716,#80b1d3
150,AJK1,3.400988619,#80b1d3
151,AJK1,4.809327763,#80b1d3
152,AJK1,4.885192588,#80b1d3
153,AJK1,3.737543298,#80b1d3
154,AJK1,1,#80b1d3
155,AJK1,2.994978138,#80b1d3
156,AJK1,4.878858025,#80b1d3
157,AJK1,1,#80b1d3
158,AJK1,2.769058642,#80b1d3
101,AJK2,3.799537037,#d12d7f
102,AJK2,3.023665838,#d12d7f
