Trial,Mean,Low,High,SE,Stimulus
1,3.004908065,2.871802089,3.138014042,0.133105976,DEF+
2,3.817012654,3.640977239,3.993048069,0.176035415,DEF+
3,4.045907425,3.892145,4.19966985,0.153762425,DEF+
4,4.440364469,4.332348326,4.548380611,0.108016143,DEF+
5,4.288103379,4.144386548,4.431820209,0.14371683,DEF+
6,4.359878043,4.231721905,4.488034181,0.128156138,DEF+
7,4.422661817,4.292348424,4.55297521,0.130313393,DEF+
8,4.326765841,4.187984608,4.465547074,0.138781233,DEF+
9,4.497070805,4.380446589,4.613695021,0.116624216,DEF+
10,4.398194445,4.267694578,4.528694312,0.130499867,DEF+
11,4.3255405,4.21006003,4.441020969,0.115480469,DEF+
12,4.219428174,4.074758048,4.364098301,0.144670126,DEF+
13,4.277239682,4.134370866,4.420108498,0.142868816,DEF+
14,4.340896987,4.205583422,4.476210552,0.135313565,DEF+
15,4.502264015,4.398470028,4.606058002,0.103793987,DEF+
16,4.277993085,4.128911975,4.427074196,0.14908111,DEF+
17,4.176562063,4.011153776,4.341970349,0.165408287,DEF+
18,4.288000996,4.138320943,4.437681049,0.149680053,DEF+
19,4.302268359,4.15628471,4.448252008,0.145983649,DEF+
20,4.108413141,3.939372752,4.27745353,0.169040389,DEF+
21,NaN,NaN,NaN,NaN,DEF+
22,NaN,NaN,NaN,NaN,DEF+
23,NaN,NaN,NaN,NaN,DEF+
24,NaN,NaN,NaN,NaN,DEF+
25,NaN,NaN,NaN,NaN,DEF+
26,NaN,NaN,NaN,NaN,DEF+
27,NaN,NaN,NaN,NaN,DEF+
28,NaN,NaN,NaN,NaN,DEF+
29,NaN,NaN,NaN,NaN,DEF+
30,NaN,NaN,NaN,NaN,DEF+
31,NaN,NaN,NaN,NaN,DEF+
32,NaN,NaN,NaN,NaN,DEF+
33,NaN,NaN,NaN,NaN,DEF+
34,NaN,NaN,NaN,NaN,DEF+
35,NaN,NaN,NaN,NaN,DEF+
36,NaN,NaN,NaN,NaN,DEF+
37,NaN,NaN,NaN,NaN,DEF+
38,NaN,NaN,NaN,NaN,DEF+
39,NaN,NaN,NaN,NaN,DEF+
1,NaN,NaN,NaN,NaN,DEF+2
2,NaN,NaN,NaN,NaN,DEF+2
3,NaN,NaN,NaN,NaN,DEF+2
4,NaN,NaN,NaN,NaN,DEF+2
5,NaN,NaN,NaN,NaN,DEF+2
6,NaN,NaN,NaN,NaN,DEF+2
7,NaN,NaN,NaN,NaN,DEF+2
8,NaN,NaN,NaN,NaN,DEF+2
9,NaN,NaN,NaN,NaN,DEF+2
10,NaN,NaN,NaN,NaN,DEF+2
11,NaN,NaN,NaN,NaN,DEF+2
12,NaN,NaN,NaN,NaN,DEF+2
13,NaN,NaN,NaN,NaN,DEF+2
14,NaN,NaN,NaN,NaN,DEF+2
15,NaN,NaN,NaN,NaN,DEF+2
16,NaN,NaN,NaN,NaN,DEF+2
17,NaN,NaN,NaN,NaN,DEF+2
18,NaN,NaN,NaN,NaN,DEF+2
19,NaN,NaN,NaN,NaN,DEF+2
20,NaN,NaN,NaN,NaN,DEF+2
21,NaN,NaN,NaN,NaN,DEF+2
22,NaN,NaN,NaN,NaN,DEF+2
23,NaN,NaN,NaN,NaN,DEF+2
24,NaN,NaN,NaN,NaN,DEF+2
25,NaN,NaN,NaN,NaN,DEF+2
26,NaN,NaN,NaN,NaN,DEF+2
27,NaN,NaN,NaN,NaN,DEF+2
28,NaN,NaN,NaN,NaN,DEF+2
29,NaN,NaN,NaN,NaN,DEF+2
30,NaN,NaN,NaN,NaN,DEF+2
31,4.356568582,4.232804518,4.480332645,0.123764064,DEF+2
32,4.301009545,4.170122783,4.431896307,0.130886762,DEF+2
33,4.245450508,4.107441049,4.383459968,0.13800946,DEF+2
34,4.189891472,4.044759314,4.335023629,0.145132158,DEF+2
35,4.181828282,4.035054452,4.328602112,0.14677383,DEF+2
36,4.173765092,4.025349589,4.322180595,0.148415503,DEF+2
37,4.165701903,4.015644727,4.315759079,0.150057176,DEF+2
38,NaN,NaN,NaN,NaN,DEF+2
39,NaN,NaN,NaN,NaN,DEF+2
1,3.37489338,3.238563107,3.511223654,0.136330274,DE-
2,2.972950141,2.81575729,3.130142992,0.157192851,DE-
3,2.571006902,2.392951474,2.74906233,0.178055428,DE-
4,2.384640989,2.21052701,2.558754968,0.174113979,DE-
5,2.198275076,2.028102546,2.368447605,0.17017253,DE-
6,2.16128502,1.99084253,2.331727511,0.170442491,DE-
7,2.124294965,1.953582513,2.295007417,0.170712452,DE-
8,2.257815603,2.07624328,2.439387927,0.181572323,DE-
9,2.391336241,2.198904047,2.583768436,0.192432195,DE-
10,2.484862321,2.295649207,2.674075436,0.189213114,DE-
11,2.578388401,2.392394368,2.764382435,0.185994034,DE-
12,2.455560262,2.269051764,2.64206876,0.186508498,DE-
13,2.332732122,2.14570916,2.519755084,0.187022962,DE-
14,2.280150478,2.097681392,2.462619564,0.182469086,DE-
15,2.227568835,2.049653625,2.405484044,0.17791521,DE-
16,2.277938755,2.09254721,2.463330299,0.185391544,DE-
17,2.328308674,2.135440795,2.521176553,0.192867879,DE-
18,2.360721122,2.171097762,2.550344482,0.18962336,DE-
19,2.393133569,2.206754728,2.579512411,0.186378842,DE-
20,NaN,NaN,NaN,NaN,DE-
21,NaN,NaN,NaN,NaN,DE-
22,NaN,NaN,NaN,NaN,DE-
23,NaN,NaN,NaN,NaN,DE-
24,NaN,NaN,NaN,NaN,DE-
25,NaN,NaN,NaN,NaN,DE-
26,NaN,NaN,NaN,NaN,DE-
27,NaN,NaN,NaN,NaN,DE-
28,NaN,NaN,NaN,NaN,DE-
29,NaN,NaN,NaN,NaN,DE-
30,NaN,NaN,NaN,NaN,DE-
31,NaN,NaN,NaN,NaN,DE-
32,NaN,NaN,NaN,NaN,DE-
33,NaN,NaN,NaN,NaN,DE-
34,NaN,NaN,NaN,NaN,DE-
35,NaN,NaN,NaN,NaN,DE-
36,NaN,NaN,NaN,NaN,DE-
37,NaN,NaN,NaN,NaN,DE-
38,NaN,NaN,NaN,NaN,DE-
39,NaN,NaN,NaN,NaN,DE-
1,3.238240557,3.124091779,3.352389334,0.114148778,D-
2,2.841728222,2.694181682,2.989274762,0.14754654,D-
3,2.445215888,2.264271585,2.62616019,0.180944302,D-
4,2.267984499,2.089463115,2.446505882,0.178521384,D-
5,2.090753109,1.914654644,2.266851575,0.176098465,D-
6,2.041288662,1.870664623,2.211912701,0.170624039,D-
7,1.991824215,1.826674602,2.156973827,0.165149613,D-
8,1.831193358,1.67871788,1.983668835,0.152475478,D-
9,1.670562501,1.530761158,1.810363843,0.139801343,D-
10,2.027557541,1.874126395,2.180988687,0.153431146,D-
11,2.384552581,2.217491631,2.551613531,0.16706095,D-
12,2.200216551,2.033797427,2.366635675,0.166419124,D-
13,2.01588052,1.850103222,2.181657818,0.165777298,D-
14,2.019758311,1.853606134,2.185910489,0.166152177,D-
15,2.023636103,1.857109047,2.190163159,0.166527056,D-
16,1.905483477,1.747096107,2.063870847,0.15838737,D-
17,1.787330852,1.637083168,1.937578536,0.150247684,D-
18,1.760347366,1.614784873,1.905909859,0.145562493,D-
19,1.73336388,1.592486578,1.874241182,0.140877302,D-
20,NaN,NaN,NaN,NaN,D-
21,NaN,NaN,NaN,NaN,D-
22,NaN,NaN,NaN,NaN,D-
23,NaN,NaN,NaN,NaN,D-
24,NaN,NaN,NaN,NaN,D-
25,NaN,NaN,NaN,NaN,D-
26,NaN,NaN,NaN,NaN,D-
27,NaN,NaN,NaN,NaN,D-
28,NaN,NaN,NaN,NaN,D-
29,NaN,NaN,NaN,NaN,D-
30,NaN,NaN,NaN,NaN,D-
31,NaN,NaN,NaN,NaN,D-
32,NaN,NaN,NaN,NaN,D-
33,NaN,NaN,NaN,NaN,D-
34,NaN,NaN,NaN,NaN,D-
35,NaN,NaN,NaN,NaN,D-
36,NaN,NaN,NaN,NaN,D-
