Trial,Mean,Low,High,SE,Stimulus
1,NaN,NaN,NaN,NaN,UMN+
2,NaN,NaN,NaN,NaN,UMN+
3,NaN,NaN,NaN,NaN,UMN+
4,NaN,NaN,NaN,NaN,UMN+
5,NaN,NaN,NaN,NaN,UMN+
6,NaN,NaN,NaN,NaN,UMN+
7,NaN,NaN,NaN,NaN,UMN+
8,NaN,NaN,NaN,NaN,UMN+
9,NaN,NaN,NaN,NaN,UMN+
10,NaN,NaN,NaN,NaN,UMN+
11,NaN,NaN,NaN,NaN,UMN+
12,NaN,NaN,NaN,NaN,UMN+
13,NaN,NaN,NaN,NaN,UMN+
14,NaN,NaN,NaN,NaN,UMN+
15,NaN,NaN,NaN,NaN,UMN+
16,NaN,NaN,NaN,NaN,UMN+
17,NaN,NaN,NaN,NaN,UMN+
18,NaN,NaN,NaN,NaN,UMN+
19,NaN,NaN,NaN,NaN,UMN+
20,NaN,NaN,NaN,NaN,UMN+
21,3.384577349,3.250232955,3.518921743,0.134344394,UMN+
22,4.228931699,4.099503263,4.358360136,0.129428437,UMN+
23,4.183091726,4.043849579,4.322333873,0.139242147,UMN+
24,4.18683867,4.034602959,4.339074382,0.152235712,UMN+
25,4.036612286,3.865757275,4.207467297,0.170855011,UMN+
26,4.176486816,4.018367479,4.334606154,0.158119338,UMN+
27,4.247085588,4.098433459,4.395737717,0.148652129,UMN+
28,4.355850867,4.222008895,4.489692838,0.133841971,UMN+
29,4.209600092,4.060884915,4.358315269,0.148715177,UMN+
30,4.406509094,4.281242821,4.531775367,0.125266273,UMN+
31,4.14063567,3.990669916,4.290601424,0.149965754,UMN+
32,4.000384466,3.838550024,4.162218909,0.161834443,UMN+
33,4.171445661,4.017113451,4.325777871,0.15433221,UMN+
34,4.130947896,3.969680789,4.292215003,0.161267107,UMN+
35,4.213081707,4.070736634,4.35542678,0.142345073,UMN+
36,4.215032696,4.064418831,4.365646562,0.150613866,UMN+
37,4.289637656,4.145256827,4.434018486,0.14438083,UMN+
38,4.271544909,4.124685188,4.41840463,0.146859721,UMN+
39,4.228648851,4.08822761,4.369070092,0.140421241,UMN+
1,NaN,NaN,NaN,NaN,UM-
2,NaN,NaN,NaN,NaN,UM-
3,NaN,NaN,NaN,NaN,UM-
4,NaN,NaN,NaN,NaN,UM-
5,NaN,NaN,NaN,NaN,UM-
6,NaN,NaN,NaN,NaN,UM-
7,NaN,NaN,NaN,NaN,UM-
8,NaN,NaN,NaN,NaN,UM-
9,NaN,NaN,NaN,NaN,UM-
10,NaN,NaN,NaN,NaN,UM-
11,NaN,NaN,NaN,NaN,UM-
12,NaN,NaN,NaN,NaN,UM-
13,NaN,NaN,NaN,NaN,UM-
14,NaN,NaN,NaN,NaN,UM-
15,NaN,NaN,NaN,NaN,UM-
16,NaN,NaN,NaN,NaN,UM-
17,NaN,NaN,NaN,NaN,UM-
18,NaN,NaN,NaN,NaN,UM-
19,NaN,NaN,NaN,NaN,UM-
20,NaN,NaN,NaN,NaN,UM-
21,2.925140284,2.778477374,3.071803195,0.146662911,UM-
22,2.642696884,2.47986736,2.805526408,0.162829524,UM-
23,2.360253483,2.181257347,2.53924962,0.178996137,UM-
24,2.361332831,2.182683231,2.53998243,0.178649599,UM-
25,2.362412178,2.184109116,2.54071524,0.178303062,UM-
26,2.398074193,2.214078297,2.58207009,0.183995897,UM-
27,2.433736209,2.244047478,2.623424939,0.18968873,UM-
28,2.37937251,2.193622058,2.565122961,0.185750451,UM-
29,2.32500881,2.143196637,2.506820984,0.181812174,UM-
30,NaN,NaN,NaN,NaN,UM-
31,NaN,NaN,NaN,NaN,UM-
32,NaN,NaN,NaN,NaN,UM-
33,NaN,NaN,NaN,NaN,UM-
34,NaN,NaN,NaN,NaN,UM-
35,NaN,NaN,NaN,NaN,UM-
36,NaN,NaN,NaN,NaN,UM-
37,NaN,NaN,NaN,NaN,UM-
38,NaN,NaN,NaN,NaN,UM-
39,NaN,NaN,NaN,NaN,UM-
1,NaN,NaN,NaN,NaN,U-
2,NaN,NaN,NaN,NaN,U-
3,NaN,NaN,NaN,NaN,U-
4,NaN,NaN,NaN,NaN,U-
5,NaN,NaN,NaN,NaN,U-
6,NaN,NaN,NaN,NaN,U-
7,NaN,NaN,NaN,NaN,U-
8,NaN,NaN,NaN,NaN,U-
9,NaN,NaN,NaN,NaN,U-
10,NaN,NaN,NaN,NaN,U-
11,NaN,NaN,NaN,NaN,U-
12,NaN,NaN,NaN,NaN,U-
13,NaN,NaN,NaN,NaN,U-
14,NaN,NaN,NaN,NaN,U-
15,NaN,NaN,NaN,NaN,U-
16,NaN,NaN,NaN,NaN,U-
17,NaN,NaN,NaN,NaN,U-
18,NaN,NaN,NaN,NaN,U-
19,NaN,NaN,NaN,NaN,U-
20,NaN,NaN,NaN,NaN,U-
21,2.893441315,2.755662109,3.03122052,0.137779205,U-
22,2.469480889,2.316962111,2.621999667,0.152518778,U-
23,2.045520463,1.878262113,2.212778814,0.167258351,U-
24,1.95495581,1.794828519,2.115083101,0.160127291,U-
25,1.864391156,1.711394924,2.017387389,0.152996233,U-
26,1.863079384,1.711944688,2.01421408,0.151134696,U-
27,1.861767611,1.712494451,2.01104077,0.149273159,U-
28,1.880910532,1.726639996,2.035181068,0.154270536,U-
29,1.900053454,1.740785541,2.059321366,0.159267912,U-
30,1.910911857,1.753828136,2.067995579,0.157083722,U-
31,1.921770261,1.766870732,2.076669791,0.15489953,U-
32,1.845629507,1.686874112,2.004384902,0.158755395,U-
33,1.734667601,1.586558176,1.882777025,0.148109424,U-
34,1.597014145,1.46837792,1.72565037,0.128636225,U-
35,1.626341828,1.495116076,1.75756758,0.131225752,U-
36,1.715626394,1.563212948,1.868039841,0.152413447,U-
37,1.661415014,1.5235218,1.799308228,0.137893214,U-
38,1.65565395,1.519174579,1.792133321,0.136479371,U-
39,1.705119654,1.568553701,1.841685607,0.136565953,U-
1,3.38188426,3.221909979,3.541858541,0.159974281,MN-
2,2.812349196,2.623656125,3.001042267,0.188693071,MN-
3,2.600338073,2.413870191,2.786805956,0.186467883,MN-
4,2.21192419,2.04227372,2.381574661,0.169650471,MN-
5,2.344335865,2.166126286,2.522545444,0.178209579,MN-
6,2.209356665,2.030236,2.388477331,0.179120666,MN-
7,2.211054352,2.030023002,2.392085702,0.18103135,MN-
8,2.143184224,1.963449126,2.322919322,0.179735098,MN-
9,1.914871212,1.759356813,2.070385611,0.155514399,MN-
10,1.851169339,1.698665576,2.003673101,0.152503762,MN-
11,2.447258526,2.278380079,2.616136973,0.168878447,MN-
12,2.39809471,2.2101896,2.58599982,0.18790511,MN-
13,2.237191508,2.071293058,2.403089958,0.16589845,MN-
14,2.190029406,2.019087268,2.360971544,0.170942138,MN-
15,2.101447397,1.926275563,2.276619231,0.175171834,MN-
16,2.115118826,1.935753853,2.2944838,0.179364974,MN-
17,2.390680313,2.193294733,2.588065892,0.197385579,MN-
18,2.073019205,1.895717632,2.250320779,0.177301574,MN-
19,2.150554659,1.970804882,2.330304436,0.179749777,MN-
20,1.942063384,1.771171001,2.112955767,0.170892383,MN-
21,2.495072011,2.309387898,2.680756125,0.185684114,MN-
22,2.464553419,2.277336947,2.651769891,0.187216472,MN-
23,2.434034826,2.245285996,2.622783657,0.188748831,MN-
24,2.549812574,2.353167611,2.746457538,0.196644964,MN-
25,2.665590322,2.461049226,2.870131418,0.204541096,MN-
26,2.410737585,2.216634553,2.604840617,0.194103032,MN-
27,2.155884848,1.972219881,2.339549816,0.183664968,MN-
28,2.295368881,2.104255111,2.48648265,0.191113769,MN-
29,2.434852913,2.236290341,2.633415485,0.198562572,MN-
30,2.418505804,2.222662185,2.614349423,0.195843619,MN-
31,2.402158696,2.209034029,2.595283362,0.193124666,MN-
32,2.499448687,2.302681992,2.696215382,0.196766695,MN-
33,2.596738678,2.396329954,2.797147403,0.200408725,MN-
34,2.694028669,2.489977916,2.898079423,0.204050754,MN-
35,2.651705197,2.449778665,2.85363173,0.201926533,MN-
36,2.609381725,2.409579413,2.809184037,0.199802312,MN-
37,2.567058253,2.369380162,2.764736344,0.197678091,MN-
38,NaN,NaN,NaN,NaN,MN-
39,NaN,NaN,NaN,NaN,MN-
1,2.64303431,2.517095043,2.768973577,0.125939267,M+
2,3.66639111,3.510184951,3.822597269,0.156206159,M+
3,3.874359093,3.712127898,4.036590288,0.162231195,M+
4,3.894451676,3.730238817,4.058664535,0.164212859,M+
5,4.072284502,3.919349762,4.225219242,0.15293474,M+
6,3.978075042,3.801634191,4.154515893,0.176440851,M+
7,4.084024248,3.916017659,4.252030837,0.168006589,M+
8,4.151045455,3.996094043,4.305996867,0.154951412,M+
9,4.064877198,3.902339646,4.22741475,0.162537552,M+
10,4.149541097,3.989948527,4.309133666,0.159592569,M+
11,3.779074936,3.615271868,3.942878005,0.163803069,M+
12,4.149844461,4.007902345,4.291786578,0.141942117,M+
13,4.066200364,3.916067481,4.216333247,0.150132883,M+
14,4.299434909,4.166893976,4.431975842,0.132540933,M+
15,4.178949451,4.03472023,4.323178671,0.14422922,M+
16,4.188010917,4.033178729,4.342843105,0.154832188,M+
17,4.135973701,3.979402268,4.292545134,0.156571433,M+
18,4.289989706,4.146985451,4.432993962,0.143004256,M+
19,4.326859576,4.184494283,4.469224868,0.142365292,M+
20,4.205958197,4.055931825,4.355984568,0.150026371,M+
21,3.973498742,3.809145791,4.137851693,0.164352951,M+
22,3.96767119,3.801994512,4.133347868,0.165676678,M+
23,3.961843638,3.794843233,4.128844043,0.167000405,M+
24,4.060807365,3.903399151,4.218215579,0.157408214,M+
25,4.159771092,4.011955069,4.307587115,0.147816023,M+
26,4.245120159,4.102529109,4.387711208,0.142591049,M+
27,4.330469225,4.193103148,4.467835302,0.137366077,M+
28,4.256722479,4.111454148,4.401990809,0.14526833,M+
29,4.182975732,4.029805148,4.336146317,0.153170585,M+
30,NaN,NaN,NaN,NaN,M+
31,NaN,NaN,NaN,NaN,M+
32,NaN,NaN,NaN,NaN,M+
33,NaN,NaN,NaN,NaN,M+
34,NaN,NaN,NaN,NaN,M+
35,NaN,NaN,NaN,NaN,M+
36,NaN,NaN,NaN,NaN,M+
37,NaN,NaN,NaN,NaN,M+
38,NaN,NaN,NaN,NaN,M+
39,NaN,NaN,NaN,NaN,M+
1,2.866569026,2.729106066,3.004031986,0.13746296,N+
2,3.49389049,3.330190615,3.657590365,0.163699875,N+
3,3.788645853,3.622056446,3.955235259,0.166589406,N+
4,4.108708524,3.971135945,4.246281103,0.137572579,N+
5,3.993404339,3.828259524,4.158549153,0.165144814,N+
6,4.053919208,3.889865449,4.217972968,0.16405376,N+
7,4.250460665,4.108678973,4.392242356,0.141781691,N+
8,4.146377343,3.98795263,4.304802056,0.158424713,N+
9,4.132196243,3.974017285,4.290375202,0.158178959,N+
10,4.330529357,4.197547152,4.463511562,0.132982205,N+
11,3.845296221,3.687798811,4.002793631,0.15749741,N+
12,4.332839793,4.209835042,4.455844545,0.123004752,N+
13,4.345937102,4.217445639,4.474428565,0.128491463,N+
14,4.433774748,4.314225108,4.553324387,0.119549639,N+
15,4.236853165,4.080382208,4.393324123,0.156470958,N+
16,4.408088015,4.27633215,4.539843879,0.131755864,N+
17,4.311511715,4.169669348,4.453354081,0.141842366,N+
18,4.30443763,4.161471597,4.447403663,0.142966033,N+
19,4.456060152,4.335231478,4.576888827,0.120828675,N+
20,4.578624532,4.480031633,4.67721743,0.098592898,N+
21,4.463613576,4.353555916,4.573671236,0.11005766,N+
22,4.446135259,4.336864343,4.555406176,0.109270917,N+
23,4.428656943,4.320172769,4.537141116,0.108484173,N+
24,4.366712612,4.24567905,4.487746174,0.121033562,N+
25,4.304768281,4.171185331,4.438351232,0.133582951,N+
26,4.415067349,4.300656494,4.529478204,0.114410855,N+
27,4.525366417,4.430127657,4.620605176,0.095238759,N+
28,4.563758042,4.472573612,4.654942473,0.091184431,N+
29,4.602149668,4.515019567,4.689279769,0.087130101,N+
30,4.544114635,4.449037046,4.639192225,0.09507759,N+
31,4.486079602,4.383054524,4.589104681,0.103025079,N+
32,4.484063534,4.375175248,4.59295182,0.108888286,N+
33,4.482047466,4.367295972,4.596798959,0.114751493,N+
34,4.480031397,4.359416696,4.600646099,0.120614702,N+
35,4.446252504,4.320941704,4.571563303,0.125310799,N+
36,4.41247361,4.282466712,4.542480508,0.130006898,N+
37,4.378694716,4.24399172,4.513397712,0.134702996,N+
38,NaN,NaN,NaN,NaN,N+
39,NaN,NaN,NaN,NaN,N+
