Trial,Mean,Low,High,SE,Stimulus
1,3.383391178,3.274168463,3.492613893,0.109222715,G+
2,4.368538169,4.247014496,4.490061843,0.121523673,G+
3,4.507509345,4.399162546,4.615856144,0.108346799,G+
4,4.737168276,4.674839491,4.799497061,0.062328785,G+
5,4.680770579,4.596417465,4.765123693,0.084353114,G+
6,4.686895374,4.6030723,4.770718447,0.083823073,G+
7,4.606703505,4.496213808,4.717193203,0.110489698,G+
8,4.658773918,4.571431155,4.74611668,0.087342762,G+
9,4.683560274,4.597526957,4.769593591,0.086033317,G+
10,4.700775914,4.606144935,4.795406893,0.094630979,G+
11,4.40163313,4.294722179,4.50854408,0.10691095,G+
12,4.69193389,4.623327258,4.760540521,0.068606631,G+
13,4.658767944,4.5696942,4.747841688,0.089073744,G+
14,4.674899918,4.600118867,4.749680969,0.074781051,G+
15,4.654249042,4.565489623,4.743008461,0.088759419,G+
16,4.609153998,4.511897479,4.706410517,0.097256519,G+
17,4.61544211,4.512804472,4.718079747,0.102637637,G+
18,4.680434593,4.592950412,4.767918775,0.087484182,G+
19,4.554843078,4.436194896,4.673491261,0.118648183,G+
20,4.62967431,4.533535513,4.725813108,0.096138798,G+
21,NaN,NaN,NaN,NaN,G+
22,NaN,NaN,NaN,NaN,G+
23,NaN,NaN,NaN,NaN,G+
24,NaN,NaN,NaN,NaN,G+
25,NaN,NaN,NaN,NaN,G+
26,NaN,NaN,NaN,NaN,G+
27,NaN,NaN,NaN,NaN,G+
28,NaN,NaN,NaN,NaN,G+
29,NaN,NaN,NaN,NaN,G+
30,NaN,NaN,NaN,NaN,G+
31,NaN,NaN,NaN,NaN,G+
32,NaN,NaN,NaN,NaN,G+
33,NaN,NaN,NaN,NaN,G+
34,NaN,NaN,NaN,NaN,G+
35,NaN,NaN,NaN,NaN,G+
36,NaN,NaN,NaN,NaN,G+
37,NaN,NaN,NaN,NaN,G+
38,NaN,NaN,NaN,NaN,G+
39,NaN,NaN,NaN,NaN,G+
1,3.254861342,3.141240336,3.368482348,0.113621006,H-
2,1.779167124,1.625153755,1.933180492,0.154013369,H-
3,1.541660409,1.414508632,1.668812185,0.127151777,H-
4,1.608111476,1.465648638,1.750574313,0.142462838,H-
5,1.705511045,1.544313159,1.866708931,0.161197886,H-
6,1.44079242,1.330216529,1.55136831,0.110575891,H-
7,1.460017375,1.337958941,1.582075809,0.122058434,H-
8,1.526741862,1.393433483,1.66005024,0.133308378,H-
9,1.602109907,1.466393148,1.737826665,0.135716758,H-
10,1.425030884,1.315681699,1.53438007,0.109349185,H-
11,1.74927967,1.607225546,1.891333795,0.142054124,H-
12,1.510167198,1.403054162,1.617280234,0.107113036,H-
13,1.46980971,1.367789904,1.571829516,0.102019806,H-
14,1.542540588,1.417809036,1.667272139,0.124731552,H-
15,1.532770061,1.415182059,1.650358063,0.117588002,H-
16,1.39198181,1.291791908,1.492171712,0.100189902,H-
17,1.46513696,1.346891415,1.583382506,0.118245546,H-
18,1.457444002,1.340604069,1.574283934,0.116839933,H-
19,1.422071094,1.314623055,1.529519134,0.107448039,H-
20,1.438863283,1.323917763,1.553808803,0.11494552,H-
21,NaN,NaN,NaN,NaN,H-
22,NaN,NaN,NaN,NaN,H-
23,NaN,NaN,NaN,NaN,H-
24,NaN,NaN,NaN,NaN,H-
25,NaN,NaN,NaN,NaN,H-
26,NaN,NaN,NaN,NaN,H-
27,NaN,NaN,NaN,NaN,H-
28,NaN,NaN,NaN,NaN,H-
29,NaN,NaN,NaN,NaN,H-
30,NaN,NaN,NaN,NaN,H-
31,NaN,NaN,NaN,NaN,H-
32,NaN,NaN,NaN,NaN,H-
33,NaN,NaN,NaN,NaN,H-
34,NaN,NaN,NaN,NaN,H-
35,NaN,NaN,NaN,NaN,H-
36,NaN,NaN,NaN,NaN,H-
37,NaN,NaN,NaN,NaN,H-
38,NaN,NaN,NaN,NaN,H-
39,NaN,NaN,NaN,NaN,H-
1,3.44078171,3.334424251,3.54713917,0.10635746,DES-
2,1.925716397,1.765367097,2.086065697,0.1603493,DES-
3,2.008788161,1.830974945,2.186601378,0.177813217,DES-
4,1.694497829,1.557389703,1.831605956,0.137108126,DES-
5,1.793062509,1.638214225,1.947910793,0.154848284,DES-
6,1.621801686,1.486495919,1.757107453,0.135305767,DES-
7,1.797881892,1.643109088,1.952654696,0.154772804,DES-
8,1.617361511,1.473628642,1.76109438,0.143732869,DES-
9,1.642803789,1.501634601,1.783972978,0.141169188,DES-
10,1.651480132,1.500830342,1.802129923,0.150649791,DES-
11,2.076996814,1.90936398,2.244629649,0.167632835,DES-
12,1.757627201,1.614745776,1.900508625,0.142881424,DES-
13,1.731976818,1.583595069,1.880358567,0.148381749,DES-
14,1.71786512,1.567808375,1.867921865,0.150056745,DES-
15,1.683486322,1.531518005,1.835454639,0.151968317,DES-
16,1.585422854,1.446710316,1.724135391,0.138712538,DES-
17,1.575177692,1.442276031,1.708079353,0.132901661,DES-
18,1.527768002,1.402569756,1.652966248,0.125198246,DES-
19,1.795597844,1.631724466,1.959471222,0.163873378,DES-
20,1.603221301,1.470491073,1.735951529,0.132730228,DES-
21,NaN,NaN,NaN,NaN,DES-
22,NaN,NaN,NaN,NaN,DES-
23,NaN,NaN,NaN,NaN,DES-
24,NaN,NaN,NaN,NaN,DES-
25,NaN,NaN,NaN,NaN,DES-
26,NaN,NaN,NaN,NaN,DES-
27,NaN,NaN,NaN,NaN,DES-
28,NaN,NaN,NaN,NaN,DES-
29,NaN,NaN,NaN,NaN,DES-
30,NaN,NaN,NaN,NaN,DES-
31,NaN,NaN,NaN,NaN,DES-
32,NaN,NaN,NaN,NaN,DES-
33,NaN,NaN,NaN,NaN,DES-
34,NaN,NaN,NaN,NaN,DES-
35,NaN,NaN,NaN,NaN,DES-
36,NaN,NaN,NaN,NaN,DES-
