Participant,Stimulus,US Exp,BorderColor
101,G+,4.780521262,#33a02c
102,G+,4.972016461,#33a02c
103,G+,2.965432099,#33a02c
104,G+,4.726748971,#33a02c
105,G+,4.709783966,#33a02c
106,G+,4.965818973,#33a02c
107,G+,4.644358987,#33a02c
108,G+,4.698216735,#33a02c
109,G+,4.982167353,#33a02c
110,G+,3.732510414,#33a02c
111,G+,4.774138519,#33a02c
112,G+,4.980676695,#33a02c
113,G+,4.221193416,#33a02c
114,G+,4.773051698,#33a02c
115,G+,4.966152263,#33a02c
116,G+,5,#33a02c
117,G+,4.975308642,#33a02c
118,G+,3.083676269,#33a02c
119,G+,4.761316998,#33a02c
120,G+,4.968449931,#33a02c
121,G+,5,#33a02c
122,G+,4.738111772,#33a02c
123,G+,4.981893004,#33a02c
124,G+,4.986882716,#33a02c
125,G+,4.958847737,#33a02c
126,G+,4.954288435,#33a02c
127,G+,4.990740741,#33a02c
128,G+,3.694380054,#33a02c
129,G+,4.051081663,#33a02c
130,G+,4.972222222,#33a02c
131,G+,4.931412936,#33a02c
132,G+,4.916940617,#33a02c
133,G+,1.046982168,#33a02c
134,G+,4.977719907,#33a02c
135,G+,3.0123457,#33a02c
136,G+,4.868312757,#33a02c
137,G+,4.976731775,#33a02c
138,G+,4.950617284,#33a02c
139,G+,4.964912481,#33a02c
140,G+,4.887860082,#33a02c
141,G+,4.8069703,#33a02c
142,G+,4.947325103,#33a02c
143,G+,4.992524635,#33a02c
144,G+,4.983539095,#33a02c
145,G+,4.786265432,#33a02c
146,G+,2.994513032,#33a02c
147,G+,4.976382459,#33a02c
148,G+,4.732510288,#33a02c
149,G+,4.703599098,#33a02c
150,G+,4.470683512,#33a02c
151,G+,3.106095679,#33a02c
152,G+,4.859567901,#33a02c
153,G+,4.705075488,#33a02c
154,G+,4.383124516,#33a02c
155,G+,4.944175186,#33a02c
156,G+,3.009645062,#33a02c
157,G+,4.962963047,#33a02c
158,G+,4.96872428,#33a02c
159,G+,3,#33a02c
160,G+,4.968139601,#33a02c
161,G+,4.882030178,#33a02c
162,G+,4.984910837,#33a02c
163,G+,4.969821757,#33a02c
164,G+,4.150891653,#33a02c
165,G+,4.978130511,#33a02c
166,G+,4.961150576,#33a02c
167,G+,4.934156379,#33a02c
101,EG,4.844993141,#33a02c
102,EG,2.998353909,#33a02c
103,EG,2.965432099,#33a02c
104,EG,1.798353909,#33a02c
105,EG,4.26687058,#33a02c
