Participant,Stimulus,US Exp,BorderColor
101,G+,4.795610425,#33a02c
102,G+,4.978600823,#33a02c
103,G+,2.995061728,#33a02c
104,G+,4.731687243,#33a02c
105,G+,4.866702616,#33a02c
106,G+,4.963975695,#33a02c
107,G+,4.741980813,#33a02c
108,G+,4.743484225,#33a02c
109,G+,4.989026063,#33a02c
110,G+,4.27709199,#33a02c
111,G+,4.851472762,#33a02c
112,G+,4.980187412,#33a02c
113,G+,4.803497942,#33a02c
114,G+,4.862808642,#33a02c
115,G+,4.951929012,#33a02c
116,G+,5,#33a02c
117,G+,4.97942391,#33a02c
118,G+,2.493827161,#33a02c
119,G+,4.695473335,#33a02c
120,G+,4.968449931,#33a02c
121,G+,5,#33a02c
122,G+,4.563111773,#33a02c
123,G+,4.988477366,#33a02c
124,G+,4.981095679,#33a02c
125,G+,4.968449931,#33a02c
126,G+,4.97792386,#33a02c
127,G+,4.984953704,#33a02c
128,G+,3.632565807,#33a02c
129,G+,4.1507532,#33a02c
130,G+,4.974074074,#33a02c
131,G+,4.899862826,#33a02c
132,G+,4.899026833,#33a02c
133,G+,1.036694102,#33a02c
134,G+,4.954571759,#33a02c
135,G+,2.956104294,#33a02c
136,G+,4.836762689,#33a02c
137,G+,4.974597075,#33a02c
138,G+,4.956790312,#33a02c
139,G+,4.96327085,#33a02c
140,G+,4.929012346,#33a02c
141,G+,4.780431643,#33a02c
142,G+,4.930864197,#33a02c
143,G+,5,#33a02c
144,G+,4.975308642,#33a02c
145,G+,4.799768519,#33a02c
146,G+,2.994513032,#33a02c
147,G+,4.961850566,#33a02c
148,G+,4.55829904,#33a02c
149,G+,4.822925102,#33a02c
150,G+,4.721196415,#33a02c
151,G+,3.05787037,#33a02c
152,G+,4.938657407,#33a02c
153,G+,4.801097645,#33a02c
154,G+,4.477696487,#33a02c
155,G+,4.938966853,#33a02c
156,G+,3.040509259,#33a02c
157,G+,4.973937025,#33a02c
158,G+,4.985712449,#33a02c
159,G+,3.011589164,#33a02c
160,G+,4.96956505,#33a02c
161,G+,4.919067215,#33a02c
162,G+,4.989026063,#33a02c
163,G+,4.972565409,#33a02c
164,G+,3.997256579,#33a02c
165,G+,4.969664903,#33a02c
166,G+,4.979180739,#33a02c
167,G+,4.953360768,#33a02c
101,MG,4.788751715,#33a02c
102,MG,2.960493827,#33a02c
103,MG,2.995061728,#33a02c
104,MG,2.030452675,#33a02c
105,MG,4.228906612,#33a02c
106,MG,3.021669239,#33a02c
107,MG,4.743745627,#33a02c
108,MG,3.030178326,#33a02c
109,MG,3.432098765,#33a02c
110,MG,2.515775097,#33a02c
111,MG,4.658895333,#33a02c
112,MG,3.758380237,#33a02c
113,MG,4.690329218,#33a02c
114,MG,4.783699846,#33a02c
115,MG,1.028395062,#33a02c
116,MG,5,#33a02c
117,MG,2.991769568,#33a02c
118,MG,2.263374486,#33a02c
119,MG,4.698216777,#33a02c
120,MG,3.649862826,#33a02c
