Participant,Stimulus,US Exp,BorderColor
101,G+,4.840877915,#33a02c
102,G+,4.967078189,#33a02c
103,G+,2.955555556,#33a02c
104,G+,4.861728395,#33a02c
105,G+,4.765464714,#33a02c
106,G+,4.962995113,#33a02c
107,G+,4.567848137,#33a02c
108,G+,4.855967078,#33a02c
109,G+,4.978052126,#33a02c
110,G+,3.79561053,#33a02c
111,G+,4.843890974,#33a02c
112,G+,4.979605334,#33a02c
113,G+,4.153292181,#33a02c
114,G+,4.425919496,#33a02c
115,G+,4.957889661,#33a02c
116,G+,3.666666667,#33a02c
117,G+,4.975308851,#33a02c
118,G+,3.148148148,#33a02c
119,G+,4.754458288,#33a02c
120,G+,4.959876543,#33a02c
121,G+,5,#33a02c
122,G+,4.488073192,#33a02c
123,G+,4.983539095,#33a02c
124,G+,4.983024692,#33a02c
125,G+,4.978052126,#33a02c
126,G+,4.976213536,#33a02c
127,G+,4.981095679,#33a02c
128,G+,3.002060475,#33a02c
129,G+,4.354626798,#33a02c
130,G+,4.95,#33a02c
131,G+,4.953360894,#33a02c
132,G+,4.596111231,#33a02c
133,G+,1.04526749,#33a02c
134,G+,4.964699074,#33a02c
135,G+,2.958847737,#33a02c
136,G+,4.842249657,#33a02c
137,G+,4.961788878,#33a02c
138,G+,4.812345717,#33a02c
139,G+,4.964912481,#33a02c
140,G+,4.896433471,#33a02c
141,G+,4.814775787,#33a02c
142,G+,4.957201646,#33a02c
143,G+,4.707101597,#33a02c
144,G+,4.976954733,#33a02c
145,G+,4.774691358,#33a02c
146,G+,3.002743484,#33a02c
147,G+,4.979475309,#33a02c
148,G+,4.930041152,#33a02c
149,G+,4.810844873,#33a02c
150,G+,4.468523917,#33a02c
151,G+,3.21412037,#33a02c
152,G+,4.824845679,#33a02c
153,G+,4.762688824,#33a02c
154,G+,3.446395114,#33a02c
155,G+,4.934405543,#33a02c
156,G+,3.003858025,#33a02c
157,G+,4.964334873,#33a02c
158,G+,4.983146862,#33a02c
159,G+,2.994205418,#33a02c
160,G+,4.961979807,#33a02c
161,G+,4.835390947,#33a02c
162,G+,4.982167352,#33a02c
163,G+,4.953360894,#33a02c
164,G+,4.260631127,#33a02c
165,G+,4.951322751,#33a02c
166,G+,4.966067736,#33a02c
167,G+,4.849108368,#33a02c
101,DG,2.916323731,#33a02c
102,DG,2.993415638,#33a02c
103,DG,2.975308642,#33a02c
104,DG,1.579423868,#33a02c
105,DG,3.413944883,#33a02c
106,DG,2.94347458,#33a02c
107,DG,3.428436979,#33a02c
108,DG,3.63648834,#33a02c
109,DG,2.997256516,#33a02c
110,DG,2.798354056,#33a02c
111,DG,4.869669055,#33a02c
112,DG,3.582879481,#33a02c
113,DG,4.579218107,#33a02c
114,DG,3.718975051,#33a02c
115,DG,2.352366255,#33a02c
116,DG,3.666666667,#33a02c
117,DG,2.960219563,#33a02c
118,DG,3.148148148,#33a02c
119,DG,4.779149478,#33a02c
120,DG,4.944444444,#33a02c
121,DG,2.969018076,#33a02c
122,DG,4.548980379,#33a02c
123,DG,2.944032922,#33a02c
124,DG,4.971450618,#33a02c
125,DG,3.978052126,#33a02c
126,DG,3.927835012,#33a02c
127,DG,4.041666667,#33a02c
128,DG,2.309740895,#33a02c
129,DG,4.26401631,#33a02c
130,DG,4.957407407,#33a02c
131,DG,2.956104294,#33a02c
132,DG,4.218280968,#33a02c
133,DG,2.35356653,#33a02c
134,DG,2.982638889,#33a02c
135,DG,2.936899883,#33a02c
136,DG,3.618655693,#33a02c
137,DG,2.946632512,#33a02c
138,DG,4.724691509,#33a02c
139,DG,4.311583202,#33a02c
140,DG,4.354595336,#33a02c
141,DG,4.860047614,#33a02c
142,DG,4.980246913,#33a02c
143,DG,4.675387926,#33a02c
144,DG,3.735802469,#33a02c
145,DG,4.574074074,#33a02c
146,DG,2.960219479,#33a02c
147,DG,3.88751929,#33a02c
148,DG,2.891632373,#33a02c
149,DG,3.573017898,#33a02c
150,DG,4.641291437,#33a02c
151,DG,3.335648148,#33a02c
152,DG,4.612654321,#33a02c
153,DG,2.934156441,#33a02c
154,DG,2.626297928,#33a02c
155,DG,1.516637732,#33a02c
156,DG,3.665509259,#33a02c
157,DG,2.995884836,#33a02c
158,DG,3.650835906,#33a02c
159,DG,2.994205418,#33a02c
160,DG,3.682085061,#33a02c
161,DG,2.953360768,#33a02c
162,DG,4.983539094,#33a02c
163,DG,4.296296506,#33a02c
164,DG,3.485596729,#33a02c
165,DG,2.208465608,#33a02c
166,DG,1.128848085,#33a02c
167,DG,3.650205761,#33a02c
101,DH,2.293552812,#e41a1c
102,DH,2.344855967,#e41a1c
