Participant,Stimulus,US Exp,BorderColor
101,DEF+,4.827160494,#bebada
102,DEF+,4.96872428,#bebada
103,DEF+,2.963786008,#bebada
104,DEF+,3.622222222,#bebada
105,DEF+,4.621201705,#bebada
106,DEF+,4.96615655,#bebada
107,DEF+,2.469832912,#bebada
108,DEF+,4.727023319,#bebada
109,DEF+,4.986282579,#bebada
110,DEF+,4.491083739,#bebada
111,DEF+,4.901512567,#bebada
112,DEF+,4.968065004,#bebada
113,DEF+,4.176954733,#bebada
114,DEF+,4.893640689,#bebada
115,DEF+,4.967766204,#bebada
116,DEF+,3.658225954,#bebada
117,DEF+,4.976680468,#bebada
118,DEF+,2.953360768,#bebada
119,DEF+,4.625514403,#bebada
120,DEF+,1.923182442,#bebada
121,DEF+,5,#bebada
122,DEF+,4.692146164,#bebada
123,DEF+,4.980246914,#bebada
124,DEF+,4.983024692,#bebada
125,DEF+,4.984910837,#bebada
126,DEF+,2.960370099,#bebada
127,DEF+,4.977237655,#bebada
128,DEF+,1.732807912,#bebada
129,DEF+,4.279873145,#bebada
130,DEF+,4.314814815,#bebada
131,DEF+,4.946502183,#bebada
132,DEF+,4.112423407,#bebada
133,DEF+,3.589849108,#bebada
134,DEF+,3.652488426,#bebada
135,DEF+,2.969821715,#bebada
136,DEF+,4.871056242,#bebada
137,DEF+,4.961788878,#bebada
138,DEF+,4.619753143,#bebada
139,DEF+,4.966553862,#bebada
140,DEF+,3.673868313,#bebada
141,DEF+,4.817897982,#bebada
142,DEF+,3.641975309,#bebada
143,DEF+,3.788001139,#bebada
144,DEF+,3.658436214,#bebada
145,DEF+,3.561342592,#bebada
146,DEF+,4.456790123,#bebada
147,DEF+,4.987570731,#bebada
148,DEF+,4.836762689,#bebada
149,DEF+,4.854104241,#bebada
150,DEF+,4.614498666,#bebada
151,DEF+,3.408950617,#bebada
152,DEF+,4.934799383,#bebada
153,DEF+,4.838134431,#bebada
154,DEF+,3.365195279,#bebada
155,DEF+,4.920223283,#bebada
156,DEF+,4.983024692,#bebada
157,DEF+,4.976680468,#bebada
158,DEF+,4.984773663,#bebada
159,DEF+,3.009657637,#bebada
160,DEF+,4.966062122,#bebada
161,DEF+,4.871056241,#bebada
162,DEF+,2.534979424,#bebada
163,DEF+,4.980795527,#bebada
164,DEF+,3.292181112,#bebada
165,DEF+,4.972486772,#bebada
166,DEF+,4.979180987,#bebada
167,DEF+,3.252400549,#bebada
101,DMN,4.890260631,#ffd92f
102,DMN,1.024691358,#ffd92f
103,DMN,2.963786008,#ffd92f
104,DMN,1.58600823,#ffd92f
105,DMN,2.168724094,#ffd92f
106,DMN,4.966247643,#ffd92f
107,DMN,2.32791475,#ffd92f
108,DMN,4.716049383,#ffd92f
109,DMN,1.70781893,#ffd92f
110,DMN,3.009602257,#ffd92f
111,DMN,3.594412222,#ffd92f
112,DMN,1.667058093,#ffd92f
113,DMN,4.037037037,#ffd92f
114,DMN,1.506590792,#ffd92f
115,DMN,1.050810185,#ffd92f
116,DMN,1,#ffd92f
117,DMN,2.289437649,#ffd92f
118,DMN,3.395061728,#ffd92f
119,DMN,4.618655902,#ffd92f
120,DMN,4.767832647,#ffd92f
121,DMN,2.9840048,#ffd92f
122,DMN,4.69555776,#ffd92f
123,DMN,3.409876543,#ffd92f
