Participant,Stimulus,US Exp,BorderColor
101,DEF+2,3.621399177,#bebada
102,DEF+2,3.686419753,#bebada
103,DEF+2,2.97037037,#bebada
104,DEF+2,4.795884774,#bebada
105,DEF+2,3.656914512,#bebada
106,DEF+2,4.895945859,#bebada
107,DEF+2,4.495447463,#bebada
108,DEF+2,4.674897119,#bebada
109,DEF+2,4.263374486,#bebada
110,DEF+2,4.54869697,#bebada
111,DEF+2,4.718033284,#bebada
112,DEF+2,4.983384624,#bebada
113,DEF+2,4.498971193,#bebada
114,DEF+2,2.457227366,#bebada
115,DEF+2,4.974897119,#bebada
116,DEF+2,2.529114151,#bebada
117,DEF+2,3.506172965,#bebada
118,DEF+2,2.910968257,#bebada
119,DEF+2,4.32647479,#bebada
120,DEF+2,4.97702332,#bebada
121,DEF+2,5,#bebada
122,DEF+2,4.426592813,#bebada
123,DEF+2,4.980246914,#bebada
124,DEF+2,4.984953704,#bebada
125,DEF+2,4.455418381,#bebada
126,DEF+2,4.391284079,#bebada
127,DEF+2,3.679012346,#bebada
128,DEF+2,1.087879256,#bebada
129,DEF+2,4.105447956,#bebada
130,DEF+2,4.314814815,#bebada
131,DEF+2,4.927297877,#bebada
132,DEF+2,4.169423514,#bebada
133,DEF+2,4.9478738,#bebada
134,DEF+2,4.2890625,#bebada
135,DEF+2,2.958847737,#bebada
136,DEF+2,4.912208505,#bebada
137,DEF+2,4.961788878,#bebada
138,DEF+2,3.648148148,#bebada
139,DEF+2,4.966554112,#bebada
140,DEF+2,4.832990398,#bebada
141,DEF+2,4.838192249,#bebada
142,DEF+2,4.948971193,#bebada
143,DEF+2,4.343980066,#bebada
144,DEF+2,4.973662551,#bebada
145,DEF+2,1.202160494,#bebada
146,DEF+2,4.098765432,#bebada
147,DEF+2,4.946154836,#bebada
148,DEF+2,4.95473251,#bebada
149,DEF+2,4.787916059,#bebada
150,DEF+2,3.401375501,#bebada
151,DEF+2,3.652006173,#bebada
152,DEF+2,4.873070988,#bebada
153,DEF+2,4.946502183,#bebada
154,DEF+2,4.034293105,#bebada
155,DEF+2,4.942069348,#bebada
156,DEF+2,4.94058642,#bebada
157,DEF+2,4.965706489,#bebada
158,DEF+2,4.993524949,#bebada
159,DEF+2,3.044425129,#bebada
160,DEF+2,4.940806118,#bebada
161,DEF+2,4.9478738,#bebada
162,DEF+2,3.515775034,#bebada
163,DEF+2,4.921810992,#bebada
164,DEF+2,4.481481586,#bebada
165,DEF+2,4.971075837,#bebada
166,DEF+2,4.377617714,#bebada
167,DEF+2,3.905349794,#bebada
101,UMN+2,2.341563786,#bc80bd
102,UMN+2,4.981893004,#bc80bd
103,UMN+2,2.976954733,#bc80bd
104,UMN+2,4.853497942,#bc80bd
105,UMN+2,4.547804286,#bc80bd
106,UMN+2,4.872460134,#bc80bd
107,UMN+2,4.652002056,#bc80bd
108,UMN+2,4.776406035,#bc80bd
109,UMN+2,4.982167353,#bc80bd
110,UMN+2,4.393690175,#bc80bd
111,UMN+2,4.719549642,#bc80bd
112,UMN+2,4.984228215,#bc80bd
113,UMN+2,4.423868313,#bc80bd
114,UMN+2,1.329546039,#bc80bd
115,UMN+2,4.972961677,#bc80bd
116,UMN+2,3.65238024,#bc80bd
117,UMN+2,4.96159143,#bc80bd
118,UMN+2,2.985269784,#bc80bd
119,UMN+2,4.320987905,#bc80bd
120,UMN+2,2.332990398,#bc80bd
121,UMN+2,5,#bc80bd
122,UMN+2,4.338144841,#bc80bd
123,UMN+2,4.955555556,#bc80bd
124,UMN+2,4.977237655,#bc80bd
125,UMN+2,4.840877915,#bc80bd
126,UMN+2,4.732151612,#bc80bd
127,UMN+2,4.967592593,#bc80bd
128,UMN+2,4.866790295,#bc80bd
129,UMN+2,4.186997395,#bc80bd
130,UMN+2,4.97037037,#bc80bd
131,UMN+2,4.913580247,#bc80bd
132,UMN+2,4.951140733,#bc80bd
133,UMN+2,4.92558299,#bc80bd
134,UMN+2,4.93287037,#bc80bd
135,UMN+2,1.058984911,#bc80bd
136,UMN+2,4.956104252,#bc80bd
137,UMN+2,4.944711282,#bc80bd
138,UMN+2,3.600000075,#bc80bd
139,UMN+2,4.971478754,#bc80bd
140,UMN+2,3.692729767,#bc80bd
141,UMN+2,4.785114936,#bc80bd
142,UMN+2,4.952263374,#bc80bd
143,UMN+2,5,#bc80bd
144,UMN+2,4.972016461,#bc80bd
145,UMN+2,4.633873457,#bc80bd
146,UMN+2,1.864197531,#bc80bd
147,UMN+2,4.974852109,#bc80bd
148,UMN+2,4.964334705,#bc80bd
149,UMN+2,4.787916059,#bc80bd
150,UMN+2,3.947065787,#bc80bd
151,UMN+2,3.721450617,#bc80bd
152,UMN+2,3.582561728,#bc80bd
153,UMN+2,4.877915078,#bc80bd
154,UMN+2,3.807231228,#bc80bd
155,UMN+2,4.918957369,#bc80bd
156,UMN+2,4.284722222,#bc80bd
157,UMN+2,4.967078315,#bc80bd
158,UMN+2,3.65474537,#bc80bd
159,UMN+2,3.023178328,#bc80bd
160,UMN+2,4.959845107,#bc80bd
161,UMN+2,4.958847737,#bc80bd
162,UMN+2,4.279835391,#bc80bd
163,UMN+2,4.950617451,#bc80bd
164,UMN+2,4.728395062,#bc80bd
165,UMN+2,4.972486772,#bc80bd
166,UMN+2,4.11371657,#bc80bd
167,UMN+2,2.577503429,#bc80bd
101,DMN2,1.087791495,#bc80bd
102,DMN2,4.981893004,#bc80bd
103,DMN2,2.975308642,#bc80bd
104,DMN2,3.645267489,#bc80bd
105,DMN2,2.791334598,#bc80bd
106,DMN2,4.900489755,#bc80bd
107,DMN2,3.855743212,#bc80bd
108,DMN2,4.694101509,#bc80bd
109,DMN2,3.119341564,#bc80bd
110,DMN2,4.613168808,#bc80bd
111,DMN2,4.728647788,#bc80bd
112,DMN2,4.985451423,#bc80bd
113,DMN2,4.228395062,#bc80bd
114,DMN2,3.008706275,#bc80bd
115,DMN2,1.02496142,#bc80bd
116,DMN2,3.588532131,#bc80bd
117,DMN2,2.111111226,#bc80bd
118,DMN2,2.910968257,#bc80bd
119,DMN2,4.389574802,#bc80bd
120,DMN2,1.01611797,#bc80bd
121,DMN2,5,#bc80bd
122,DMN2,3.596930114,#bc80bd
123,DMN2,4.01563786,#bc80bd
124,DMN2,4.309799383,#bc80bd
125,DMN2,4.758573388,#bc80bd
126,DMN2,4.434291175,#bc80bd
127,DMN2,4.730324074,#bc80bd
128,DMN2,4.901818369,#bc80bd
129,DMN2,3.994450108,#bc80bd
130,DMN2,4.901851852,#bc80bd
131,DMN2,2.939643431,#bc80bd
132,DMN2,4.701968792,#bc80bd
133,DMN2,4.971879287,#bc80bd
134,DMN2,4.922743056,#bc80bd
135,DMN2,1.069958889,#bc80bd
136,DMN2,3.315500686,#bc80bd
137,DMN2,1.04461522,#bc80bd
138,DMN2,3.501234549,#bc80bd
139,DMN2,4.976403396,#bc80bd
140,DMN2,2.365569273,#bc80bd
141,DMN2,4.88658627,#bc80bd
142,DMN2,3.638683127,#bc80bd
143,DMN2,4.981198324,#bc80bd
144,DMN2,4.580246914,#bc80bd
145,DMN2,4.711033951,#bc80bd
146,DMN2,1.855967078,#bc80bd
147,DMN2,3.85162037,#bc80bd
148,DMN2,2.924554184,#bc80bd
149,DMN2,3.576889982,#bc80bd
150,DMN2,4.398049495,#bc80bd
151,DMN2,3.626929013,#bc80bd
152,DMN2,3.621141975,#bc80bd
153,DMN2,4.868312925,#bc80bd
154,DMN2,3.618442366,#bc80bd
155,DMN2,1.078177244,#bc80bd
156,DMN2,4.932870371,#bc80bd
157,DMN2,2.989026021,#bc80bd
158,DMN2,3.641634516,#bc80bd
159,DMN2,3.052151239,#bc80bd
160,DMN2,3.661790459,#bc80bd
161,DMN2,4.950617284,#bc80bd
162,DMN2,1.83127572,#bc80bd
163,DMN2,4.941015299,#bc80bd
164,DMN2,2.595336181,#bc80bd
165,DMN2,3.506525573,#bc80bd
166,DMN2,4.308773889,#bc80bd
167,DMN2,3.109739369,#bc80bd
101,DMN1,4.890260631,#ffd92f
102,DMN1,1.024691358,#ffd92f
103,DMN1,2.963786008,#ffd92f
104,DMN1,1.58600823,#ffd92f
105,DMN1,2.168724094,#ffd92f
106,DMN1,4.966247643,#ffd92f
107,DMN1,2.32791475,#ffd92f
108,DMN1,4.716049383,#ffd92f
109,DMN1,1.70781893,#ffd92f
110,DMN1,3.009602257,#ffd92f
111,DMN1,3.594412222,#ffd92f
112,DMN1,1.667058093,#ffd92f
113,DMN1,4.037037037,#ffd92f
114,DMN1,1.506590792,#ffd92f
115,DMN1,1.050810185,#ffd92f
116,DMN1,1,#ffd92f
117,DMN1,2.289437649,#ffd92f
118,DMN1,3.395061728,#ffd92f
119,DMN1,4.618655902,#ffd92f
120,DMN1,4.767832647,#ffd92f
121,DMN1,2.9840048,#ffd92f
122,DMN1,4.69555776,#ffd92f
123,DMN1,3.409876543,#ffd92f
124,DMN1,1.987268518,#ffd92f
125,DMN1,4.310013717,#ffd92f
126,DMN1,3.32290168,#ffd92f
127,DMN1,2.415509259,#ffd92f
128,DMN1,3.01236285,#ffd92f
129,DMN1,4.225506852,#ffd92f
130,DMN1,1.012962963,#ffd92f
131,DMN1,3,#ffd92f
132,DMN1,2.918675169,#ffd92f
133,DMN1,3.637860082,#ffd92f
134,DMN1,2.972511574,#ffd92f
135,DMN1,2.939643326,#ffd92f
136,DMN1,3.799725652,#ffd92f
137,DMN1,1.025402925,#ffd92f
138,DMN1,1.391358034,#ffd92f
139,DMN1,3.638555603,#ffd92f
140,DMN1,2.624485597,#ffd92f
141,DMN1,1.26640128,#ffd92f
142,DMN1,2.325102881,#ffd92f
143,DMN1,4.280552724,#ffd92f
144,DMN1,3.200823045,#ffd92f
145,DMN1,4.765046296,#ffd92f
146,DMN1,1.244170096,#ffd92f
147,DMN1,3.325655864,#ffd92f
148,DMN1,1.766803841,#ffd92f
149,DMN1,1.238918583,#ffd92f
150,DMN1,4.744951949,#ffd92f
151,DMN1,3.208333333,#ffd92f
152,DMN1,1.042052469,#ffd92f
153,DMN1,1.722908114,#ffd92f
154,DMN1,1.894985676,#ffd92f
155,DMN1,1.049913194,#ffd92f
156,DMN1,4.977237655,#ffd92f
157,DMN1,2.983539241,#ffd92f
158,DMN1,3.342451132,#ffd92f
159,DMN1,3.017383746,#ffd92f
160,DMN1,1.037892212,#ffd92f
161,DMN1,3.053497942,#ffd92f
162,DMN1,3.637860082,#ffd92f
163,DMN1,2.764060398,#ffd92f
164,DMN1,3.27709197,#ffd92f
165,DMN1,3.754850088,#ffd92f
166,DMN1,1.509127722,#ffd92f
167,DMN1,1.105624143,#ffd92f
101,MN-2,1.111111111,#ffd92f
102,MN-2,3.656790123,#ffd92f
103,MN-2,2.975308642,#ffd92f
104,MN-2,1.256790123,#ffd92f
105,MN-2,3.026711587,#ffd92f
