ID,trial,stimulus,DV
101,1,A,1.046875
101,2,A,4.993016975
101,3,A,4.966473765
101,4,A,4.964448302
101,5,A,4.98595679
101,1,AB,1.01869213
101,2,AB,1.93744213
101,3,AB,4.989274691
101,4,AB,4.964448302
101,5,AB,4.989969136
101,1,BC,3.995013503
101,2,BC,4.978308256
101,3,BC,4.6208815585
101,4,BC,4.9816550925
101,5,BC,4.971161265
101,1,ABR,3.9888792435
101,2,ABR,4.986323302
101,3,ABR,4.996624228
101,4,ABR,4.996624228
101,5,ABR,4.996624228
101,1,B,2.376022377
101,2,B,1.0227141205
101,3,B,1.016869213
101,4,B,1.0179108795
101,5,B,1.011554784
101,1,C,1.5856963735
101,2,C,1.017660108
101,3,C,1.5138310185
101,4,C,1.017380401
101,5,C,1.0193576385
101,1,ABC,2.659249614
101,2,ABC,1.01410108
101,3,ABC,1.029976852
101,4,ABC,1.01568287
101,5,ABC,1.0122781635
102,1,A,1.273015873
102,2,A,4.993650794
102,3,A,4.964021164
102,4,A,4.993650794
102,5,A,5
102,1,AB,1.556613757
102,2,AB,4.942857143
102,3,AB,4.900529101
102,4,AB,4.985185185
102,5,AB,5
102,1,BC,3.982010582
102,2,BC,4.966137566
102,3,BC,4.7481481485
102,4,BC,4.949206349500001
102,5,BC,4.984126984
102,1,ABR,3.717338607
102,2,ABR,4.9195767195
102,3,ABR,4.9174603175
102,4,ABR,4.908994709
102,5,ABR,4.9915343915
102,1,B,1.9904761905
102,2,B,1.0105820105
102,3,B,1.016931217
102,4,B,1.006349206
102,5,B,1.004232804
102,1,C,2.051851852
102,2,C,1.0126984125
102,3,C,1.021164021
102,4,C,1.0084656085
102,5,C,1.015873016
102,1,ABC,2.729100529
102,2,ABC,1.059259259
102,3,ABC,1.023280423
102,4,ABC,1.014814815
102,5,ABC,1.0095238095
103,1,A,2.646090535
103,2,A,4.654320988
103,3,A,4.798353909
103,4,A,4.979423868
103,5,A,4.983539095
103,1,AB,3.304526749
103,2,AB,4.851851852
103,3,AB,4.790123457
103,4,AB,4.909465021
103,5,AB,4.913580247
103,1,BC,4.8703703705
103,2,BC,4.991769547
103,3,BC,4.940329218500001
103,4,BC,4.8353909465
103,5,BC,4.975308642
103,1,ABR,4.1111111115
103,2,ABR,4.989711934500001
103,3,ABR,4.9794238685
103,4,ABR,4.985596708
103,5,ABR,4.995884774
103,1,B,1.304526749
103,2,B,1.010288066
103,3,B,1.3230452675
103,4,B,1.010288066
103,5,B,1.010288066
103,1,C,2.366255144
103,2,C,1.427983539
103,3,C,1.339506173
103,4,C,1.172839506
103,5,C,1.024691358
103,1,ABC,2.9567901235
103,2,ABC,1.2160493825
103,3,ABC,1.024691358
103,4,ABC,1
103,5,ABC,1.0082304525
104,1,A,2.820601852
104,2,A,4.851851852
104,3,A,4.591435185
104,4,A,4.846064815
104,5,A,4.846064815
104,1,AB,2.820601852
104,2,AB,3.017361111
104,3,AB,4.591435185
104,4,AB,4.846064815
104,5,AB,4.846064815
104,1,BC,4.8113425925
104,2,BC,4.721643518500001
104,3,BC,4.712962963000001
104,4,BC,3.005787037
104,5,BC,3.034722222
104,1,ABR,4.7881944445
104,2,ABR,4.71875
104,3,ABR,4.71875
104,4,ABR,4.71875
104,5,ABR,4.71875
104,1,B,2.134837963
104,2,B,1.2957175925
104,3,B,1.353587963
104,4,B,4.591435185
104,5,B,1.4346064815
104,1,C,2.207175926
104,2,C,1.2957175925
104,3,C,1.541666667
104,4,C,1.258101852
104,5,C,2.9739583335
104,1,ABC,4.822916667
104,2,ABC,4.643518518500001
104,3,ABC,4.591435185
104,4,ABC,4.846064815
104,5,ABC,4.8605324075
105,1,A,1.585185185
105,2,A,1.230459105
105,3,A,3.840528549
105,4,A,4.006847994
105,5,A,4.978510802
105,1,AB,3.06564429
105,2,AB,1.361458333
105,3,AB,1.796084105
105,4,AB,3.344386574
105,5,AB,4.469116512
105,1,BC,3.635339506
105,2,BC,4.878404707
105,3,BC,4.2961902005
105,4,BC,4.600578704
105,5,BC,4.9591145835
105,1,ABR,2.740210262
105,2,ABR,4.436053241
105,3,ABR,4.8199363425
105,4,ABR,4.744666281000001
105,5,ABR,4.503790509
105,1,B,2.419251543
105,2,B,1.2150752315
105,3,B,1.491251929
105,4,B,1.1405189045
105,5,B,1.200289352
105,1,C,2.5418499225
105,2,C,1.432687114
105,3,C,1.5336998455
105,4,C,1.392496142
105,5,C,1.154533179
105,1,ABC,3.4858796295
105,2,ABC,1.3325906635
105,3,ABC,1.3772280095
105,4,ABC,1.01257716
105,5,ABC,1.0408564815
106,1,A,1.139917695
106,2,A,4.909465021
106,3,A,4.925925926
106,4,A,4.835390947
106,5,A,4.777777778
106,1,AB,3.358024691
106,2,AB,4.851851852
106,3,AB,4.823045267
106,4,AB,4.897119342
106,5,AB,4.851851852
106,1,BC,4.794238683
106,2,BC,4.862139918
106,3,BC,4.868312757
106,4,BC,4.880658436499999
106,5,BC,4.890946502
106,1,ABR,3.9362139915
106,2,ABR,4.882716049500001
106,3,ABR,4.8950617285
106,4,ABR,4.802469136
106,5,ABR,4.8312757205
106,1,B,1.086419753
106,2,B,1.0781893005
106,3,B,1.063786008
106,4,B,1.0802469135
106,5,B,1.034979424
106,1,C,1.0534979425
106,2,C,1.0555555555
106,3,C,1.037037037
106,4,C,1.012345679
106,5,C,1.100823045
106,1,ABC,2.656378601
106,2,ABC,1.0329218105
106,3,ABC,1.0432098765
106,4,ABC,1.0679012345
106,5,ABC,2.9465020575
107,1,A,1.049382716
107,2,A,4.909465021
107,3,A,4.83127572
107,4,A,4.806584362
107,5,A,4.798353909
107,1,AB,1.230452675
107,2,AB,4.913580247
107,3,AB,1.349794239
107,4,AB,1.218106996
107,5,AB,4.827160494
107,1,BC,4.814814815
107,2,BC,4.6666666665
107,3,BC,4.802469136
107,4,BC,4.8230452675
107,5,BC,4.771604938
107,1,ABR,2.9423868315
107,2,ABR,4.790123457
107,3,ABR,4.851851852
107,4,ABR,4.851851852
107,5,ABR,4.851851852
107,1,B,2.1316872425
107,2,B,1.195473251
107,3,B,1.1769547325
107,4,B,3.0164609055
107,5,B,1.277777778
107,1,C,2.125514403
107,2,C,1.228395062
107,3,C,1.2654320985
107,4,C,1.2016460905
107,5,C,1.230452675
107,1,ABC,3.0802469135
107,2,ABC,4.9238683125
107,3,ABC,4.864197531
107,4,ABC,4.716049383
107,5,ABC,3.0061728395
108,1,A,1.123781676
108,2,A,1.089668616
108,3,A,4.951754386
108,4,A,4.927387914
108,5,A,4.910331384
108,1,AB,1.257797271
108,2,AB,4.900584795
108,3,AB,4.907894737
108,4,AB,4.910331384
108,5,AB,4.910331384
108,1,BC,4.050194932
108,2,BC,4.906676413
108,3,BC,4.862816764
108,4,BC,4.9322612085
108,5,BC,4.89205653
108,1,ABR,3.4105750485
108,2,ABR,4.978557505
108,3,ABR,4.978557505
108,4,ABR,4.978557505
108,5,ABR,4.978557505
108,1,B,1.6184210525
108,2,B,1.068957115
108,3,B,1.0860136455
108,4,B,1.0616471735
108,5,B,1.0226608185
108,1,C,2.15082846
108,2,C,1.0677387915
108,3,C,1.093323587
108,4,C,1.072612086
108,5,C,1.033625731
108,1,ABC,2.800194932
108,2,ABC,1.1152534115
108,3,ABC,1.051900585
108,4,ABC,1.0579922025
108,5,ABC,1.050682261
109,1,A,3.004115226
109,2,A,2.971193416
109,3,A,2.979423868
109,4,A,3.818930041
109,5,A,4.349794239
109,1,AB,2.971193416
109,2,AB,4.987654321
109,3,AB,4.979423868
109,4,AB,4.979423868
109,5,AB,4.991769547
109,1,BC,4.965020576500001
109,2,BC,4.987654321
109,3,BC,3.9938271605
109,4,BC,4.981481481499999
109,5,BC,4.989711934
109,1,ABR,3.788065844
109,2,ABR,4.8827160495
109,3,ABR,4.983539095
109,4,ABR,4.981481481499999
109,5,ABR,4.981481481499999
109,1,B,2.0020576135
109,2,B,2.987654321
109,3,B,1.9938271605
109,4,B,2.989711934
109,5,B,1.0061728395
109,1,C,2.2757201645
109,2,C,1.0061728395
109,3,C,1.991769547
109,4,C,1.0082304525
109,5,C,1.0082304525
109,1,ABC,2.9958847735
109,2,ABC,1.0082304525
109,3,ABC,1.008230453
109,4,ABC,1.0144032925
109,5,ABC,1.0061728395
110,1,A,1.037037037
110,2,A,4.958847737
110,3,A,4.958847737
110,4,A,4.983539095
110,5,A,4.991769547
110,1,AB,4.971193416
110,2,AB,4.991769547
110,3,AB,4.971193416
110,4,AB,4.991769547
110,5,AB,4.979423868
110,1,BC,4.983539094499999
110,2,BC,4.985596708
110,3,BC,4.6008230455
110,4,BC,4.975308642
110,5,BC,4.987654321
110,1,ABR,4.66255144
110,2,ABR,4.985596708
110,3,ABR,4.985596708
