ID,trial,stimulus,DV
101,1,BC,2.99689429
101,2,BC,4.993132716
101,3,BC,4.965200617
101,4,BC,4.991415895
101,5,BC,4.966396605
101,6,BC,4.275366512
101,7,BC,4.978703704
101,8,BC,4.984606481
101,9,BC,4.977874228
101,10,BC,4.964448302
101,1,B,2.378838735
101,2,B,2.373206019
101,3,B,1.039853395
101,4,B,1.005574846
101,5,B,1.015046296
101,6,B,1.01869213
101,7,B,1.023649691
101,8,B,1.012172068
101,9,B,1.021585648
101,10,B,1.00152392
101,1,C,2.144695216
101,2,C,1.026697531
101,3,C,1.026697531
101,4,C,1.008622685
101,5,C,1.015760031
101,6,C,2.011902006
101,7,C,1.017997685
101,8,C,1.016763117
101,9,C,1.01568287
101,10,C,1.023032407
102,1,BC,2.978835979
102,2,BC,4.985185185
102,3,BC,4.942857143
102,4,BC,4.989417989
102,5,BC,4.976719577
102,6,BC,4.51957672
102,7,BC,4.955555556
102,8,BC,4.942857143
102,9,BC,4.968253968
102,10,BC,5
102,1,B,2.966137566
102,2,B,1.014814815
102,3,B,1.019047619
102,4,B,1.002116402
102,5,B,1.014814815
102,6,B,1.019047619
102,7,B,1.006349206
102,8,B,1.006349206
102,9,B,1.006349206
102,10,B,1.002116402
102,1,C,2.957671958
102,2,C,1.146031746
102,3,C,1.019047619
102,4,C,1.006349206
102,5,C,1.002116402
102,6,C,1.04021164
102,7,C,1.006349206
102,8,C,1.010582011
102,9,C,1.031746032
102,10,C,1
103,1,BC,4.75308642
103,2,BC,4.987654321
103,3,BC,4.991769547
103,4,BC,4.991769547
103,5,BC,4.995884774
103,6,BC,4.884773663
103,7,BC,4.703703704
103,8,BC,4.967078189
103,9,BC,4.983539095
103,10,BC,4.967078189
103,1,B,1.58436214
103,2,B,1.024691358
103,3,B,1
103,4,B,1.020576132
103,5,B,1
103,6,B,1.646090535
103,7,B,1.020576132
103,8,B,1
103,9,B,1.012345679
103,10,B,1.008230453
103,1,C,2.502057613
103,2,C,2.230452675
103,3,C,1.572016461
103,4,C,1.283950617
103,5,C,1.106995885
103,6,C,1.572016461
103,7,C,1.279835391
103,8,C,1.065843621
103,9,C,1.04526749
103,10,C,1.004115226
104,1,BC,4.793981481
104,2,BC,4.828703704
104,3,BC,4.793981481
104,4,BC,4.649305556
104,5,BC,4.765046296
104,6,BC,4.66087963
104,7,BC,1.420138889
104,8,BC,4.591435185
104,9,BC,1.449074074
104,10,BC,4.62037037
104,1,B,3.104166667
104,2,B,1.165509259
104,3,B,1.28125
104,4,B,1.310185185
104,5,B,1.541666667
104,6,B,1.165509259
104,7,B,4.591435185
104,8,B,4.591435185
104,9,B,1.449074074
104,10,B,1.420138889
104,1,C,3.104166667
104,2,C,1.310185185
104,3,C,1.28125
104,4,C,1.310185185
104,5,C,1.541666667
104,6,C,1.541666667
104,7,C,1.06712963
104,8,C,1.449074074
104,9,C,4.846064815
104,10,C,1.101851852
105,1,BC,3.002546296
105,2,BC,4.268132716
105,3,BC,4.80929784
105,4,BC,4.947511574
105,5,BC,4.936612654
105,6,BC,3.655767747
105,7,BC,4.508236883
105,8,BC,4.692920525
105,9,BC,4.943422068
105,10,BC,4.974807099
105,1,B,3.013618827
105,2,B,1.824884259
105,3,B,1.393634259
105,4,B,1.036516204
105,5,B,1.051060957
105,6,B,1.931442901
105,7,B,1.230459105
105,8,B,1.050578704
105,9,B,1.025559414
105,10,B,1.37501929
105,1,C,3.002546296
105,2,C,2.081153549
105,3,C,1.733815586
105,4,C,1.131558642
105,5,C,1.006423611
105,6,C,2.06097608
105,7,C,1.644270833
105,8,C,1.140721451
105,9,C,1.01257716
105,10,C,1.296489198
106,1,BC,4.765432099
106,2,BC,4.823045267
106,3,BC,4.864197531
106,4,BC,4.860082305
106,5,BC,4.855967078
106,6,BC,4.880658436
106,7,BC,4.913580247
106,8,BC,4.847736626
106,9,BC,4.888888889
106,10,BC,4.893004115
106,1,B,1.094650206
106,2,B,1.0781893
106,3,B,1.069958848
106,4,B,1.086419753
106,5,B,1.086419753
106,6,B,1.041152263
106,7,B,1.049382716
106,8,B,1.111111111
106,9,B,1.020576132
106,10,B,1.049382716
106,1,C,1.024691358
106,2,C,1.082304527
106,3,C,1.024691358
106,4,C,1.086419753
106,5,C,1.032921811
106,6,C,1.041152263
106,7,C,1.020576132
106,8,C,1.004115226
106,9,C,1.049382716
106,10,C,1.152263374
107,1,BC,4.827160494
107,2,BC,4.802469136
107,3,BC,4.625514403
107,4,BC,4.70781893
107,5,BC,4.814814815
107,6,BC,4.790123457
107,7,BC,4.942386831
107,8,BC,4.703703704
107,9,BC,4.757201646
107,10,BC,4.78600823
107,1,B,3.028806584
107,2,B,1.234567901
107,3,B,1.119341564
107,4,B,1.271604938
107,5,B,1.12345679
107,6,B,1.230452675
107,7,B,4.913580247
107,8,B,1.119341564
107,9,B,1.218106996
107,10,B,1.33744856
107,1,C,3.028806584
107,2,C,1.222222222
107,3,C,1.238683128
107,4,C,1.218106996
107,5,C,1.271604938
107,6,C,1.259259259
107,7,C,1.218106996
107,8,C,1.185185185
107,9,C,1.234567901
107,10,C,1.226337449
108,1,BC,3.148635478
108,2,BC,4.951754386
108,3,BC,4.900584795
108,4,BC,4.912768031
108,5,BC,4.966374269
108,6,BC,4.759259259
108,7,BC,4.927387914
108,8,BC,4.937134503
108,9,BC,4.927387914
108,10,BC,4.856725146
108,1,B,2.171539961
108,2,B,1.065302144
108,3,B,1.067738791
108,4,B,1.070175439
108,5,B,1.099415205
108,6,B,1.072612086
108,7,B,1.089668616
108,8,B,1.033625731
108,9,B,1.038499025
108,10,B,1.006822612
108,1,C,2.980506823
108,2,C,1.321150097
108,3,C,1.065302144
108,4,C,1.070175439
108,5,C,1.070175439
108,6,C,1.116471735
108,7,C,1.089668616
108,8,C,1.055555556
108,9,C,1.038499025
108,10,C,1.028752437
109,1,BC,4.958847737
109,2,BC,4.971193416
109,3,BC,4.987654321
109,4,BC,4.987654321
109,5,BC,4.987654321
109,6,BC,3
109,7,BC,4.975308642
109,8,BC,4.987654321
109,9,BC,4.991769547
109,10,BC,4.987654321
109,1,B,2.983539095
109,2,B,1.020576132
109,3,B,4.967078189
109,4,B,1.008230453
109,5,B,1.004115226
109,6,B,2.983539095
109,7,B,4.979423868
109,8,B,1
109,9,B,1.012345679
109,10,B,1
109,1,C,2.979423868
109,2,C,1.572016461
109,3,C,1.004115226
109,4,C,1.008230453
109,5,C,1.004115226
109,6,C,2.979423868
109,7,C,1.004115226
109,8,C,1.012345679
109,9,C,1
109,10,C,1.016460905
110,1,BC,4.979423868
110,2,BC,4.987654321
110,3,BC,4.995884774
110,4,BC,4.975308642
110,5,BC,4.971193416
110,6,BC,4.230452675
110,7,BC,4.967078189
110,8,BC,4.983539095
110,9,BC,4.995884774
110,10,BC,4.979423868
110,1,B,3.037037037
110,2,B,1.04526749
110,3,B,1.008230453
110,4,B,1.032921811
110,5,B,1.074074074
110,6,B,1.028806584
110,7,B,1.041152263
110,8,B,4.975308642
110,9,B,1.016460905
110,10,B,1.008230453
110,1,C,2.695473251
110,2,C,1.024691358
110,3,C,1.032921811
110,4,C,1.032921811
110,5,C,1.041152263
110,6,C,1.090534979
110,7,C,1.041152263
110,8,C,1.028806584
110,9,C,1.008230453
110,10,C,1.012345679
111,1,BC,1.004969826
111,2,BC,3.028399006
111,3,BC,4.995030174
111,4,BC,4.959531416
111,5,BC,3.106496273
111,6,BC,4.966631168
111,7,BC,3.056798012
111,8,BC,3.262690806
111,9,BC,4.973730919
111,10,BC,1.083067093
111,1,B,2.929002485
111,2,B,4.902733404
111,3,B,3.014199503
111,4,B,1.026269081
111,5,B,3.042598509
111,6,B,4.980830671
111,7,B,1.189563365
111,8,B,4.824636138
111,9,B,4.831735889
111,10,B,1.097266596
111,1,C,4.945331913
111,2,C,4.952431665
111,3,C,4.93113241
111,4,C,3.035498758
111,5,C,4.938232162
111,6,C,1.097266596
111,7,C,4.973730919
111,8,C,1.019169329
111,9,C,2.971600994
111,10,C,3.042598509
112,1,BC,3.035599273
112,2,BC,4.9748039
112,3,BC,1.007340242
112,4,BC,3.006903965
112,5,BC,4.97986381
112,6,BC,2.94861381
112,7,BC,4.99679764
112,8,BC,4.989646301
112,9,BC,4.951483341
112,10,BC,4.991467868
112,1,B,2.977534003
112,2,B,2.997953548
112,3,B,4.997134967
112,4,B,4.992232477
112,5,B,2.991184514
112,6,B,3.027435953
112,7,B,4.996280404
112,8,B,4.966033391
112,9,B,4.974444085
112,10,B,4.978626943
112,1,C,4.985598374
112,2,C,1.006508168
112,3,C,4.964796524
112,4,C,1.004978951
112,5,C,4.997742156
112,6,C,1.016110751
112,7,C,3.005217329
112,8,C,1.035765688
112,9,C,4.970980858
112,10,C,1.016268171
113,1,BC,3.05005787
113,2,BC,4.786265432
113,3,BC,4.766203704
113,4,BC,4.935435957
113,5,BC,4.894521605
113,6,BC,4.714390432
113,7,BC,4.616840278
113,8,BC,4.794888117
113,9,BC,4.630844907
113,10,BC,4.682156636
113,1,B,1.258082562
113,2,B,1.258082562
113,3,B,1.066145833
113,4,B,1.103780864
113,5,B,1.156346451
113,6,B,1.214255401
113,7,B,1.117573302
113,8,B,1.196682099
113,9,B,1.116358025
113,10,B,1.31248071
113,1,C,3.05005787
113,2,C,1.185570988
113,3,C,1.173051698
113,4,C,1.103780864
113,5,C,1.103780864
113,6,C,1.16398534
113,7,C,1.154436728
113,8,C,1.200096451
113,9,C,1.3609375
113,10,C,1.31248071
114,1,BC,3.316806369
114,2,BC,4.61025789
114,3,BC,4.38488381
114,4,BC,4.582096241
114,5,BC,4.527921535
114,6,BC,4.081416165
114,7,BC,4.526692708
114,8,BC,4.998203419
114,9,BC,4.988817144
114,10,BC,4.972145151
114,1,B,2.983844757
114,2,B,1.187361117
114,3,B,1.235368729
114,4,B,1.150986565
114,5,B,1.160683491
114,6,B,1.186686127
114,7,B,1.240074405
114,8,B,1.029285537
114,9,B,1.021510089
114,10,B,1.002211959
114,1,C,2.983844757
114,2,C,1.187361117
114,3,C,1.235368729
114,4,C,1.235368729
114,5,C,1.160683491
114,6,C,1.139734621
114,7,C,1.241186319
114,8,C,1.112794911
114,9,C,1.017522671
114,10,C,1.028917489
115,1,BC,2.967078189
115,2,BC,4.798353909
115,3,BC,4.893004115
115,4,BC,4.967078189
115,5,BC,4.818930041
115,6,BC,4.855967078
115,7,BC,4.860082305
115,8,BC,1.197530864
115,9,BC,4.75308642
115,10,BC,4.596707819
115,1,B,2.950617284
115,2,B,1.065843621
115,3,B,4.835390947
115,4,B,1.061728395
115,5,B,1.065843621
115,6,B,1.106995885
115,7,B,1.119341564
115,8,B,2.991769547
115,9,B,1.197530864
115,10,B,1.111111111
115,1,C,2.983539095
115,2,C,1.041152263
115,3,C,1.094650206
115,4,C,1.028806584
115,5,C,1.032921811
115,6,C,1.082304527
115,7,C,2.962962963
115,8,C,1.119341564
115,9,C,1.189300412
115,10,C,1.082304527
116,1,BC,4.97337963
116,2,BC,4.996527778
116,3,BC,4.967592593
116,4,BC,4.984953704
116,5,BC,4.979166667
116,6,BC,4.97337963
116,7,BC,4.979166667
116,8,BC,4.979166667
116,9,BC,4.950231481
116,10,BC,4.97337963
116,1,B,2.965277778
116,2,B,1.003472222
116,3,B,1.02662037
116,4,B,2.722222222
116,5,B,1.06712963
116,6,B,2.982638889
116,7,B,1.072916667
116,8,B,1.032407407
116,9,B,1.06712963
116,10,B,1.049768519
116,1,C,2.936342593
116,2,C,1.003472222
116,3,C,1.015046296
116,4,C,4.97337963
116,5,C,4.927083333
116,6,C,1.043981481
116,7,C,1.038194444
116,8,C,1.020833333
116,9,C,1.06712963
116,10,C,1.043981481
117,1,BC,3.008230453
117,2,BC,3.559670782
117,3,BC,4.497942387
117,4,BC,4.991769547
117,5,BC,4.991769547
117,6,BC,3.905349794
117,7,BC,1.074074074
117,8,BC,4.872427984
117,9,BC,4.938271605
117,10,BC,5
117,1,B,2.744855967
117,2,B,1.687242798
117,3,B,1.04526749
117,4,B,1
117,5,B,1
117,6,B,1.378600823
117,7,B,1.020576132
117,8,B,1.065843621
117,9,B,1
117,10,B,1
117,1,C,2.514403292
117,2,C,1.674897119
117,3,C,1.004115226
117,4,C,1.004115226
117,5,C,1
117,6,C,3.004115226
117,7,C,1.094650206
117,8,C,1.012345679
117,9,C,1.049382716
117,10,C,1
118,1,BC,3.034786523
118,2,BC,4.035815329
118,3,BC,4.622508359
118,4,BC,4.405832047
118,5,BC,4.734648277
118,6,BC,2.99451839
118,7,BC,3.655912423
118,8,BC,4.615371013
118,9,BC,4.598813657
118,10,BC,4.590358153
118,1,B,3.034786523
118,2,B,1.839988426
118,3,B,1.681873714
118,4,B,1.627652392
118,5,B,1.295588992
118,6,B,2.98821695
118,7,B,2.94915445
118,8,B,1.926167052
118,9,B,1.416811343
118,10,B,1.29772698
118,1,C,3.034786523
118,2,C,2.06486304
118,3,C,4.612702546
118,4,C,1.550395448
118,5,C,1.477092978
118,6,C,2.885239841
118,7,C,2.581741898
118,8,C,1.678706919
118,9,C,1.415348508
118,10,C,2.38432356
119,1,BC,2.959521117
119,2,BC,4.882656945
119,3,BC,4.718314842
119,4,BC,4.879209589
119,5,BC,4.479291563
119,6,BC,4.749336455
119,7,BC,4.946956846
119,8,BC,4.743332898
119,9,BC,4.064543194
119,10,BC,4.631580989
119,1,B,2.998393235
119,2,B,1.779438867
119,3,B,1.163999275
119,4,B,1.026851548
119,5,B,1.024977931
119,6,B,1.968033791
119,7,B,1.959512534
119,8,B,2.058135351
119,9,B,1.154881795
119,10,B,1.621592875
119,1,C,3.653883263
119,2,C,1.042336217
119,3,C,1.042336217
119,4,C,4.202123783
119,5,C,1.53045181
119,6,C,2.214562663
119,7,C,1.210208504
119,8,C,1.10206219
119,9,C,1.031940813
119,10,C,1.000732881
120,1,BC,4.130864198
120,2,BC,4.066666667
120,3,BC,4.125925926
120,4,BC,4.111111111
120,5,BC,4.698765432
120,6,BC,1.879012346
120,7,BC,3.597530864
120,8,BC,1.89382716
120,9,BC,3.098765432
120,10,BC,4.540740741
120,1,B,3.064197531
120,2,B,2.624691358
120,3,B,2.955555556
120,4,B,3.844444444
120,5,B,1.390123457
120,6,B,4.437037037
120,7,B,2.397530864
120,8,B,2.012345679
120,9,B,3.558024691
120,10,B,1.335802469
120,1,C,2.086419753
120,2,C,3.720987654
120,3,C,1.52345679
120,4,C,2.422222222
120,5,C,3.725925926
120,6,C,3.67654321
120,7,C,2.283950617
120,8,C,4.012345679
120,9,C,3.558024691
120,10,C,2.204938272
121,1,BC,4.97337963
121,2,BC,4.97337963
121,3,BC,4.984953704
121,4,BC,4.984953704
121,5,BC,4.961805556
121,6,BC,4.967592593
121,7,BC,4.967592593
121,8,BC,4.961805556
121,9,BC,4.97337963
121,10,BC,4.956018519
121,1,B,4.97337963
121,2,B,1.020833333
121,3,B,1.003472222
121,4,B,1.003472222
121,5,B,1.003472222
121,6,B,1.015046296
121,7,B,1.009259259
121,8,B,1.009259259
121,9,B,1.015046296
121,10,B,1.02662037
121,1,C,4.97337963
121,2,C,1.003472222
121,3,C,1.003472222
121,4,C,1.003472222
121,5,C,1.003472222
121,6,C,4.967592593
121,7,C,1.015046296
121,8,C,1.020833333
121,9,C,1.015046296
121,10,C,1.02662037
122,1,BC,2.733796296
122,2,BC,4.585648148
122,3,BC,4.759259259
122,4,BC,4.799768519
122,5,BC,4.782407407
122,6,BC,4.643518519
122,7,BC,4.765046296
122,8,BC,4.684027778
122,9,BC,4.811342593
122,10,BC,4.857638889
122,1,B,2.739583333
122,2,B,1.142361111
122,3,B,1.061342593
122,4,B,1.101851852
122,5,B,1.33912037
122,6,B,1.107638889
122,7,B,1.200231481
122,8,B,1.009259259
122,9,B,1.211805556
122,10,B,1.177083333
122,1,C,2.739583333
122,2,C,1.333333333
122,3,C,1.22337963
122,4,C,1.18287037
122,5,C,1.33912037
122,6,C,1.194444444
122,7,C,1.240740741
122,8,C,1.391203704
122,9,C,1.211805556
122,10,C,1.275462963
123,1,BC,4.888889266
123,2,BC,4.975308642
123,3,BC,4.958847988
123,4,BC,4.967078315
123,5,BC,4.958847988
123,6,BC,4.975308642
