ID,trial,stimulus,DV
101,1,JK,2.999093364
101,2,JK,4.993209877
101,3,JK,4.966570216
101,4,JK,4.991319444
101,5,JK,4.992457562
101,6,JK,4.988001543
101,7,JK,4.982542438
101,8,JK,4.99845679
101,9,JK,4.996084105
101,10,JK,4.983352623
101,1,J,3.52961034
101,2,J,3.530825617
101,3,J,2.32652392
101,4,J,1.002314815
101,5,J,1.001215278
101,6,J,1.026851852
101,7,J,1.026851852
101,8,J,1.009529321
101,9,J,1.033931327
101,10,J,1.02345679
101,1,K,3.532060185
101,2,K,3.488927469
101,3,K,2.392476852
101,4,K,1.888927469
101,5,K,1.241917438
101,6,K,1.026851852
101,7,K,1.006809414
101,8,K,1.013464506
101,9,K,1.033931327
101,10,K,1.02345679
102,1,JK,1.048677249
102,2,JK,1.387301587
102,3,JK,3.825396825
102,4,JK,4.989417989
102,5,JK,4.985185185
102,6,JK,4.955555556
102,7,JK,4.985185185
102,8,JK,4.968253968
102,9,JK,4.985185185
102,10,JK,4.980952381
102,1,J,1.057142857
102,2,J,4.976719577
102,3,J,2.496296296
102,4,J,1.095238095
102,5,J,1.006349206
102,6,J,1.014814815
102,7,J,1.014814815
102,8,J,1.014814815
102,9,J,1.014814815
102,10,J,1.002116402
102,1,K,1.975661376
102,2,K,1.06984127
102,3,K,4.993650794
102,4,K,4.684656085
102,5,K,1.42962963
102,6,K,1.014814815
102,7,K,1.035978836
102,8,K,1.031746032
102,9,K,1.031746032
102,10,K,1.031746032
103,1,JK,3.008230453
103,2,JK,4.004115226
103,3,JK,4.58436214
103,4,JK,4.930041152
103,5,JK,4.995884774
103,6,JK,4.991769547
103,7,JK,4.995884774
103,8,JK,4.975308642
103,9,JK,4.979423868
103,10,JK,4.995884774
103,1,J,1.818930041
103,2,J,1.382716049
103,3,J,1
103,4,J,1.024691358
103,5,J,1.008230453
103,6,J,1.032921811
103,7,J,1.008230453
103,8,J,1.004115226
103,9,J,1
103,10,J,1.004115226
103,1,K,3.020576132
103,2,K,3.559670782
103,3,K,2.720164609
103,4,K,2.58436214
103,5,K,2.41563786
103,6,K,1.798353909
103,7,K,1.37037037
103,8,K,1.172839506
103,9,K,1.193415638
103,10,K,1.049382716
104,1,JK,2.959490741
104,2,JK,4.984953704
104,3,JK,4.97337963
104,4,JK,4.97337963
104,5,JK,4.961805556
104,6,JK,4.834490741
104,7,JK,4.961805556
104,8,JK,4.799768519
104,9,JK,4.799768519
104,10,JK,4.765046296
104,1,J,3.034722222
104,2,J,1.084490741
104,3,J,1.02662037
104,4,J,1.009259259
104,5,J,1.096064815
104,6,J,1.315972222
104,7,J,1.084490741
104,8,J,1.084490741
104,9,J,1.136574074
104,10,J,1.28125
104,1,K,3.034722222
104,2,K,1.142361111
104,3,K,1.003472222
104,4,K,1.153935185
104,5,K,1.153935185
104,6,K,1.096064815
104,7,K,1.206018519
104,8,K,1.084490741
104,9,K,1.136574074
104,10,K,1.28125
105,1,JK,2.988522377
105,2,JK,4.919560185
105,3,JK,4.97966821
105,4,JK,4.953356481
105,5,JK,4.995447531
105,6,JK,4.959895833
105,7,JK,4.981944444
105,8,JK,4.98435571
105,9,JK,4.98753858
105,10,JK,4.986130401
105,1,J,3.48443287
105,2,J,3.100501543
105,3,J,1.045177469
105,4,J,1.157928241
105,5,J,1.020428241
105,6,J,1.031018519
105,7,J,1.031500772
105,8,J,1.012827932
105,9,J,1.012827932
105,10,J,1.016531636
105,1,K,3.045871914
105,2,K,3.516647377
105,3,K,1.790335648
105,4,K,1.036882716
105,5,K,1.150636574
105,6,K,1.008738426
105,7,K,1.007638889
105,8,K,1.012827932
105,9,K,1.012827932
