ID,stimulus,DV
101,A,.448
101,AB,.404
101,ABC,.765
101,R,.617
101,B,.755
101,C,.785
101,BC,.711
101,G,.637
101,H,.632
101,J,.757
101,K,.526
101,JK,.73
101,T,.603
101,TJ,.645
101,TJK,.759
102,A,.487
102,AB,.622
102,ABC,.772
102,R,.603
102,B,.746
102,C,.772
102,BC,.723
102,G,.63
102,H,.638
102,J,.526
102,K,.447
102,JK,.507
102,T,.058
102,TJ,.547
102,TJK,.082
103,A,.512
103,AB,.633
103,ABC,.709
103,R,.581
103,B,.763
103,C,.659
103,BC,.701
103,G,.579
103,H,.628
103,J,.76
103,K,.525
103,JK,.649
103,T,.591
103,TJ,.637
103,TJK,.782
104,A,.355
104,AB,.57
104,ABC,.025
104,R,.538
104,B,.503
104,C,.668
104,BC,.526
104,G,.599
104,H,.475
104,J,.126
104,K,.758
104,JK,.667
104,T,.5649999999999999
104,TJ,.5679999999999999
104,TJK,.042
105,A,.2
105,AB,.262
105,ABC,.5679999999999999
105,R,.445
105,B,.718
105,C,.666
105,BC,.636
105,G,.453
105,H,.407
105,J,.742
105,K,.732
105,JK,.734
105,T,.318
105,TJ,.538
105,TJK,.109
106,A,.497
106,AB,.622
106,ABC,.768
106,R,.588
106,B,.757
106,C,.76
106,BC,.653
106,G,.636
106,H,.616
106,J,.75
106,K,.779
106,JK,.646
106,T,.601
106,TJ,.643
106,TJK,.744
107,A,.214
107,AB,.187
107,ABC,.037
107,R,.576
107,B,.713
107,C,.755
107,BC,.519
107,G,.598
107,H,.59
107,J,.24
107,K,.303
107,JK,.779
107,T,.013
107,TJ,.5659999999999999
107,TJK,.037
108,A,.377
108,AB,.621
108,ABC,.64
108,R,.591
108,B,.758
108,C,.755
108,BC,.654
108,G,.589
108,H,.616
108,J,.624
108,K,.75
108,JK,.719
108,T,.508
108,TJ,.5679999999999999
108,TJK,.575
109,A,.319
109,AB,.734
109,ABC,.785
109,R,.593
109,B,.789
109,C,.785
109,BC,.638
109,G,.628
109,H,.636
109,J,.762
109,K,.775
109,JK,.708
109,T,.597
109,TJ,.65
109,TJK,.762
110,A,.522
110,AB,.581
110,ABC,.748
110,R,.619
110,B,.579
110,C,.795
110,BC,.63
110,G,.642
110,H,.626
110,J,.746
110,K,.773
110,JK,.62
110,T,.579
110,TJ,.639
110,TJK,.758
111,A,.346
111,AB,.449
111,ABC,.065
111,R,.013
111,B,.233
111,C,.047
111,BC,.104
111,G,.011
111,H,.016
111,J,.57
111,K,.056
111,JK,.64
111,T,.585
111,TJ,.673
111,TJK,.027
112,A,.084
112,AB,.501
112,ABC,.012
112,R,.03
112,B,.036
112,C,.014
112,BC,.114
112,G,.448
112,H,.008
112,J,.281
112,K,.014
112,JK,.093
112,T,.074
112,TJ,.516
112,TJK,.012
113,A,.473
113,AB,.072
113,ABC,.043
113,R,.025
113,B,.6919999999999999
113,C,.712
113,BC,.473
113,G,.575
113,H,.59
113,J,.241
113,K,.783
113,JK,.553
113,T,.479
113,TJ,.458
113,TJK,.116
114,A,.077
114,AB,.444
114,ABC,.416
114,R,.5639999999999999
114,B,.761
114,C,.736
114,BC,.384
114,G,.626
114,H,.624
114,J,.717
114,K,.722
114,JK,.651
114,T,.585
114,TJ,.588
114,TJK,.548
115,A,.446
115,AB,.427
115,ABC,.29
115,R,.576
115,B,.433
115,C,.036
115,BC,.092
115,G,.607
115,H,.614
115,J,.106
115,K,.041
115,JK,.112
115,T,.555
115,TJ,.643
115,TJK,.007
116,A,.494
116,AB,.6889999999999999
116,ABC,.731
116,R,.626
116,B,.772
116,C,.345
116,BC,.57
116,G,.521
116,H,.5679999999999999
116,J,.748
116,K,.668
116,JK,.402
116,T,.593
116,TJ,.616
116,TJK,.771
117,A,.525
117,AB,.483
117,ABC,.665
117,R,.526
117,B,.795
117,C,.716
117,BC,.497
117,G,.622
117,H,.625
117,J,.74
117,K,.707
117,JK,.619
117,T,.573
117,TJ,.319
117,TJK,.09
118,A,.183
118,AB,.485
118,ABC,.463
118,R,.586
118,B,.65
118,C,.291
118,BC,.412
118,G,.529
118,H,.535
118,J,.701
118,K,.552
118,JK,.725
118,T,.458
118,TJ,.609
118,TJK,.572
119,A,.511
119,AB,.5649999999999999
119,ABC,.5669999999999999
119,R,.6
119,B,.474
119,C,.577
119,BC,.586
119,G,.574
119,H,.599
119,J,.534
119,K,.593
119,JK,.631
119,T,.389
119,TJ,.224
119,TJK,.061
120,A,.041
120,AB,.101
120,ABC,.074
120,R,.036
120,B,.149
120,C,.065
120,BC,.11
120,G,.007
120,H,.013
120,J,.209
120,K,.033
120,JK,.078
120,T,.268
120,TJ,.386
120,TJK,.033
121,A,.52
121,AB,.628
121,ABC,.533
121,R,.611
121,B,.768
121,C,.745
121,BC,.614
121,G,.635
121,H,.629
121,J,.754
121,K,.385
121,JK,.715
121,T,.607
121,TJ,.653
121,TJK,.777
122,A,.463
122,AB,.548
122,ABC,.708
122,R,.58
122,B,.773
122,C,.756
122,BC,.63
122,G,.619
122,H,.5659999999999999
122,J,.748
122,K,.708
122,JK,.74
122,T,.587
122,TJ,.623
122,TJK,.717
123,A,.514
123,AB,.5639999999999999
123,ABC,.051
123,R,.611
123,B,.777
123,C,.715
123,BC,.497
123,G,.002
123,H,.271
123,J,.354
123,K,.679
123,JK,.64
123,T,.5600000000000001
123,TJ,.602
123,TJK,.026
124,A,.384
124,AB,.631
124,ABC,.42
124,R,.605
124,B,.77
124,C,.77
124,BC,.71
124,G,.644
124,H,.634
124,J,.784
124,K,.764
124,JK,.746
124,T,.593
124,TJ,.601
124,TJK,.748
125,A,.2
125,AB,.656
125,ABC,.53
125,R,.582
125,B,.754
125,C,.698
125,BC,.534
125,G,.596
125,H,.587
125,J,.761
125,K,.6860000000000001
125,JK,.657
125,T,.581
125,TJ,.355
125,TJK,.391
126,A,.514
126,AB,.15
126,ABC,.799
126,R,.588
126,B,.458
126,C,.766
126,BC,.641
126,G,.635
126,H,.627
126,J,.74
126,K,.717
126,JK,.718
126,T,.55
126,TJ,.367
126,TJK,.508
127,A,.323
127,AB,.106
127,ABC,.21
127,R,.534
127,B,.5649999999999999
127,C,.047
127,BC,.076
127,G,.576
127,H,.54
127,J,.358
127,K,.555
127,JK,.737
127,T,.5639999999999999
127,TJ,.26
127,TJK,.055
128,A,.513
128,AB,.619
128,ABC,.734
128,R,.617
128,B,.766
128,C,.776
128,BC,.603
128,G,.634
128,H,.624
128,J,.784
128,K,.5570000000000001
128,JK,.634
128,T,.608
128,TJ,.595
128,TJK,.783
129,A,.382
129,AB,.431
129,ABC,.76
129,R,.616
129,B,.271
129,C,.761
129,BC,.639
129,G,.631
129,H,.637
129,J,.782
129,K,.249
129,JK,.319
129,T,.607
129,TJ,.589
129,TJK,.429
130,A,.039
130,AB,.16
130,ABC,.053
130,R,.151
130,B,.113
130,C,.041
130,BC,.124
130,G,.62
130,H,.541
130,J,.422
130,K,.048
130,JK,.041
130,T,.446
130,TJ,.455
130,TJK,.021
131,A,.017
131,AB,.491
131,ABC,.07
131,R,.619
131,B,.217
131,C,.45
131,BC,.489
131,G,.629
131,H,.603
131,J,.15
131,K,.364
131,JK,.73
131,T,.005
131,TJ,.53
131,TJK,.062
132,A,.105
132,AB,.04
132,ABC,.013
132,R,.613
132,B,.108
132,C,.072
132,BC,.077
132,G,.622
132,H,.633
132,J,.576
132,K,.741
132,JK,.466
132,T,.292
132,TJ,.708
132,TJK,.088
133,A,.408
133,AB,.307
133,ABC,.485
133,R,.534
133,B,.654
133,C,.358
133,BC,.115
133,G,.535
133,H,.514
133,J,.753
133,K,.64
133,JK,.553
133,T,.583
133,TJ,.603
133,TJK,.58
134,A,.036
134,AB,.142
134,ABC,.047
134,R,.011
134,B,.145
134,C,.072
134,BC,.11
134,G,.016
134,H,.013
134,J,.303
134,K,.037
134,JK,.048
134,T,.303
134,TJ,.337
134,TJK,.092
135,A,.195
135,AB,.122
135,ABC,.459
135,R,.569
135,B,.191
135,C,.608
135,BC,.165
135,G,.573
135,H,.524
135,J,.287
135,K,.653
135,JK,.497
135,T,.47
135,TJ,.364
135,TJK,.092
136,A,.165
136,AB,.388
136,ABC,.42
136,R,.454
136,B,.606
136,C,.303
136,BC,.163
136,G,.467
136,H,.497
136,J,.618
136,K,.651
136,JK,.507
136,T,.352
136,TJ,.448
136,TJK,.426
137,A,.364
137,AB,.172
137,ABC,.084
137,R,.577
137,B,.441
137,C,.5679999999999999
137,BC,.427
137,G,.615
137,H,.609
137,J,.133
137,K,.767
137,JK,.59
137,T,.543
137,TJ,.518
137,TJK,.041
138,A,.252
138,AB,.073
138,ABC,.105
138,R,.487
138,B,.54
138,C,.421
138,BC,.126
138,G,.635
138,H,.627
138,J,.657
138,K,.775
138,JK,.519
138,T,.602
138,TJ,.431
138,TJK,.095
139,A,.527
139,AB,.539
139,ABC,.72
139,R,.605
139,B,.783
139,C,.74
139,BC,.605
139,G,.629
139,H,.628
139,J,.769
139,K,.301
139,JK,.353
139,T,.601
139,TJ,.651
139,TJK,.76
140,A,.022
140,AB,.123
140,ABC,.016
140,R,.054
140,B,.22
140,C,.085
140,BC,.072
140,G,.376
140,H,.598
140,J,.549
140,K,.071
140,JK,.041
140,T,.067
140,TJ,.322
140,TJK,.018
141,A,.494
141,AB,.174
141,ABC,.059
141,R,.176
141,B,.223
141,C,.033
141,BC,.096
141,G,.585
141,H,.019
141,J,.35
141,K,.043
141,JK,.269
141,T,.025
141,TJ,.48
141,TJK,.018
142,A,.52
142,AB,.442
142,ABC,.743
142,R,.612
142,B,.347
142,C,.635
142,BC,.655
142,G,.633
142,H,.637
142,J,.633
142,K,.478
142,JK,.536
142,T,.605
142,TJ,.474
142,TJK,.788
143,A,.019
143,AB,.157
143,ABC,.023
143,R,.61
143,B,.37
143,C,.229
143,BC,.101
143,G,.621
143,H,.613
143,J,.436
143,K,.636
143,JK,.611
143,T,.312
143,TJ,.458
143,TJK,.051
144,A,.404
144,AB,.504
144,ABC,.496
144,R,.569
144,B,.582
144,C,.704
144,BC,.411
144,G,.636
144,H,.632
144,J,.746
144,K,.672
144,JK,.336
144,T,.546
144,TJ,.616
144,TJK,.577
145,A,.531
145,AB,.628
145,ABC,.756
145,R,.608
145,B,.379
145,C,.776
145,BC,.701
145,G,.635
145,H,.619
145,J,.788
145,K,.53
145,JK,.614
145,T,.61
145,TJ,.737
145,TJK,.755
146,A,.15
146,AB,.476
146,ABC,.776
146,R,.605
146,B,.769
146,C,.696
146,BC,.293
146,G,.64
146,H,.622
146,J,.616
146,K,.703
146,JK,.548
146,T,.424
146,TJ,.646
146,TJK,.375
147,A,.279
147,AB,.644
147,ABC,.825
147,R,.614
147,B,.745
147,C,.774
147,BC,.6860000000000001
147,G,.634
147,H,.637
147,J,.757
147,K,.45
147,JK,.719
147,T,.599
147,TJ,.633
147,TJK,.773
148,A,.454
148,AB,.606
148,ABC,.724
148,R,.593
148,B,.756
148,C,.774
148,BC,.636
148,G,.632
148,H,.631
148,J,.151
148,K,.709
148,JK,.612
148,T,.6
148,TJ,.35
148,TJK,.581
149,A,.484
149,AB,.594
149,ABC,.595
149,R,.149
149,B,.767
149,C,.781
149,BC,.669
149,G,.601
149,H,.613
149,J,.781
149,K,.74
149,JK,.637
149,T,.603
149,TJ,.595
149,TJK,.751
150,A,.507
150,AB,.621
150,ABC,.75
150,R,.616
150,B,.767
150,C,.761
150,BC,.619
150,G,.579
150,H,.632
150,J,.774
150,K,.729
150,JK,.64
150,T,.592
150,TJ,.594
150,TJK,.741
151,A,.335
151,AB,.616
151,ABC,.07
151,R,.6
151,B,.667
151,C,.049
151,BC,.096
151,G,.013
151,H,.141
151,J,.46
151,K,.157
151,JK,.585
151,T,.006
151,TJ,.6830000000000001
151,TJK,.038
152,A,.084
152,AB,.437
152,ABC,.421
152,R,.58
152,B,.713
152,C,.593
152,BC,.32
152,G,.619
152,H,.628
152,J,.197
152,K,.62
152,JK,.78
152,T,.399
152,TJ,.456
152,TJK,.028
153,A,.064
153,AB,.274
153,ABC,.036
153,R,.01
153,B,.064
