ID,trial,stimulus,DV
201,1,E,4.658436214
201,2,E,4.744855967
201,3,E,4.695473251
201,4,E,4.748971193
201,5,E,1.189300412
201,6,E,1.102880658
201,7,E,4.806584362
201,8,E,4.818930041
201,9,E,2.938271605
201,10,E,4.798353909
201,1,F,1.12345679
201,2,F,4.728395062
201,3,F,1.086419753
201,4,F,4.572016461
201,5,F,4.646090535
201,6,F,4.757201646
201,7,F,4.806584362
201,8,F,4.736625514
201,9,F,2.975308642
201,10,F,2.991769547
201,1,EF,4.711934156
201,2,EF,1.094650206
201,3,EF,4.674897119
201,4,EF,4.592592593
201,5,EF,4.724279835
201,6,EF,3.502057613
201,7,EF,4.843621399
201,8,EF,1.152263374
201,9,EF,1.139917695
201,10,EF,2.950617284
202,1,E,1.044444444
202,2,E,1.044444444
202,3,E,1.009876543
202,4,E,1.059259259
202,5,E,4.975308642
202,6,E,4.985185185
202,7,E,4.925925926
202,8,E,4.985185185
202,9,E,4.955555556
202,10,E,4.980246914
202,1,F,4.837037037
202,2,F,4.960493827
202,3,F,4.960493827
202,4,F,4.920987654
202,5,F,4.960493827
202,6,F,4.886419753
202,7,F,1.024691358
202,8,F,4.975308642
202,9,F,4.980246914
202,10,F,4.97037037
202,1,EF,3.004938272
202,2,EF,1.064197531
202,3,EF,3
202,4,EF,1.004938272
202,5,EF,1.024691358
202,6,EF,1.069135802
202,7,EF,1.019753086
202,8,EF,1.014814815
202,9,EF,1.024691358
202,10,EF,1.019753086
203,1,E,2.930864198
203,2,E,1.083950617
203,3,E,2.985185185
203,4,E,2.985185185
203,5,E,1.103703704
203,6,E,3.004938272
203,7,E,1.069135802
203,8,E,1.059259259
203,9,E,1.217283951
203,10,E,2.935802469
203,1,F,2.925925926
203,2,F,2.995061728
203,3,F,2.985185185
203,4,F,2.985185185
203,5,F,1.079012346
203,6,F,1.128395062
203,7,F,2.901234568
203,8,F,2.930864198
203,9,F,2.97037037
203,10,F,2.960493827
203,1,EF,4.891358025
203,2,EF,3.009876543
203,3,EF,3.069135802
203,4,EF,2.985185185
203,5,EF,2.985185185
203,6,EF,3.009876543
203,7,EF,2.945679012
203,8,EF,3.054320988
203,9,EF,2.911111111
203,10,EF,2.985185185
204,1,E,2.950617284
204,2,E,4.916049383
204,3,E,4.916049383
204,4,E,4.965432099
204,5,E,4.866666667
204,6,E,2.585185185
204,7,E,4.851851852
204,8,E,4.911111111
204,9,E,4.950617284
204,10,E,4.960493827
204,1,F,3.014814815
204,2,F,4.916049383
204,3,F,4.90617284
204,4,F,4.861728395
204,5,F,4.97037037
204,6,F,1.325925926
204,7,F,4.832098765
204,8,F,4.812345679
204,9,F,4.975308642
204,10,F,4.930864198
204,1,EF,2.185185185
204,2,EF,1.069135802
204,3,EF,1.133333333
204,4,EF,1.098765432
204,5,EF,1.079012346
204,6,EF,3.419753086
204,7,EF,1.804938272
204,8,EF,1.903703704
204,9,EF,1.898765432
204,10,EF,1.079012346
205,1,E,3.079861163
205,2,E,3.793585319
205,3,E,3.960626905
205,4,E,4.203596426
205,5,E,4.4389744
205,6,E,4.218782801
205,7,E,3.968220421
205,8,E,4.355453607
205,9,E,4.180817848
205,10,E,1.880197638
205,1,F,2.905226389
205,2,F,3.019118947
205,3,F,4.14285421
205,4,F,4.104890571
205,5,F,4.355453607
205,6,F,4.271932814
205,7,F,3.968220421
205,8,F,4.33267503
205,9,F,4.57564455
205,10,F,2.495214954
205,1,EF,2.96596959
205,2,EF,3.072268304
205,3,EF,1.53852095
205,4,EF,1.508149185
205,5,EF,1.409442674
205,6,EF,2.99634037
205,7,EF,4.021369121
205,8,EF,4.044147698
205,9,EF,3.057082586
205,10,EF,2.935597826
206,1,E,
206,2,E,
206,3,E,
206,4,E,
206,5,E,
206,6,E,
206,7,E,
206,8,E,
206,9,E,
206,10,E,
206,1,F,
206,2,F,
206,3,F,
206,4,F,
206,5,F,
206,6,F,
206,7,F,
206,8,F,
206,9,F,
206,10,F,
206,1,EF,
206,2,EF,
206,3,EF,
206,4,EF,
206,5,EF,
206,6,EF,
206,7,EF,
206,8,EF,
206,9,EF,
206,10,EF,
207,1,E,1.028485082
207,2,E,1.02028678
207,3,E,1.026009516
207,4,E,1.011429398
207,5,E,1.045685442
207,6,E,4.97337963
207,7,E,1.035493827
207,8,E,1.015785751
207,9,E,1.024273405
207,10,E,1.018277392
207,1,F,4.987959748
207,2,F,4.991673097
207,3,F,4.98128858
207,4,F,4.984889403
207,5,F,4.962255658
207,6,F,4.960037294
207,7,F,4.962721836
207,8,F,4.957835005
207,9,F,4.972543724
207,10,F,4.929398148
207,1,EF,2.943512088
207,2,EF,4.98119213
207,3,EF,4.978314686
207,4,EF,1.131703318
207,5,EF,2.966531636
207,6,EF,1.056729038
207,7,EF,4.978475437
207,8,EF,4.996495628
207,9,EF,1.036233282
207,10,EF,1.052260159
208,1,E,2.997567684
208,2,E,4.974316581
208,3,E,1.027063028
208,4,E,4.988152671
208,5,E,4.98980282
208,6,E,4.978921581
