ID,trial,stimulus,DV
201,1,G,4.847736626
201,2,G,4.893004115
201,3,G,4.893004115
201,4,G,4.872427984
201,5,G,4.818930041
201,6,G,4.855967078
201,7,G,4.917695473
201,8,G,4.843621399
201,9,G,4.905349794
201,10,G,4.835390947
201,1,H,4.855967078
201,2,H,1.119341564
201,3,H,2.930041152
201,4,H,4.909465021
201,5,H,1.740740741
201,6,H,1.716049383
201,7,H,1.020576132
201,8,H,4.851851852
201,9,H,2.975308642
201,10,H,1.04526749
202,1,G,2.960493827
202,2,G,4.960493827
202,3,G,4.975308642
202,4,G,4.965432099
202,5,G,4.960493827
202,6,G,4.960493827
202,7,G,4.965432099
202,8,G,4.980246914
202,9,G,4.980246914
202,10,G,4.975308642
202,1,H,2.960493827
202,2,H,1.02962963
202,3,H,1.044444444
202,4,H,1.039506173
202,5,H,1.039506173
202,6,H,1.044444444
202,7,H,1.014814815
202,8,H,1.014814815
202,9,H,1.024691358
202,10,H,1.004938272
203,1,G,2.90617284
203,2,G,1.079012346
203,3,G,2.916049383
203,4,G,4.807407407
203,5,G,1.009876543
203,6,G,1.034567901
203,7,G,1.034567901
203,8,G,1.128395062
203,9,G,1.039506173
203,10,G,1.12345679
203,1,H,2.955555556
203,2,H,2.965432099
203,3,H,1.079012346
203,4,H,2.955555556
203,5,H,1.054320988
203,6,H,1.083950617
203,7,H,4.90617284
203,8,H,2.955555556
203,9,H,1.108641975
203,10,H,1.143209877
204,1,G,2.980246914
204,2,G,4.896296296
204,3,G,4.822222222
204,4,G,4.817283951
204,5,G,4.930864198
204,6,G,4.856790123
204,7,G,4.84691358
204,8,G,4.851851852
204,9,G,4.930864198
204,10,G,4.935802469
204,1,H,3.034567901
204,2,H,1.054320988
204,3,H,1.054320988
204,4,H,1.15308642
204,5,H,1.118518519
204,6,H,1.039506173
204,7,H,1.044444444
204,8,H,1.064197531
204,9,H,1.034567901
204,10,H,1.019753086
205,1,G,2.988747839
205,2,G,3.041897524
205,3,G,4.135262007
205,4,G,4.241561378
205,5,G,4.233968519
205,6,G,4.568052348
205,7,G,4.811021868
205,8,G,4.90213552
205,9,G,4.704722498
205,10,G,4.788243291
205,1,H,3.072268304
205,2,H,3.003933557
205,3,H,2.176316843
205,4,H,1.773897939
205,5,H,1.128508858
205,6,H,1.409442674
205,7,H,1.227215698
205,8,H,1.280365383
205,9,H,1.21962251
205,10,H,1.234808228
206,1,G,
206,2,G,
206,3,G,
206,4,G,
206,5,G,
206,6,G,
206,7,G,
206,8,G,
206,9,G,
206,10,G,
206,1,H,
206,2,H,
206,3,H,
206,4,H,
206,5,H,
206,6,H,
206,7,H,
206,8,H,
206,9,H,
206,10,H,
207,1,G,4.964281121
207,2,G,4.967801569
207,3,G,4.972447274
207,4,G,4.972447274
207,5,G,4.972945602
207,6,G,4.976353524
207,7,G,4.986963092
207,8,G,4.986963092
207,9,G,4.923144933
207,10,G,4.983748071
207,1,H,1.028806584
207,2,H,4.934847608
207,3,H,3.00696052
207,4,H,1.04451196
207,5,H,4.977575231
207,6,H,2.991785622
207,7,H,3.043258102
207,8,H,3.021781764
207,9,H,1.052678112
207,10,H,1.038532022
208,1,G,4.232104718
208,2,G,3.97038444
208,3,G,4.720211062
208,4,G,4.571936177
208,5,G,4.459117681
208,6,G,4.826087513
208,7,G,4.88087552
208,8,G,4.907746261
208,9,G,4.852498627
