ID,trial,stimulus,DV
201,1,M,3.901234568
201,2,M,1.21399177
201,3,M,4.683127572
201,4,M,4.666666667
201,5,M,1.29218107
201,6,M,1.242798354
201,7,M,4.670781893
201,8,M,4.670781893
201,9,M,4.613168724
201,10,M,4.781893004
201,1,N,4.024691358
201,2,N,1.164609053
201,3,N,4.596707819
201,4,N,4.650205761
201,5,N,1.218106996
201,6,N,1.226337449
201,7,N,4.633744856
201,8,N,1.209876543
201,9,N,1.201646091
201,10,N,4.711934156
201,1,MN,4.46090535
201,2,MN,4.744855967
201,3,MN,2.888888889
201,4,MN,1.263374486
201,5,MN,1.160493827
201,6,MN,2.938271605
201,7,MN,4.744855967
201,8,MN,4.670781893
201,9,MN,1.164609053
201,10,MN,2.880658436
202,1,M,2.150617284
202,2,M,1.582716049
202,3,M,1
202,4,M,1.019753086
202,5,M,1.014814815
202,6,M,1.014814815
202,7,M,1.019753086
202,8,M,1.019753086
202,9,M,1.019753086
202,10,M,1.024691358
202,1,N,4.027160494
202,2,N,4.713580247
202,3,N,4.925925926
202,4,N,4.990123457
202,5,N,4.990123457
202,6,N,4.985185185
202,7,N,4.965432099
202,8,N,4.980246914
202,9,N,4.985185185
202,10,N,4.955555556
202,1,MN,2.975308642
202,2,MN,1.898765432
202,3,MN,4.6
202,4,MN,3.034567901
202,5,MN,1.014814815
202,6,MN,4.960493827
202,7,MN,1.039506173
202,8,MN,2.980246914
202,9,MN,1.034567901
202,10,MN,1.014814815
203,1,M,2.990123457
203,2,M,2.925925926
203,3,M,2.975308642
203,4,M,3
203,5,M,3.009876543
203,6,M,3
203,7,M,1.088888889
203,8,M,2.940740741
203,9,M,1.054320988
203,10,M,1.148148148
203,1,N,2.960493827
203,2,N,2.960493827
203,3,N,2.965432099
203,4,N,2.945679012
203,5,N,1.009876543
203,6,N,2.97037037
203,7,N,2.985185185
203,8,N,1.069135802
203,9,N,1.088888889
203,10,N,1.108641975
203,1,MN,1.074074074
203,2,MN,2.975308642
203,3,MN,2.980246914
203,4,MN,2.950617284
203,5,MN,2.985185185
203,6,MN,2.980246914
203,7,MN,2.955555556
203,8,MN,3.009876543
203,9,MN,3.019753086
203,10,MN,2.980246914
204,1,M,2.985185185
204,2,M,4.916049383
204,3,M,4.945679012
204,4,M,4.975308642
204,5,M,4.975308642
204,6,M,4.985185185
204,7,M,4.985185185
204,8,M,4.965432099
204,9,M,4.960493827
204,10,M,4.886419753
204,1,N,4.659259259
204,2,N,4.945679012
204,3,N,4.940740741
204,4,N,4.945679012
204,5,N,4.975308642
204,6,N,4.985185185
204,7,N,4.930864198
204,8,N,4.960493827
204,9,N,4.960493827
204,10,N,4.866666667
204,1,MN,3.513580247
204,2,MN,1.039506173
204,3,MN,1.02962963
204,4,MN,1.044444444
204,5,MN,1.039506173
204,6,MN,1.02962963
204,7,MN,1.034567901
204,8,MN,1.044444444
204,9,MN,1.098765432
204,10,MN,1.069135802
