ID,trial,stimulus,DV
201,1,UMN,4.864197531
201,2,UMN,2.975308642
201,3,UMN,1.098765432
201,4,UMN,1.100823045
201,5,UMN,1.150205761
201,1,M,4.880658436
201,2,M,4.798353909
201,3,M,4.897119342
201,4,M,4.897119342
201,5,M,4.555555556
201,1,N,4.78600823
201,2,N,4.798353909
201,3,N,4.777777778
201,4,N,4.810699588
201,5,N,4.818930041
201,1,MN,1.127572016
201,2,MN,4.851851852
201,3,MN,4.798353909
201,4,MN,1.12345679
201,5,MN,1.139917695
201,1,U,4.720164609
201,2,U,1.090534979
201,3,U,1.04526749
201,4,U,2.905349794
201,5,U,2.872427984
201,1,UM,4.790123457
201,2,UM,1.061728395
201,3,UM,2.971193416
201,4,UM,4.810699588
201,5,UM,2.95473251
201,1,UMS,2.0185185185
201,2,UMS,4.8580246915
201,3,UMS,2.9567901235
201,4,UMS,3.853909465
201,5,UMS,1.991769547
202,1,UMN,3
202,2,UMN,4.9654320985
202,3,UMN,3
202,4,UMN,4.97037037
202,5,UMN,4.97037037
202,1,M,1.009876543
202,2,M,1.079012346
202,3,M,4.965432099
202,4,M,4.965432099
202,5,M,4.97037037
202,1,N,4.965432099
202,2,N,4.930864198
202,3,N,4.960493827
202,4,N,4.97037037
202,5,N,4.97037037
202,1,MN,1.019753086
202,2,MN,1.009876543
202,3,MN,4.920987654
202,4,MN,1.044444444
202,5,MN,1.069135802
202,1,U,2.97037037
202,2,U,1.074074074
202,3,U,1.024691358
202,4,U,1.02962963
202,5,U,1.009876543
202,1,UM,3.014814815
202,2,UM,4.930864198
202,3,UM,1.083950617
202,4,UM,1.059259259
202,5,UM,1.074074074
202,1,UMS,1.074074074
202,2,UMS,1.039506173
202,3,UMS,1.014814815
202,4,UMS,1.0222222225
202,5,UMS,1.02962963
203,1,UMN,2.950617284
203,2,UMN,2.960493827
203,3,UMN,2.960493827
203,4,UMN,2.960493827
203,5,UMN,2.960493827
203,1,M,2.965432099
203,2,M,2.960493827
203,3,M,2.960493827
203,4,M,2.960493827
203,5,M,2.960493827
203,1,N,2.945679012
203,2,N,2.960493827
203,3,N,2.960493827
203,4,N,2.960493827
203,5,N,2.960493827
203,1,MN,2.955555556
203,2,MN,2.960493827
203,3,MN,2.960493827
203,4,MN,2.960493827
203,5,MN,2.960493827
203,1,U,2.950617284
203,2,U,2.960493827
203,3,U,2.960493827
203,4,U,2.960493827
203,5,U,2.960493827
203,1,UM,2.920987654
203,2,UM,2.960493827
203,3,UM,2.960493827
203,4,UM,2.960493827
203,5,UM,2.960493827
203,1,UMS,2.960493827
203,2,UMS,2.960493827
203,3,UMS,2.960493827
203,4,UMS,2.960493827
203,5,UMS,2.960493827
204,1,UMN,3.6666666665
204,2,UMN,4.9234567905
204,3,UMN,4.819753086
204,4,UMN,4.903703704
204,5,UMN,4.829629629499999
204,1,M,4.762962963
204,2,M,4.950617284
204,3,M,4.782716049
204,4,M,4.758024691
204,5,M,4.802469136
204,1,N,4.87654321
204,2,N,4.911111111
204,3,N,4.782716049
204,4,N,4.891358025
204,5,N,4.758024691
204,1,MN,1.197530864
204,2,MN,1.014814815
204,3,MN,4.90617284
204,4,MN,1.148148148
204,5,MN,1.098765432
204,1,U,1.074074074
204,2,U,1.064197531
204,3,U,1.004938272
204,4,U,1.113580247
204,5,U,1.044444444
204,1,UM,3.133333333
204,2,UM,1.192592593
204,3,UM,1.311111111
204,4,UM,1.237037037
204,5,UM,1.049382716
204,1,UMS,2.0641975305
204,2,UMS,1.103703704
204,3,UMS,1.103703704
204,4,UMS,1.103703704
204,5,UMS,1.1851851855
205,1,UMN,4.116279859500001
205,2,UMN,2.8065202065
205,3,UMN,2.9318017245
205,4,UMN,3.975812295
205,5,UMN,4.8110215395
205,1,M,4.537680255
205,2,M,2.669849071
205,3,M,3.702471667
205,4,M,4.423788682
205,5,M,4.833800445
205,1,N,4.233968519
205,2,N,2.988747839
205,3,N,1.819454765
205,4,N,3.079861163
205,5,N,4.68953678
205,1,MN,4.423788682
205,2,MN,2.244651918
205,3,MN,3.975812624
205,4,MN,4.082111994
205,5,MN,4.719907559
205,1,U,3.095046224
205,2,U,1.432221251
205,3,U,1.834640483
205,4,U,1.280365383
205,5,U,1.341107927
205,1,UM,2.4496578
205,2,UM,3.026712135
205,3,UM,2.00168207
205,4,UM,2.161130797
205,5,UM,2.191501905
205,1,UMS,2.457250659
205,2,UMS,2.191502397
205,3,UMS,1.405646901
205,4,UMS,1.54611348
205,5,UMS,1.31832935
206,1,UMN,
206,2,UMN,
206,3,UMN,
206,4,UMN,
206,5,UMN,
206,1,M,
206,2,M,
206,3,M,
206,4,M,
206,5,M,
206,1,N,
206,2,N,
206,3,N,
206,4,N,
206,5,N,
206,1,MN,
206,2,MN,
206,3,MN,
206,4,MN,
206,5,MN,
206,1,U,
206,2,U,
206,3,U,
206,4,U,
206,5,U,
206,1,UM,
206,2,UM,
206,3,UM,
206,4,UM,
206,5,UM,
206,1,UMS,
206,2,UMS,
206,3,UMS,
206,4,UMS,
206,5,UMS,
207,1,UMN,4.975340792
207,2,UMN,4.92111947
207,3,UMN,4.921754436500001
207,4,UMN,4.9403051055
207,5,UMN,4.91130562
207,1,M,1.042084619
207,2,M,1.050266847
207,3,M,1.034416795
207,4,M,1.037037037
207,5,M,1.052678112
207,1,N,4.94367284
207,2,N,4.965358153
207,3,N,4.961291152
207,4,N,4.918418853
207,5,N,4.845582562
207,1,MN,4.987445345
207,2,MN,4.944476595
207,3,MN,1.056777263
207,4,MN,2.979504244
207,5,MN,2.92023534
207,1,U,1.023678627
207,2,U,4.966258359
207,3,U,2.927903164
207,4,U,2.961982382
207,5,U,2.968492798
207,1,UM,1.011863426
207,2,UM,2.988988555
207,3,UM,2.88901749
207,4,UM,2.961853781
207,5,UM,2.947096836
207,1,UMS,3.014033565
207,2,UMS,2.9883455505
207,3,UMS,2.965293853
207,4,UMS,2.9609857255
207,5,UMS,2.9566615225
208,1,UMN,4.544712534
208,2,UMN,3.0764186705
208,3,UMN,1.681803167
208,4,UMN,3.0017790555
208,5,UMN,4.3750553445
208,1,M,3.479717783
208,2,M,1.739636569
208,3,M,4.413200772
