ID,stimulus,DV
201,D,.032
201,DE,.31
201,DEF,.542
201,S,.005
201,E,.215
201,F,.343
201,EF,.038
201,G,.626
201,H,.014
201,M,.07
201,N,.206
201,MN,.06
201,U,.061
201,UM,.164
201,UMN,.013
202,D,.258
202,DE,.715
202,DEF,.711
202,S,.581
202,E,.324
202,F,.59
202,EF,.518
202,G,.65
202,H,.595
202,M,.612
202,N,.095
202,MN,.194
202,U,.587
202,UM,.611
202,UMN,.77
203,D,.081
203,DE,.457
203,DEF,.023
203,S,.018
203,E,.017
203,F,.026
203,EF,.11
203,G,.003
203,H,.186
203,M,.003
203,N,.012
203,MN,.072
203,U,.025
203,UM,.107
203,UMN,.101
204,D,.304
204,DE,.6879999999999999
204,DEF,.795
204,S,.59
204,E,.601
204,F,.522
204,EF,.477
204,G,.614
204,H,.608
204,M,.618
204,N,.603
204,MN,.632
204,U,.595
204,UM,.722
204,UMN,.768
205,D,.345
205,DE,.411
205,DEF,.399
205,S,.343
205,E,.198
205,F,.094
205,EF,.09
205,G,.403
205,H,.467
205,M,.106
205,N,.074
205,MN,.051
205,U,.501
205,UM,.515
205,UMN,.235
206,D,.041
206,DE,.314
206,DEF,.585
206,S,.006
206,E,.021
206,F,.616
206,EF,.206
206,G,.639
206,H,.014
206,M,.118
206,N,.012
206,MN,.09
206,U,.022
206,UM,.5629999999999999
206,UMN,.898
207,D,.029
207,DE,.58
207,DEF,.507
207,S,.004
207,E,.184
207,F,.149
207,EF,.069
207,G,.524
207,H,.135
207,M,.046
207,N,.074
207,MN,.03
207,U,.019
207,UM,.527
207,UMN,.063
208,D,.461
208,DE,.707
208,DEF,.76
208,S,.48
208,E,.583
208,F,.619
208,EF,.65
208,G,.616
208,H,.592
208,M,.517
208,N,.482
208,MN,.715
208,U,.573
208,UM,.75
208,UMN,.739
209,D,.189
209,DE,.244
209,DEF,.64
209,S,.584
209,E,.431
209,F,.196
209,EF,.1
209,G,.64
209,H,.626
209,M,.622
209,N,.416
209,MN,.184
209,U,.6
209,UM,.751
209,UMN,.801
210,D,.097
210,DE,.277
210,DEF,.533
210,S,.507
210,E,.113
210,F,.069
210,EF,.171
210,G,.498
210,H,.587
210,M,.522
210,N,.574
210,MN,.624
210,U,.426
210,UM,.621
210,UMN,.722
211,D,.008
211,DE,.092
211,DEF,.32
211,S,.023
211,E,.455
211,F,.135
211,EF,.027
211,G,.496
211,H,.573
211,M,.528
211,N,.047
211,MN,.007
211,U,.005
211,UM,.093
211,UMN,.5629999999999999
212,D,.42
212,DE,.176
212,DEF,.547
212,S,.538
212,E,.31
212,F,.335
212,EF,.086
212,G,.591
212,H,.622
212,M,.072
212,N,.375
212,MN,.151
212,U,.551
212,UM,.131
212,UMN,.721
213,D,.246
213,DE,.051
213,DEF,.136
213,S,.119
213,E,.271
213,F,.292
213,EF,.067
213,G,.62
213,H,.171
213,M,.068
213,N,.055
213,MN,.067
213,U,.412
213,UM,.415
213,UMN,.741
214,D,.064
214,DE,.241
214,DEF,.635
214,S,.037
214,E,.076
214,F,.162
214,EF,.173
214,G,.637
214,H,.505
214,M,.34
214,N,.645
214,MN,.223
214,U,.14
214,UM,.234
214,UMN,.106
215,D,.283
215,DE,.8169999999999999
215,DEF,.699
215,S,.603
215,E,.555
215,F,.3
215,EF,.184
215,G,.624
215,H,.597
215,M,.503
215,N,.592
215,MN,.514
215,U,.569
215,UM,.748
215,UMN,.82
216,D,.172
216,DE,.086
216,DEF,.709
216,S,.272
216,E,.524
216,F,.101
216,EF,.062
216,G,.646
216,H,.449
216,M,.509
216,N,.7
216,MN,.637
216,U,.585
216,UM,.485
216,UMN,.111
217,D,.174
217,DE,.164
217,DEF,.392
217,S,.585
217,E,.537
217,F,.064
217,EF,.03
217,G,.623
217,H,.614
217,M,.321
217,N,.113
217,MN,.089
217,U,.599
217,UM,.361
217,UMN,.556
218,D,.033
218,DE,.159
218,DEF,.044
218,S,.008
218,E,.103
218,F,.029
218,EF,.074
218,G,.252
218,H,.405
218,M,.017
218,N,.039
218,MN,.038
218,U,.035
218,UM,.279
218,UMN,.032
219,D,.455
219,DE,.242
219,DEF,.629
219,S,.581
219,E,.603
219,F,.065
219,EF,.042
219,G,.631
219,H,.603
219,M,.572
219,N,.046
219,MN,.026
219,U,.494
219,UM,.139
219,UMN,.58
220,D,.043
220,DE,.101
220,DEF,.01
220,S,.005
220,E,.555
220,F,.011
220,EF,.356
220,G,.627
220,H,.008
220,M,.002
220,N,.386
220,MN,.105
220,U,.02
220,UM,.436
220,UMN,.013
221,D,.441
221,DE,.767
221,DEF,.594
221,S,.484
221,E,.318
221,F,.414
221,EF,.575
221,G,.622
221,H,.597
221,M,.255
221,N,.5639999999999999
221,MN,.286
221,U,.604
221,UM,.54
221,UMN,.776
222,D,.01
222,DE,.024
222,DEF,.511
222,S,.003
222,E,.07
222,F,.12
222,EF,.065
222,G,.613
222,H,.027
222,M,.406
222,N,.036
222,MN,.019
222,U,.007
222,UM,.371
222,UMN,.662
223,D,.4
223,DE,.767
223,DEF,.783
223,S,.581
223,E,.62
223,F,.614
223,EF,.636
223,G,.635
223,H,.63
223,M,.452
223,N,.48
223,MN,.72
223,U,.606
223,UM,.734
223,UMN,.799
224,D,.499
224,DE,.694
224,DEF,.714
224,S,.59
224,E,.618
224,F,.611
224,EF,.508
224,G,.5570000000000001
224,H,.614
224,M,.332
224,N,.454
224,MN,.5649999999999999
224,U,.606
224,UM,.492
224,UMN,.753
225,D,.058
225,DE,.387
225,DEF,.786
225,S,.597
225,E,.119
225,F,.228
225,EF,.256
225,G,.643
225,H,.627
225,M,.511
225,N,.621
225,MN,.644
225,U,.258
225,UM,.483
225,UMN,.647
226,D,.055
226,DE,.286
226,DEF,.388
226,S,.581
226,E,.104
226,F,.059
226,EF,.076
226,G,.619
226,H,.555
226,M,.033
226,N,.129
226,MN,.258
226,U,.182
226,UM,.353
226,UMN,.239
227,D,.416
227,DE,.574
227,DEF,.594
227,S,.549
227,E,.5580000000000001
227,F,.216
227,EF,.068
227,G,.641
227,H,.623
227,M,.511
227,N,.034
227,MN,.023
227,U,.5610000000000001
227,UM,.233
227,UMN,.36
228,D,.103
228,DE,.148
228,DEF,.007
228,S,.044
228,E,.071
228,F,.025
228,EF,.071
228,G,.008
228,H,.029
228,M,.007
228,N,.014
228,MN,.013
228,U,.077
228,UM,.108
228,UMN,.599
229,D,.007
229,DE,.035
229,DEF,.31
229,S,.001
229,E,.113
229,F,.101
229,EF,.063
229,G,.405
