ID,Stimulus,trialseq,DV,R,s,T,u,R_abs,T_abs,US,Test
101,Rs,1,3.016460968,1,1,0,0,0,0,1,1
101,Rs,2,4.90534992,1,1,0,0,0,0,1,1
101,s,3,3.288065844,0,1,0,0,1,0,1,1
101,s,4,4.934156379,0,1,0,0,1,0,0,1
101,Rs,5,2.530864135,1,1,0,0,0,0,1,1
101,Rs,6,4.349794364,1,1,0,0,0,0,1,1
101,s,7,2.543209939,0,1,0,0,1,0,0,1
101,s,8,1.563786102,0,1,0,0,1,0,0,1
101,Rs,9,2.658436402,1,1,0,0,0,0,1,1
101,Rs,10,4.411522759,1,1,0,0,0,0,1,1
101,s,11,4.135802406,0,1,0,0,1,0,0,1
101,s,12,1.094650237,0,1,0,0,1,0,0,1
101,Rs,13,4.403292432,1,1,0,0,0,0,1,1
101,s,14,2.46913574,0,1,0,0,1,0,0,1
101,Rs,15,4.518518895,1,1,0,0,0,0,0,1
101,s,16,1.279835422,0,1,0,0,1,0,0,1
101,Rs,17,3.316872616,1,1,0,0,0,0,1,1
101,s,18,1.098765401,0,1,0,0,1,0,0,1
101,s,19,1.29629639,0,1,0,0,1,0,1,1
101,Rs,20,2.683127698,1,1,0,0,0,0,0,1
101,s,21,1.115226369,0,1,0,0,1,0,0,1
101,Rs,22,3.341563912,1,1,0,0,0,0,0,1
101,Rs,23,1.609053529,1,1,0,0,0,0,1,1
101,s,24,1.065843621,0,1,0,0,1,0,1,1
101,u,25,2.646090598,0,0,0,1,0,0,0,1
101,u,26,2.086419879,0,0,0,1,0,0,0,1
101,Tu,27,1.843621462,0,0,1,1,0,0,1,1
101,Tu,28,3.456790061,0,0,1,1,0,0,1,1
101,u,29,1.827160494,0,0,0,1,0,1,1,1
101,Tu,30,3.716049446,0,0,1,1,0,0,1,1
101,u,31,3.794238809,0,0,0,1,0,1,0,1
101,Tu,32,2.596708007,0,0,1,1,0,0,1,1
101,Tu,33,3.695473314,0,0,1,1,0,0,0,1
101,u,34,2.62962963,0,0,0,1,0,1,0,1
101,u,35,3.35802488,0,0,0,1,0,1,1,1
101,Tu,36,2.382716049,0,0,1,1,0,0,1,1
101,u,37,3.49382716,0,0,0,1,0,1,1,1
101,Tu,38,2.646090598,0,0,1,1,0,0,0,1
101,Tu,39,2.127572142,0,0,1,1,0,0,1,1
101,u,40,4.106995948,0,0,0,1,0,1,0,1
101,u,41,4.037037225,0,0,0,1,0,1,0,1
101,Tu,42,3.316872616,0,0,1,1,0,0,1,1
101,Tu,43,3.411522634,0,0,1,1,0,0,1,1
101,u,44,2.543209939,0,0,0,1,0,1,0,1
101,Tu,45,2.185185374,0,0,1,1,0,0,1,1
101,Tu,46,2.707818993,0,0,1,1,0,0,0,1
101,u,47,3.316872616,0,0,0,1,0,1,0,1
101,u,48,2.514403481,0,0,0,1,0,1,0,1
101,Rs,49,4.135802406,1,1,0,0,0,0,1,1
101,Rs,50,3.325102943,1,1,0,0,0,0,0,1
101,s,51,2.576131876,0,1,0,0,1,0,0,1
101,u,52,3.279835517,0,0,0,1,0,1,0,1
101,s,53,2.497942512,0,1,0,0,1,0,0,1
101,Tu,54,2.637860271,0,0,1,1,0,0,1,1
101,u,55,2.683127698,0,0,0,1,0,1,1,1
101,Tu,56,1.938271793,0,0,1,1,0,0,1,1
101,s,57,2.407407345,0,1,0,0,1,0,0,1
101,u,58,3.469135865,0,0,0,1,0,1,0,1
101,Tu,59,3.625514592,0,0,1,1,0,0,0,1
101,s,60,1.485596739,0,1,0,0,1,0,1,1
101,u,61,2.242798291,0,0,0,1,0,1,0,1
101,Rs,62,2.728395125,1,1,0,0,0,0,1,1
101,Tu,63,2.637860271,0,0,1,1,0,0,1,1
101,Rs,64,2.251028932,1,1,0,0,0,0,1,1
101,Tu,65,3.411522634,0,0,1,1,0,0,0,0
101,Rs,66,3.423868438,1,1,0,0,0,0,0,0
101,Ru,67,2.983539032,1,0,0,1,0,0,0,0
101,T,68,3.016460968,0,0,1,0,0,0,0,0
101,u,69,2.604938334,0,0,0,1,0,1,0,0
101,s,70,3.440329406,0,1,0,0,1,0,0,0
101,R,71,2.983539032,1,0,0,0,0,0,0,0
101,Ts,72,3.440329406,0,1,1,0,0,0,0,0
101,s,73,2.551440266,0,1,0,0,1,0,0,0
101,Ru,74,3.020576132,1,0,0,1,0,0,0,0
101,Ts,75,3.386831339,0,1,1,0,0,0,0,0
101,T,76,2.650205761,0,0,1,0,0,0,0,0
101,R,77,3.016460968,1,0,0,0,0,0,0,0
101,Rs,78,3.971193353,1,1,0,0,0,0,0,0
101,u,79,2.432098954,0,0,0,1,0,1,0,0
101,Tu,80,3.181070022,0,0,1,1,0,0,0,0
102,s,1,3.020576132,0,1,0,0,0,0,0,1
102,Rs,2,1.028806584,1,1,0,0,0,0,1,1
102,s,3,2.962962963,0,1,0,0,1,0,1,1
102,Rs,4,3.979423868,1,1,0,0,0,0,1,1
102,Rs,5,4.633744856,1,1,0,0,0,0,1,1
102,s,6,4.633744856,0,1,0,0,1,0,0,1
102,Rs,7,4.695473251,1,1,0,0,0,0,0,1
102,s,8,4.041152263,0,1,0,0,1,0,0,1
102,s,9,3.761316872,0,1,0,0,1,0,0,1
102,Rs,10,3.325102881,1,1,0,0,0,0,1,1
102,s,11,3.790123457,0,1,0,0,1,0,1,1
102,Rs,12,3.358024691,1,1,0,0,0,0,0,1
102,Rs,13,3.588477366,1,1,0,0,0,0,0,1
102,s,14,3.551440329,0,1,0,0,1,0,0,1
102,Rs,15,3.526748971,1,1,0,0,0,0,1,1
102,s,16,3.744855967,0,1,0,0,1,0,1,1
