,mean,sd,hpd_3%,hpd_97%
α_mean,0.639,0.04,0.556,0.708
α_sd,0.291,0.03,0.24,0.348
α[0],0.78,0.133,0.53,0.968
α[1],0.777,0.143,0.517,0.979
α[2],0.725,0.136,0.481,0.954
α[3],0.131,0.019,0.095,0.165
α[4],0.64,0.117,0.432,0.85
α[5],0.774,0.139,0.506,0.977
α[6],0.515,0.201,0.175,0.879
α[7],0.828,0.123,0.585,0.981
α[8],0.805,0.12,0.585,0.981
α[9],0.787,0.154,0.496,0.986
α[10],0.16,0.019,0.125,0.196
α[11],0.028,0.008,0.016,0.043
α[12],0.484,0.177,0.182,0.8
α[13],0.766,0.133,0.506,0.967
α[14],0.518,0.176,0.207,0.832
α[15],0.57,0.152,0.287,0.844
α[16],0.888,0.107,0.699,0.997
α[17],0.681,0.146,0.419,0.931
α[18],0.752,0.128,0.509,0.941
α[19],0.005,0.002,0.002,0.009
α[20],0.739,0.169,0.425,0.99
α[21],0.828,0.118,0.614,0.985
α[22],0.009,0.002,0.005,0.013
α[23],0.835,0.13,0.59,0.996
α[24],0.752,0.124,0.514,0.941
α[25],0.819,0.124,0.593,0.986
α[26],0.595,0.135,0.374,0.857
α[27],0.812,0.14,0.552,0.986
α[28],0.779,0.135,0.521,0.968
α[29],0.584,0.146,0.312,0.843
α[30],0.568,0.184,0.247,0.885
α[31],0.76,0.129,0.525,0.964
α[32],0.763,0.121,0.549,0.965
α[33],0.158,0.026,0.112,0.207
α[34],0.73,0.134,0.485,0.94
α[35],0.65,0.146,0.384,0.905
α[36],0.602,0.208,0.23,0.95
α[37],0.659,0.144,0.389,0.9
α[38],0.801,0.14,0.526,0.99
α[39],0.762,0.129,0.506,0.956
α[40],0.118,0.016,0.09,0.149
α[41],0.758,0.143,0.493,0.971
α[42],0.754,0.132,0.525,0.963
α[43],0.766,0.137,0.534,0.985
α[44],0.792,0.136,0.52,0.974
α[45],0.807,0.107,0.61,0.963
α[46],0.746,0.109,0.544,0.934
α[47],0.79,0.131,0.537,0.966
α[48],0.619,0.177,0.312,0.929
α[49],0.813,0.12,0.586,0.982
α[50],0.185,0.033,0.123,0.246
α[51],0.746,0.127,0.505,0.945
α[52],0.007,0.002,0.003,0.011
α[53],0.805,0.131,0.557,0.982
α[54],0.705,0.122,0.489,0.92
α[55],0.761,0.164,0.46,0.987
α[56],0.64,0.134,0.408,0.893
α[57],0.827,0.134,0.575,0.988
