,mean,sd,hpd_3%,hpd_97%
α_mean,0.647,0.047,0.563,0.735
α_sd,0.333,0.034,0.268,0.392
α[0],0.891,0.071,0.756,0.985
α[1],0.873,0.067,0.746,0.97
α[2],0.846,0.079,0.696,0.961
α[3],0.865,0.087,0.711,0.986
α[4],0.802,0.088,0.637,0.934
α[5],0.91,0.076,0.776,0.997
α[6],0.739,0.064,0.613,0.847
α[7],0.792,0.088,0.629,0.932
α[8],0.907,0.081,0.751,0.996
α[9],0.933,0.076,0.812,0.999
α[10],0.036,0.019,0.01,0.073
α[11],0.033,0.005,0.024,0.042
α[12],0.656,0.088,0.494,0.823
α[13],0.853,0.096,0.668,0.984
α[14],0.606,0.138,0.323,0.829
α[15],0.75,0.094,0.576,0.902
α[16],0.904,0.064,0.782,0.991
α[17],0.566,0.205,0.193,0.906
α[18],0.742,0.078,0.598,0.884
α[19],0.019,0.006,0.009,0.03
α[20],0.812,0.108,0.608,0.968
α[21],0.913,0.067,0.794,0.99
α[22],0.845,0.103,0.658,0.98
α[23],0.898,0.075,0.756,0.996
α[24],0.774,0.11,0.578,0.953
α[25],0.925,0.058,0.81,0.991
α[26],0.607,0.098,0.425,0.791
α[27],0.936,0.065,0.813,0.999
α[28],0.398,0.047,0.315,0.487
α[29],0.104,0.012,0.079,0.125
α[30],0.062,0.01,0.042,0.08
α[31],0.051,0.008,0.037,0.067
α[32],0.686,0.105,0.483,0.863
α[33],0.004,0.004,0.0,0.01
α[34],0.685,0.094,0.52,0.868
α[35],0.675,0.099,0.484,0.843
α[36],0.762,0.079,0.613,0.893
α[37],0.897,0.089,0.734,0.993
α[38],0.659,0.136,0.411,0.899
α[39],0.078,0.01,0.059,0.097
α[40],0.055,0.008,0.04,0.068
α[41],0.82,0.112,0.605,0.984
α[42],0.7,0.124,0.462,0.909
α[43],0.566,0.153,0.283,0.839
α[44],0.88,0.065,0.763,0.976
α[45],0.843,0.091,0.686,0.975
α[46],0.838,0.077,0.709,0.973
α[47],0.817,0.093,0.635,0.958
α[48],0.895,0.08,0.749,0.99
α[49],0.931,0.054,0.83,0.995
α[50],0.039,0.008,0.024,0.054
α[51],0.806,0.102,0.624,0.964
α[52],0.023,0.006,0.012,0.034
α[53],0.867,0.066,0.752,0.97
α[54],0.812,0.084,0.653,0.946
α[55],0.713,0.121,0.495,0.92
α[56],0.615,0.084,0.455,0.767
α[57],0.898,0.07,0.772,0.988
