,mean,sd,hpd_3%,hpd_97%
α_mean,0.508,0.04,0.44,0.59
α_sd,0.293,0.028,0.243,0.347
α[0],0.127,0.011,0.106,0.146
α[1],0.811,0.134,0.558,0.983
α[2],0.56,0.108,0.367,0.762
α[3],0.813,0.147,0.527,0.987
α[4],0.594,0.17,0.268,0.886
α[5],0.103,0.009,0.087,0.12
α[6],0.131,0.013,0.107,0.154
α[7],0.752,0.149,0.479,0.973
α[8],0.467,0.245,0.055,0.868
α[9],0.708,0.15,0.425,0.946
α[10],0.102,0.008,0.085,0.117
α[11],0.339,0.138,0.097,0.6
α[12],0.226,0.045,0.143,0.308
α[13],0.284,0.062,0.176,0.409
α[14],0.756,0.141,0.484,0.958
α[15],0.607,0.251,0.135,0.973
α[16],0.276,0.117,0.099,0.515
α[17],0.479,0.111,0.285,0.687
α[18],0.452,0.278,0.045,0.939
α[19],0.585,0.113,0.376,0.791
α[20],0.581,0.13,0.356,0.818
α[21],0.095,0.007,0.08,0.109
α[22],0.78,0.14,0.514,0.978
α[23],0.839,0.15,0.534,0.994
α[24],0.565,0.201,0.191,0.889
α[25],0.752,0.127,0.521,0.955
α[26],0.587,0.297,0.084,0.996
α[27],0.236,0.044,0.161,0.325
α[28],0.009,0.001,0.006,0.011
α[29],0.107,0.009,0.09,0.123
α[30],0.717,0.14,0.457,0.944
α[31],0.537,0.114,0.322,0.738
α[32],0.14,0.019,0.105,0.177
α[33],0.815,0.147,0.516,0.986
α[34],0.519,0.184,0.164,0.821
α[35],0.765,0.142,0.503,0.982
α[36],0.64,0.209,0.268,0.977
α[37],0.762,0.138,0.505,0.964
α[38],0.635,0.191,0.304,0.945
α[39],0.737,0.173,0.393,0.968
α[40],0.841,0.124,0.598,0.99
α[41],0.305,0.09,0.146,0.474
α[42],0.085,0.008,0.071,0.099
α[43],0.737,0.152,0.454,0.962
α[44],0.193,0.029,0.144,0.251
α[45],0.246,0.039,0.179,0.326
α[46],0.804,0.147,0.525,0.992
α[47],0.602,0.199,0.238,0.935
α[48],0.243,0.041,0.175,0.32
α[49],0.112,0.009,0.095,0.128
α[50],0.145,0.016,0.114,0.174
α[51],0.753,0.142,0.486,0.963
α[52],0.695,0.172,0.37,0.952
α[53],0.576,0.232,0.166,0.949
α[54],0.761,0.15,0.476,0.98
α[55],0.561,0.227,0.166,0.933
α[56],0.724,0.128,0.485,0.927
α[57],0.474,0.161,0.177,0.761
α[58],0.484,0.181,0.153,0.803
α[59],0.363,0.11,0.173,0.567
α[60],0.629,0.134,0.389,0.881
α[61],0.404,0.117,0.186,0.609
α[62],0.778,0.129,0.531,0.972
α[63],0.48,0.162,0.205,0.781
α[64],0.732,0.154,0.435,0.96
α[65],0.732,0.171,0.398,0.979
α[66],0.599,0.143,0.345,0.861
