,mean,sd,hpd_3%,hpd_97%
α_mean,0.383,0.047,0.297,0.475
α_sd,0.339,0.033,0.285,0.409
α[0],0.046,0.006,0.034,0.058
α[1],0.242,0.019,0.207,0.276
α[2],0.0,0.001,0.0,0.001
α[3],0.877,0.092,0.697,0.993
α[4],0.232,0.042,0.162,0.318
α[5],0.026,0.005,0.017,0.035
α[6],0.019,0.004,0.012,0.027
α[7],0.837,0.088,0.664,0.967
α[8],0.271,0.029,0.215,0.326
α[9],0.183,0.022,0.14,0.223
α[10],0.072,0.013,0.05,0.098
α[11],0.239,0.019,0.205,0.274
α[12],0.14,0.014,0.111,0.165
α[13],0.329,0.03,0.279,0.385
α[14],0.892,0.096,0.725,0.995
α[15],0.662,0.18,0.327,0.939
α[16],0.196,0.015,0.166,0.221
α[17],0.002,0.002,0.0,0.006
α[18],0.131,0.014,0.104,0.157
α[19],0.567,0.068,0.44,0.687
α[20],0.381,0.052,0.286,0.477
α[21],0.034,0.005,0.026,0.043
α[22],0.876,0.084,0.725,0.986
α[23],0.801,0.106,0.597,0.954
α[24],0.334,0.088,0.184,0.512
α[25],0.236,0.021,0.197,0.272
α[26],0.15,0.014,0.123,0.176
α[27],0.007,0.003,0.002,0.012
α[28],0.026,0.004,0.019,0.033
α[29],0.067,0.011,0.047,0.09
α[30],0.913,0.078,0.758,0.995
α[31],0.26,0.037,0.189,0.324
α[32],0.014,0.003,0.009,0.019
α[33],0.278,0.026,0.23,0.325
α[34],0.0,0.0,0.0,0.001
α[35],0.66,0.128,0.426,0.871
α[36],0.319,0.029,0.266,0.371
α[37],0.181,0.035,0.117,0.246
α[38],0.939,0.067,0.815,0.999
α[39],0.497,0.062,0.382,0.611
α[40],0.264,0.025,0.219,0.313
α[41],0.568,0.109,0.367,0.763
α[42],0.036,0.004,0.028,0.044
α[43],0.83,0.109,0.626,0.98
α[44],0.103,0.009,0.086,0.12
α[45],0.235,0.02,0.201,0.271
α[46],0.89,0.08,0.74,0.99
α[47],0.778,0.123,0.554,0.962
α[48],0.408,0.051,0.305,0.498
α[49],0.049,0.007,0.037,0.063
α[50],0.007,0.003,0.003,0.012
α[51],0.879,0.088,0.712,0.99
α[52],0.731,0.127,0.489,0.927
α[53],0.334,0.052,0.246,0.439
α[54],0.875,0.082,0.724,0.985
α[55],0.108,0.02,0.073,0.147
α[56],0.81,0.103,0.621,0.972
α[57],0.856,0.092,0.684,0.982
α[58],0.014,0.004,0.007,0.021
α[59],0.477,0.083,0.311,0.619
α[60],0.697,0.084,0.537,0.837
α[61],0.221,0.025,0.177,0.269
α[62],0.243,0.021,0.203,0.279
α[63],0.087,0.012,0.065,0.109
α[64],0.898,0.082,0.748,0.993
α[65],0.864,0.111,0.655,0.993
α[66],0.628,0.07,0.504,0.763
