,mean,sd,hpd_3%,hpd_97%
α_mean,0.519,0.084,0.368,0.678
α_sd,0.331,0.062,0.22,0.437
iotaP_mean,0.527,0.071,0.399,0.655
iotaP_sd,0.252,0.051,0.167,0.348
iotaPabs_mean,0.453,0.068,0.324,0.576
iotaPabs_sd,0.24,0.047,0.161,0.332
iotaN_mean,0.485,0.072,0.352,0.621
iotaN_sd,0.259,0.052,0.171,0.361
iotaNabs_mean,0.527,0.07,0.387,0.657
iotaNabs_sd,0.249,0.049,0.169,0.352
α[0],0.674,0.122,0.458,0.892
α[1],0.493,0.078,0.337,0.631
α[2],0.762,0.105,0.566,0.932
α[3],0.877,0.101,0.679,0.995
α[4],0.777,0.105,0.587,0.94
α[5],0.261,0.055,0.165,0.371
α[6],0.393,0.323,0.0,0.944
α[7],0.409,0.227,0.044,0.813
α[8],0.587,0.245,0.154,0.974
α[9],0.072,0.09,0.001,0.234
α[10],0.606,0.295,0.102,0.999
α[11],0.854,0.099,0.666,0.985
α[12],0.186,0.04,0.108,0.258
α[13],0.161,0.117,0.016,0.395
α[14],0.218,0.048,0.13,0.297
α[15],0.748,0.152,0.45,0.964
α[16],0.71,0.107,0.524,0.905
α[17],0.257,0.051,0.167,0.354
α[18],0.772,0.111,0.573,0.951
α[19],0.648,0.106,0.434,0.819
iotaP[0],0.409,0.132,0.165,0.641
iotaP[1],0.388,0.132,0.147,0.621
iotaP[2],0.267,0.084,0.12,0.428
iotaP[3],0.726,0.176,0.398,0.982
iotaP[4],0.628,0.176,0.307,0.915
iotaP[5],0.298,0.163,0.049,0.6
iotaP[6],0.486,0.184,0.141,0.807
iotaP[7],0.588,0.181,0.256,0.895
iotaP[8],0.568,0.182,0.242,0.886
iotaP[9],0.525,0.225,0.128,0.905
iotaP[10],0.4,0.143,0.148,0.65
iotaP[11],0.743,0.164,0.443,0.981
iotaP[12],0.58,0.208,0.197,0.911
iotaP[13],0.62,0.206,0.257,0.952
iotaP[14],0.293,0.186,0.023,0.638
iotaP[15],0.602,0.153,0.3,0.85
iotaP[16],0.645,0.184,0.32,0.955
iotaP[17],0.61,0.182,0.284,0.904
iotaP[18],0.569,0.164,0.271,0.859
iotaP[19],0.611,0.168,0.313,0.891
iotaPabs[0],0.449,0.137,0.216,0.709
iotaPabs[1],0.556,0.154,0.268,0.84
iotaPabs[2],0.619,0.182,0.294,0.919
iotaPabs[3],0.71,0.181,0.381,0.984
iotaPabs[4],0.354,0.143,0.103,0.618
iotaPabs[5],0.396,0.191,0.058,0.721
iotaPabs[6],0.375,0.16,0.085,0.652
iotaPabs[7],0.183,0.119,0.023,0.416
iotaPabs[8],0.494,0.165,0.194,0.794
iotaPabs[9],0.462,0.224,0.077,0.847
iotaPabs[10],0.415,0.153,0.168,0.712
iotaPabs[11],0.631,0.19,0.286,0.934
iotaPabs[12],0.386,0.22,0.025,0.759
iotaPabs[13],0.348,0.209,0.038,0.73
iotaPabs[14],0.327,0.206,0.016,0.688
iotaPabs[15],0.508,0.146,0.232,0.77
iotaPabs[16],0.523,0.161,0.239,0.825
iotaPabs[17],0.498,0.194,0.161,0.845
iotaPabs[18],0.432,0.155,0.141,0.705
iotaPabs[19],0.503,0.152,0.24,0.776
iotaN[0],0.694,0.159,0.41,0.948
iotaN[1],0.672,0.149,0.411,0.941
iotaN[2],0.456,0.14,0.201,0.72
iotaN[3],0.201,0.064,0.096,0.329
iotaN[4],0.232,0.106,0.072,0.442
iotaN[5],0.486,0.218,0.106,0.862
iotaN[6],0.587,0.191,0.235,0.904
iotaN[7],0.451,0.174,0.147,0.77
iotaN[8],0.539,0.151,0.279,0.82
iotaN[9],0.477,0.23,0.059,0.859
iotaN[10],0.546,0.163,0.242,0.821
iotaN[11],0.155,0.062,0.06,0.275
iotaN[12],0.436,0.23,0.034,0.816
iotaN[13],0.447,0.226,0.084,0.852
iotaN[14],0.648,0.21,0.272,0.973
iotaN[15],0.35,0.106,0.16,0.55
iotaN[16],0.697,0.141,0.429,0.927
iotaN[17],0.417,0.213,0.082,0.819
iotaN[18],0.647,0.145,0.383,0.896
iotaN[19],0.627,0.132,0.381,0.857
iotaNabs[0],0.602,0.142,0.337,0.835
iotaNabs[1],0.372,0.15,0.124,0.672
iotaNabs[2],0.424,0.121,0.217,0.665
iotaNabs[3],0.163,0.077,0.035,0.301
iotaNabs[4],0.646,0.139,0.39,0.89
iotaNabs[5],0.61,0.215,0.242,0.959
iotaNabs[6],0.625,0.19,0.282,0.937
iotaNabs[7],0.668,0.184,0.321,0.947
iotaNabs[8],0.528,0.163,0.22,0.824
iotaNabs[9],0.55,0.23,0.173,0.948
iotaNabs[10],0.694,0.164,0.394,0.977
iotaNabs[11],0.206,0.08,0.083,0.361
iotaNabs[12],0.585,0.229,0.173,0.938
iotaNabs[13],0.58,0.23,0.179,0.952
iotaNabs[14],0.524,0.232,0.11,0.891
iotaNabs[15],0.638,0.15,0.371,0.904
iotaNabs[16],0.574,0.141,0.302,0.809
iotaNabs[17],0.5,0.22,0.124,0.895
iotaNabs[18],0.592,0.14,0.326,0.842
iotaNabs[19],0.507,0.149,0.227,0.76
