,mean,sd,hpd_3%,hpd_97%
α_mean,0.385,0.07,0.259,0.524
α_sd,0.248,0.051,0.164,0.348
α[0],0.536,0.083,0.364,0.68
α[1],0.466,0.06,0.347,0.573
α[2],0.508,0.088,0.35,0.684
α[3],0.426,0.051,0.331,0.522
α[4],0.248,0.186,0.006,0.605
α[5],0.373,0.189,0.066,0.718
α[6],0.502,0.32,0.006,0.967
α[7],0.181,0.163,0.003,0.5
α[8],0.533,0.225,0.132,0.899
α[9],0.07,0.084,0.001,0.223
α[10],0.477,0.335,0.001,0.968
α[11],0.377,0.046,0.293,0.464
α[12],0.167,0.033,0.113,0.234
α[13],0.115,0.066,0.023,0.238
α[14],0.267,0.15,0.036,0.558
α[15],0.417,0.097,0.232,0.595
α[16],0.598,0.091,0.443,0.781
α[17],0.257,0.058,0.147,0.359
α[18],0.638,0.074,0.496,0.77
α[19],0.503,0.075,0.369,0.637
