,mean,sd,hpd_3%,hpd_97%
α_mean,0.626,0.046,0.544,0.709
α_sd,0.291,0.031,0.236,0.349
α[0],0.77,0.135,0.506,0.974
α[1],0.78,0.138,0.522,0.971
α[2],0.731,0.13,0.489,0.941
α[3],0.131,0.019,0.097,0.166
α[4],0.638,0.116,0.412,0.834
α[5],0.787,0.133,0.537,0.978
α[6],0.507,0.198,0.162,0.851
α[7],0.843,0.107,0.628,0.979
α[8],0.805,0.127,0.581,0.976
α[9],0.782,0.157,0.478,0.989
α[10],0.16,0.02,0.123,0.195
α[11],0.029,0.008,0.017,0.045
α[12],0.483,0.166,0.198,0.789
α[13],0.768,0.138,0.506,0.959
α[14],0.518,0.183,0.187,0.845
α[15],0.563,0.154,0.273,0.833
α[16],0.884,0.105,0.697,0.999
α[17],0.681,0.144,0.405,0.912
α[18],0.761,0.126,0.523,0.95
α[19],0.007,0.005,0.001,0.015
α[20],0.746,0.161,0.446,0.974
α[21],0.837,0.116,0.614,0.986
α[22],0.01,0.006,0.002,0.02
α[23],0.837,0.134,0.576,0.994
α[24],0.764,0.118,0.543,0.951
α[25],0.811,0.123,0.562,0.974
α[26],0.586,0.139,0.329,0.829
α[27],0.81,0.136,0.557,0.989
α[28],0.782,0.133,0.529,0.971
α[29],0.589,0.14,0.349,0.857
α[30],0.572,0.179,0.237,0.868
α[31],0.763,0.133,0.515,0.955
α[32],0.765,0.124,0.536,0.962
α[33],0.158,0.025,0.11,0.205
α[34],0.73,0.135,0.487,0.949
α[35],0.647,0.142,0.399,0.912
α[36],0.595,0.214,0.196,0.93
α[37],0.674,0.134,0.436,0.9
α[38],0.796,0.143,0.516,0.982
α[39],0.76,0.128,0.52,0.949
α[40],0.119,0.017,0.089,0.15
α[41],0.754,0.148,0.464,0.971
α[42],0.759,0.132,0.515,0.956
α[43],0.772,0.138,0.525,0.972
α[44],0.793,0.129,0.545,0.977
α[45],0.81,0.11,0.598,0.968
α[46],0.747,0.112,0.532,0.924
α[47],0.795,0.125,0.563,0.973
α[48],0.617,0.172,0.322,0.935
α[49],0.809,0.13,0.562,0.975
α[50],0.185,0.033,0.13,0.252
α[51],0.745,0.13,0.5,0.952
α[52],0.007,0.003,0.003,0.013
α[53],0.805,0.135,0.555,0.98
α[54],0.707,0.123,0.471,0.907
α[55],0.762,0.164,0.438,0.987
α[56],0.639,0.134,0.382,0.866
α[57],0.834,0.129,0.594,0.989
