,mean,sd,hpd_3%,hpd_97%
α_mean,0.67,0.048,0.578,0.758
α_sd,0.335,0.037,0.261,0.398
iotaP_mean,0.378,0.037,0.313,0.455
iotaP_sd,0.217,0.025,0.176,0.265
iotaN_mean,0.471,0.039,0.403,0.545
iotaN_sd,0.244,0.026,0.19,0.29
iotaNabs_mean,0.55,0.041,0.478,0.63
iotaNabs_sd,0.282,0.029,0.231,0.34
α[0],0.843,0.078,0.703,0.97
α[1],0.903,0.065,0.781,0.987
α[2],0.79,0.077,0.647,0.912
α[3],0.875,0.077,0.732,0.981
α[4],0.724,0.1,0.547,0.904
α[5],0.909,0.071,0.779,0.995
α[6],0.794,0.069,0.665,0.915
α[7],0.87,0.072,0.742,0.981
α[8],0.845,0.081,0.71,0.974
α[9],0.922,0.078,0.791,0.997
α[10],0.036,0.018,0.011,0.07
α[11],0.033,0.005,0.024,0.044
α[12],0.848,0.098,0.671,0.982
α[13],0.863,0.083,0.702,0.979
α[14],0.267,0.03,0.212,0.322
α[15],0.855,0.091,0.688,0.983
α[16],0.937,0.061,0.816,0.998
α[17],0.588,0.09,0.422,0.745
α[18],0.872,0.072,0.742,0.973
α[19],0.019,0.006,0.009,0.029
α[20],0.811,0.092,0.634,0.953
α[21],0.914,0.075,0.78,0.994
α[22],0.47,0.113,0.265,0.677
α[23],0.919,0.06,0.802,0.99
α[24],0.849,0.087,0.692,0.981
α[25],0.931,0.058,0.816,0.994
α[26],0.815,0.119,0.599,0.985
α[27],0.905,0.078,0.756,0.993
α[28],0.586,0.071,0.449,0.707
α[29],0.131,0.016,0.103,0.16
α[30],0.081,0.02,0.045,0.117
α[31],0.053,0.012,0.033,0.075
α[32],0.746,0.08,0.593,0.883
α[33],0.004,0.003,0.001,0.009
α[34],0.814,0.099,0.623,0.957
α[35],0.785,0.105,0.575,0.943
α[36],0.887,0.081,0.739,0.991
α[37],0.74,0.117,0.505,0.924
α[38],0.785,0.085,0.639,0.93
α[39],0.087,0.013,0.065,0.11
α[40],0.058,0.008,0.042,0.074
α[41],0.843,0.093,0.672,0.983
α[42],0.788,0.138,0.547,0.987
α[43],0.733,0.093,0.564,0.899
α[44],0.881,0.064,0.762,0.98
α[45],0.867,0.075,0.731,0.976
α[46],0.803,0.071,0.672,0.921
α[47],0.823,0.1,0.632,0.968
α[48],0.885,0.094,0.711,0.991
α[49],0.936,0.064,0.823,0.998
α[50],0.039,0.009,0.025,0.056
α[51],0.913,0.077,0.768,0.995
α[52],0.023,0.006,0.012,0.034
α[53],0.937,0.059,0.83,0.997
α[54],0.781,0.086,0.618,0.925
α[55],0.722,0.112,0.524,0.919
α[56],0.633,0.073,0.494,0.766
α[57],0.867,0.074,0.72,0.964
iotaP[0],0.21,0.038,0.147,0.287
iotaP[1],0.668,0.173,0.379,0.964
iotaP[2],0.229,0.042,0.154,0.305
iotaP[3],0.496,0.122,0.272,0.721
iotaP[4],0.185,0.032,0.128,0.247
iotaP[5],0.189,0.035,0.126,0.254
iotaP[6],0.607,0.142,0.348,0.854
iotaP[7],0.215,0.038,0.152,0.291
iotaP[8],0.175,0.029,0.121,0.228
iotaP[9],0.276,0.067,0.154,0.397
iotaP[10],0.433,0.216,0.057,0.799
iotaP[11],0.445,0.218,0.077,0.821
iotaP[12],0.395,0.084,0.241,0.553
iotaP[13],0.148,0.025,0.102,0.195
iotaP[14],0.546,0.11,0.354,0.76
iotaP[15],0.629,0.15,0.339,0.888
iotaP[16],0.417,0.122,0.206,0.64
iotaP[17],0.28,0.047,0.197,0.367
iotaP[18],0.642,0.123,0.412,0.845
iotaP[19],0.429,0.217,0.09,0.833
iotaP[20],0.338,0.075,0.207,0.481
iotaP[21],0.21,0.043,0.131,0.291
iotaP[22],0.531,0.106,0.339,0.726
iotaP[23],0.173,0.03,0.112,0.226
iotaP[24],0.489,0.09,0.327,0.66
iotaP[25],0.357,0.082,0.222,0.521
iotaP[26],0.561,0.147,0.287,0.813
iotaP[27],0.18,0.029,0.128,0.236
iotaP[28],0.247,0.038,0.182,0.318
iotaP[29],0.403,0.132,0.176,0.653
iotaP[30],0.545,0.203,0.186,0.881
iotaP[31],0.484,0.208,0.148,0.873
iotaP[32],0.231,0.038,0.16,0.303
iotaP[33],0.425,0.213,0.058,0.783
iotaP[34],0.467,0.099,0.287,0.654
iotaP[35],0.595,0.136,0.339,0.848
iotaP[36],0.701,0.148,0.419,0.94
iotaP[37],0.185,0.04,0.111,0.254
iotaP[38],0.175,0.027,0.13,0.228
iotaP[39],0.444,0.201,0.098,0.799
iotaP[40],0.486,0.21,0.104,0.853
iotaP[41],0.273,0.061,0.174,0.396
iotaP[42],0.747,0.151,0.448,0.967
iotaP[43],0.208,0.035,0.152,0.281
iotaP[44],0.223,0.04,0.151,0.295
iotaP[45],0.149,0.026,0.101,0.196
iotaP[46],0.199,0.032,0.147,0.263
iotaP[47],0.405,0.113,0.209,0.62
iotaP[48],0.226,0.048,0.133,0.312
iotaP[49],0.164,0.03,0.111,0.221
iotaP[50],0.459,0.22,0.092,0.856
iotaP[51],0.689,0.107,0.477,0.867
iotaP[52],0.425,0.209,0.043,0.772
iotaP[53],0.467,0.113,0.273,0.699
iotaP[54],0.207,0.037,0.142,0.278
iotaP[55],0.594,0.118,0.369,0.799
iotaP[56],0.23,0.04,0.154,0.301
iotaP[57],0.205,0.038,0.138,0.276
iotaN[0],0.6,0.17,0.273,0.883
iotaN[1],0.668,0.165,0.36,0.936
iotaN[2],0.649,0.176,0.349,0.943
iotaN[3],0.086,0.013,0.06,0.108
iotaN[4],0.268,0.062,0.151,0.378
iotaN[5],0.519,0.166,0.232,0.839
iotaN[6],0.113,0.016,0.085,0.148
iotaN[7],0.481,0.113,0.282,0.694
iotaN[8],0.539,0.172,0.224,0.851
iotaN[9],0.689,0.188,0.319,0.964
iotaN[10],0.498,0.22,0.131,0.896
iotaN[11],0.466,0.223,0.051,0.823
iotaN[12],0.229,0.048,0.149,0.326
iotaN[13],0.259,0.061,0.146,0.365
iotaN[14],0.087,0.025,0.043,0.136
iotaN[15],0.759,0.143,0.485,0.97
iotaN[16],0.638,0.149,0.356,0.891
iotaN[17],0.504,0.12,0.302,0.743
iotaN[18],0.729,0.141,0.465,0.943
iotaN[19],0.48,0.219,0.112,0.871
iotaN[20],0.562,0.137,0.315,0.82
iotaN[21],0.533,0.175,0.218,0.844
iotaN[22],0.12,0.019,0.087,0.156
iotaN[23],0.335,0.075,0.19,0.47
iotaN[24],0.612,0.125,0.382,0.838
iotaN[25],0.773,0.155,0.461,0.984
iotaN[26],0.354,0.073,0.22,0.494
iotaN[27],0.609,0.175,0.273,0.887
iotaN[28],0.546,0.149,0.273,0.805
iotaN[29],0.207,0.077,0.089,0.37
iotaN[30],0.246,0.159,0.018,0.543
iotaN[31],0.399,0.196,0.079,0.765
iotaN[32],0.565,0.144,0.311,0.843
iotaN[33],0.493,0.219,0.09,0.85
iotaN[34],0.497,0.122,0.274,0.722
iotaN[35],0.662,0.144,0.402,0.913
iotaN[36],0.225,0.041,0.149,0.298
iotaN[37],0.184,0.031,0.126,0.241
iotaN[38],0.527,0.158,0.229,0.788
iotaN[39],0.393,0.181,0.101,0.73
iotaN[40],0.408,0.223,0.053,0.807
iotaN[41],0.775,0.154,0.489,0.981
iotaN[42],0.393,0.107,0.217,0.599
iotaN[43],0.458,0.125,0.253,0.707
iotaN[44],0.613,0.174,0.299,0.912
iotaN[45],0.448,0.119,0.237,0.676
iotaN[46],0.632,0.179,0.323,0.937
iotaN[47],0.645,0.179,0.32,0.947
