,Simulated_α,Recovered_α,Simulated_ί_P,Recovered_ί_P,Simulated_ί_N,Recovered_ί_N,Simulated_ί_Nabs,Recovered_ί_Nabs,,,,,,,,
0,0.392402244,0.391683079,0.449026569,0.449706021,0.377170972,0.378278052,0.613196881,0.615946388,,0.999978235,,0.978087057,,0.990776089,,0.998361476
1,0.661416995,0.661187425,0.529647518,0.53054892,0.335830669,0.33699668,0.32905478,0.329494358,,,,,,,,
2,0.276312088,0.274931444,0.237371573,0.243318287,0.281511594,0.288425144,0.420969982,0.426403747,,,,,,,,
3,0.23692387,0.237874674,0.822449015,0.810489477,0.502741143,0.496207515,0.591366707,0.586903946,,,,,,,,
4,0.428411451,0.424420144,0.532704429,0.56235854,0.209422506,0.219029536,0.283251889,0.289480566,,,,,,,,
5,0.416553719,0.416515324,0.465378396,0.466551429,0.648009338,0.648129399,0.65449488,0.655925826,,,,,,,,
6,0.424075405,0.423195475,0.808904104,0.825798886,0.206490222,0.209465543,0.203243307,0.205199582,,,,,,,,
7,0.234223268,0.23422147,0.560664311,0.559112344,0.737950119,0.734739042,0.321237123,0.320699699,,,,,,,,
8,0.223483234,0.223527095,0.359415686,0.357831757,0.666032251,0.663553956,0.279597862,0.279034108,,,,,,,,
9,0.091001655,0.091228539,0.752711347,0.486216736,0.752170136,0.588262163,0.310977676,0.290459594,,,,,,,,
10,0.14599104,0.14558657,0.528252768,0.545064452,0.232912309,0.239410351,0.190052711,0.192072867,,,,,,,,
11,0.680890922,0.679811116,0.568897788,0.575544394,0.241670073,0.244678678,0.569797448,0.573108258,,,,,,,,
12,0.45742156,0.456767886,0.33828086,0.338338823,0.643555654,0.644779342,0.399973116,0.399562291,,,,,,,,
13,0.343756908,0.343736994,0.57606374,0.577775579,0.416923069,0.418468833,0.646928659,0.648988379,,,,,,,,
14,0.627376012,0.627028167,0.310693699,0.311098525,0.307802902,0.308015762,0.677322967,0.679745463,,,,,,,,
15,0.421581131,0.420582749,0.43398951,0.437173651,0.300462682,0.302656499,0.531177268,0.534518739,,,,,,,,
16,0.557147867,0.554200462,0.092347784,0.092982189,0.535238808,0.541500532,0.606248017,0.625176597,,,,,,,,
17,0.538677266,0.537974475,0.116663197,0.11707893,0.823935511,0.828014954,0.097892498,0.098083468,,,,,,,,
18,0.781103385,0.780854079,0.586413181,0.586163148,0.463630229,0.464331878,0.398901208,0.398615168,,,,,,,,
19,0.51786787,0.51545255,0.544230329,0.560913805,0.245731151,0.251610725,0.274465703,0.278042135,,,,,,,,
20,0.524922042,0.524742957,0.518403611,0.518493315,0.663604459,0.663655645,0.288342639,0.288809718,,,,,,,,
21,0.523163445,0.522469323,0.780131984,0.78624264,0.320662766,0.322226829,0.388762955,0.389687044,,,,,,,,
22,0.669943699,0.668650527,0.83780142,0.84297481,0.302566959,0.303641043,0.379329308,0.379788733,,,,,,,,
23,0.809940091,0.809588289,0.62328865,0.625384756,0.259796763,0.261191709,0.428273032,0.429408604,,,,,,,,
24,0.663168377,0.662443879,0.394144302,0.394475683,0.309142758,0.30966577,0.300598272,0.300407936,,,,,,,,
25,0.143419661,0.143050625,0.350936797,0.365825334,0.367594805,0.380510401,0.422506422,0.428043598,,,,,,,,
26,0.320319027,0.320985306,0.742870321,0.741937822,0.5409007,0.540394756,0.770567267,0.770036788,,,,,,,,
27,0.888795689,0.888001806,0.713277703,0.7175694,0.211980665,0.213297664,0.065518331,0.065424005,,,,,,,,
28,0.843266112,0.842524414,0.888345,0.893718481,0.221391974,0.221347187,0.530159568,0.531995452,,,,,,,,
29,0.576616435,0.57382041,0.545624751,0.561384647,0.23131076,0.236261191,0.429973546,0.436331804,,,,,,,,
30,0.414794807,0.415625746,0.347655557,0.346953748,0.545018821,0.543509384,0.938496587,0.927016279,,,,,,,,
31,0.366700664,0.365665592,0.720717399,0.731506545,0.323149699,0.327129895,0.221654793,0.22309577,,,,,,,,
32,0.108498967,0.108827759,0.991926695,0.804484869,0.574057321,0.486326218,0.655481902,0.632679092,,,,,,,,
33,0.29919447,0.28983866,0.516147541,0.601337646,0.071871188,0.084291869,0.60868772,0.685768095,,,,,,,,
34,0.893179898,0.892001986,0.6798637,0.683765954,0.190807063,0.192436569,0.59483673,0.597888397,,,,,,,,
35,0.700285126,0.700165363,0.635493595,0.635771857,0.406469653,0.407585314,0.1275537,0.127593621,,,,,,,,
36,0.87387948,0.874046387,0.389233896,0.389390425,0.519916346,0.519775433,0.3595346,0.359583152,,,,,,,,
37,0.556425611,0.556995404,0.652762335,0.652742562,0.879213077,0.879990147,0.361234832,0.361752454,,,,,,,,
38,0.744861233,0.744876287,0.499861314,0.500444951,0.539456178,0.539384608,0.275768264,0.275486834,,,,,,,,
39,0.907709084,0.90750437,0.941486433,0.943815424,0.202403171,0.202643462,0.651004355,0.65338346,,,,,,,,
40,0.732912744,0.732881973,0.816759327,0.817042445,0.517726061,0.518740818,0.488625673,0.489772918,,,,,,,,
41,0.688793743,0.690088437,0.95796745,0.947095532,0.241756874,0.24030132,0.634482197,0.631975686,,,,,,,,
42,0.670831287,0.670930034,0.348294746,0.348472992,0.451921348,0.452537231,0.603014488,0.604732589,,,,,,,,
43,0.433889825,0.433788792,0.714517737,0.715733662,0.470600183,0.471031189,0.306323847,0.306711065,,,,,,,,
44,0.822466018,0.822210804,0.875515986,0.877223104,0.445108878,0.446024864,0.685308235,0.686398412,,,,,,,,
45,0.328233241,0.328247224,0.828433407,0.828936777,0.774783636,0.775046705,0.58397136,0.584350469,,,,,,,,
46,0.529093119,0.529781403,0.908336704,0.909090682,0.807121149,0.806872467,0.350719564,0.350944898,,,,,,,,
47,0.938283623,0.937959658,0.335210065,0.335684648,0.487086891,0.487919131,0.817221557,0.818739193,,,,,,,,
48,0.248276216,0.247983676,0.318067895,0.321745608,0.371246654,0.375927795,0.439578462,0.443534434,,,,,,,,
49,0.378341347,0.37789251,0.235504143,0.236210968,0.424133786,0.425365123,0.556780923,0.559670805,,,,,,,,
50,0.468714002,0.468857232,0.738423121,0.739560554,0.454401453,0.454338199,0.835709336,0.837959627,,,,,,,,
51,0.312311391,0.312371426,0.430634305,0.431689766,0.497709363,0.498941799,0.251448129,0.251363663,,,,,,,,
52,0.678759567,0.678223801,0.637233491,0.639960374,0.324137615,0.325079066,0.667602383,0.66883123,,,,,,,,
53,0.763220656,0.763121987,0.752892574,0.753134267,0.665322421,0.6658354,0.61091348,0.611259432,,,,,,,,
54,0.477599965,0.478334443,0.4654391,0.464823279,0.44908384,0.44816758,0.952321449,0.943042099,,,,,,,,
55,0.729510596,0.729611101,0.691525731,0.692586837,0.752139407,0.75165325,0.765570143,0.767182888,,,,,,,,
56,0.152685607,0.154695092,0.474870784,0.41316759,0.82765441,0.731615024,0.514962108,0.488229365,,,,,,,,
57,0.857249237,0.857535986,0.231077856,0.231300492,0.26359722,0.263804764,0.076951649,0.077055263,,,,,,,,
