,Simulated_α,Recovered_α,Simulated_ί_P,Recovered_ί_P,Simulated_ί_Pabs,Recovered_ί_Pabs,Simulated_ί_N,Recovered_ί_N,,,,,,,,
0,0.462851032,0.462459623,0.21479898,0.215706802,0.841938541,0.84527606,0.174721737,0.175321122,,0.999900163,,0.996540409,,0.959219797,,0.997816471
1,0.355631202,0.349779848,0.188761208,0.200955805,0.523905441,0.574433355,0.466525795,0.481985428,,,,,,,,
2,0.277979453,0.279560402,0.521320909,0.512117826,0.81542998,0.794837914,0.675204021,0.667401404,,,,,,,,
3,0.098815396,0.098217669,0.058126745,0.095762047,0.383745761,0.548156109,0.37614358,0.376840524,,,,,,,,
4,0.713896978,0.713898679,0.634835798,0.634746129,0.389476138,0.38965083,0.308506355,0.309290271,,,,,,,,
5,0.206472736,0.208590658,0.589600196,0.561119894,0.687531709,0.63925791,0.422339314,0.413598687,,,,,,,,
6,0.613308114,0.610058371,0.233650656,0.237584345,0.725586857,0.74605673,0.463427046,0.468680033,,,,,,,,
7,0.319073643,0.316857211,0.258080708,0.263464663,0.219002922,0.224981918,0.763793771,0.782996195,,,,,,,,
8,0.296395574,0.296401126,0.653863613,0.651402161,0.728714521,0.724789112,0.643508499,0.640996494,,,,,,,,
9,0.720760245,0.720784596,0.439264348,0.439602348,0.186731048,0.186883346,0.328189205,0.328514089,,,,,,,,
10,0.368754635,0.368025029,0.370754145,0.37242311,0.608900826,0.612307077,0.380082457,0.380372484,,,,,,,,
11,0.25445206,0.247151474,0.085176508,0.099535827,0.585064941,0.702048465,0.698513036,0.750823893,,,,,,,,
12,0.231494354,0.233452584,0.78312409,0.759206012,0.808161312,0.774240512,0.23728482,0.233358394,,,,,,,,
13,0.324048111,0.323680115,0.417796027,0.418203499,0.667206147,0.667436503,0.40893875,0.409202578,,,,,,,,
14,0.265770012,0.263129448,0.261434062,0.270475306,0.392856883,0.410685185,0.446229825,0.453268692,,,,,,,,
