,Simulated_α,Recovered_α,Simulated_ί_P,Recovered_ί_P,Simulated_ί_Pabs,Recovered_ί_Pabs,Simulated_ί_N,Recovered_ί_N,Simulated_ί_P2,Recovered_ί_P2,Simulated_ί_N2abs,Recovered_ί_N2abs
0,0.644543655,0.644091629,0.432173189,0.432036288,0.337832955,0.338383911,0.290022755,0.290795488,0.277076227,0.277821788,0.519367033,0.520833432
1,0.62122917,0.621199379,0.485197589,0.485224567,0.44952559,0.449346169,0.331806368,0.332437668,0.537013271,0.539351252,0.424189489,0.425396156
2,0.58869561,0.58915116,0.301716033,0.315235183,0.416519689,0.416270436,0.547169445,0.553277227,0.936482981,0.806740675,0.823689008,0.795442517
3,0.373298439,0.373134029,0.221241232,0.237406664,0.149461603,0.14937384,0.337319419,0.350533232,0.774259756,0.634925119,0.535144866,0.495988203
4,0.509654482,0.509341448,0.570257066,0.572178066,0.655673919,0.656954856,0.493017836,0.494029861,0.234713351,0.23541365,0.505685959,0.505610457
5,0.865228971,0.865421,0.476626379,0.476712684,0.202668318,0.20300671,0.259171198,0.259069608,0.258050798,0.259713462,0.748729394,0.753625101
6,0.254743023,0.254347407,0.398453361,0.402525886,0.437192574,0.438237568,0.513229571,0.519792254,0.653743895,0.637019062,0.440496619,0.437370373
7,0.236229898,0.236721144,0.432432849,0.426529761,0.085125961,0.085149371,0.485972323,0.47895087,0.239840675,0.247026255,0.78599167,0.809272861
8,0.786195189,0.786142212,0.724214956,0.723425065,0.278892339,0.279376659,0.316514741,0.316488072,0.698723887,0.703546073,0.579126351,0.581136827
9,0.324711248,0.324056924,0.288573826,0.3008511,0.684813739,0.687843568,0.325977808,0.334006752,0.795109474,0.707012715,0.307448705,0.297488744
10,0.340187003,0.339205663,0.400342397,0.410106307,0.443463803,0.446889727,0.033153277,0.035415542,0.427949554,0.536898888,0.401293797,0.090298266
11,0.371186056,0.372239751,0.606723506,0.603055339,0.67290422,0.668749193,0.788549534,0.777101307,0.471110312,0.472392681,0.936988772,0.940603788
12,0.54104493,0.540134041,0.244342687,0.247147444,0.175642268,0.176081938,0.498997201,0.503657858,0.449234681,0.442913501,0.608714651,0.604862812
13,0.164532353,0.164500217,0.21854254,0.218097528,0.656932984,0.658141703,0.20162129,0.199548242,0.532841072,0.4577186,0.353228399,0.487158209
14,0.865938766,0.864789017,0.393723846,0.393830988,0.135938045,0.136071048,0.777601871,0.783936864,0.714855364,0.718317335,0.447467022,0.447294199
15,0.631245844,0.631310234,0.583145987,0.58637581,0.585713639,0.587636384,0.801383704,0.804200488,0.865952397,0.858089199,0.249505304,0.249340943
16,0.572655517,0.564841552,0.0864386,0.09166878,0.74308024,0.812704678,0.260540405,0.27286678,0.070278046,0.062593539,0.467335581,0.458826508
17,0.260987468,0.260345742,0.582710962,0.58312868,0.163285423,0.163464658,0.505820022,0.507568898,0.336486326,0.335104818,0.845248242,0.837008704
18,0.505466221,0.50519906,0.443103732,0.443526492,0.480605458,0.48085637,0.337266658,0.338116301,0.663870066,0.664831713,0.315626487,0.315774702
19,0.581764419,0.581145686,0.353932475,0.354753398,0.207562708,0.207681949,0.256774173,0.25770668,0.496853332,0.492422708,0.753628834,0.747309787
20,0.803120776,0.802780406,0.520260967,0.520454032,0.20951093,0.210053737,0.527324152,0.527739517,0.392739111,0.393267008,0.162715113,0.162857717
21,0.597686438,0.585416733,0.063565784,0.083006813,0.410595371,0.425129524,0.449725884,0.517329291,0.430389426,0.251380267,0.783020175,0.679500792
22,0.729679756,0.729120934,0.778780336,0.777979744,0.509775299,0.510466167,0.443920438,0.44403683,0.251568066,0.250860908,0.828391895,0.834178531
23,0.409477652,0.408486679,0.458308464,0.457333759,0.421178558,0.42178393,0.661968342,0.662714237,0.458893469,0.459616525,0.863613414,0.86734266
24,0.418688105,0.417894854,0.689552218,0.692209513,0.216061797,0.216501412,0.637401632,0.640099999,0.776499763,0.773111039,0.904220054,0.900313265
25,0.342073607,0.341628366,0.486229228,0.497950486,0.460265311,0.462188177,0.160726983,0.165384831,0.525157822,0.507426376,0.791830958,0.706326824
26,0.479126678,0.479088896,0.603506242,0.603463433,0.512760022,0.514177716,0.666936867,0.667686211,0.218653804,0.218963759,0.483155725,0.484022291
27,0.826266545,0.8251946,0.197955999,0.198462873,0.200054543,0.200271064,0.500230476,0.502077992,0.224607049,0.225577011,0.483443426,0.482730147
28,0.554851619,0.553591983,0.378720771,0.379464738,0.741606985,0.74638837,0.504224968,0.508014927,0.005828282,0.005867787,0.349085833,0.348421419
29,0.66815339,0.669362847,0.522593565,0.519052215,0.452773858,0.453271994,0.919187982,0.913175785,0.602417046,0.607117093,0.65646954,0.659028075
30,0.066268162,0.066246524,0.428350371,0.461513845,0.277870521,0.314518885,0.195598297,0.274846867,0.319278558,0.466761833,0.636756369,0.507082269
31,0.798272797,0.797512965,0.421945769,0.421344046,0.797075846,0.799890005,0.828036637,0.831721723,0.356448006,0.358086938,0.35752498,0.357495484
32,0.481393269,0.48145088,0.599984462,0.600405226,0.527528144,0.528388969,0.667555667,0.667792859,0.175283796,0.175315997,0.218185661,0.217800928
33,0.440071784,0.43964839,0.473919704,0.47435828,0.557438112,0.559749729,0.509597534,0.512135163,0.577511033,0.578029188,0.810906856,0.811273178
34,0.20911623,0.21069552,0.850782787,0.807278087,0.366575715,0.361182705,0.723073518,0.671767325,0.473143176,0.500078017,0.811074605,0.902683716
35,0.764257677,0.763919667,0.806568108,0.806597057,0.39203528,0.391978619,0.84422693,0.848144222,0.627924222,0.630314819,0.614349059,0.615513846
36,0.617339743,0.617164141,0.689166462,0.689728019,0.369994541,0.3699433,0.508881589,0.509567227,0.404689762,0.406637539,0.144358305,0.144401207
37,0.798590948,0.800253556,0.976842233,0.966252047,0.504867789,0.50313351,0.958221989,0.944089697,0.871754085,0.886022404,0.565795868,0.563294099
38,0.545889158,0.544913264,0.340503568,0.339984756,0.772837301,0.775405689,0.480472122,0.48130981,0.55147478,0.554262346,0.130358304,0.130796577
39,0.269547684,0.268875452,0.197656783,0.203749719,0.741215315,0.745651116,0.380888167,0.389465637,0.481611586,0.429616367,0.438657163,0.479737636
40,0.846158401,0.84549596,0.829030621,0.829032919,0.836139722,0.839249329,0.597882402,0.600224517,0.630616734,0.6343415,0.235168746,0.234544725
41,0.202113061,0.20476108,0.377247318,0.343282287,0.295189476,0.288185937,0.767909383,0.678691569,0.183710654,0.241973178,0.217035861,0.179674909
42,0.646360441,0.645903463,0.742136067,0.743015383,0.352071209,0.352631375,0.764785461,0.766666739,0.553759259,0.555739801,0.740918467,0.744380997
43,0.544909925,0.543765992,0.621485188,0.619943521,0.201450566,0.201430669,0.764373687,0.765964549,0.691022276,0.696646401,0.738796188,0.741513068
44,0.244018464,0.24368458,0.35419048,0.353629938,0.617494056,0.618258954,0.458094467,0.458002193,0.433747556,0.437439015,0.792969234,0.790644662
45,0.50910358,0.507523636,0.12381578,0.131327987,0.619163342,0.626451746,0.365442289,0.378317142,0.227415526,0.203969174,0.659749169,0.627175389
46,0.759425441,0.758497398,0.320944718,0.321543018,0.259433031,0.259938232,0.566637091,0.569142682,0.563080442,0.560278533,0.680193074,0.678983766
47,0.616141306,0.616000675,0.541747509,0.540704571,0.382572017,0.383247643,0.232258682,0.232282195,0.660024352,0.663458274,0.215412376,0.215141393
