,mean,sd,hpd_3%,hpd_97%
αA_mean,0.325,0.033,0.263,0.383
αA_sd,0.232,0.026,0.189,0.285
αAB_mean,0.159,0.016,0.131,0.188
αAB_sd,0.104,0.011,0.086,0.124
αABC_mean,0.602,0.04,0.532,0.679
αABC_sd,0.298,0.03,0.239,0.351
αR_mean,0.478,0.039,0.397,0.542
αR_sd,0.28,0.029,0.229,0.334
αB_mean,0.233,0.035,0.168,0.297
αB_sd,0.239,0.023,0.199,0.284
αC_mean,0.732,0.033,0.675,0.792
αC_sd,0.218,0.023,0.173,0.259
αBC_mean,0.48,0.044,0.406,0.575
αBC_sd,0.303,0.031,0.244,0.361
αG_mean,0.587,0.042,0.516,0.673
αG_sd,0.282,0.03,0.23,0.338
αH_mean,0.615,0.034,0.554,0.681
αH_sd,0.233,0.024,0.191,0.276
αJ_mean,0.167,0.019,0.134,0.204
αJ_sd,0.129,0.013,0.106,0.156
αK_mean,0.677,0.039,0.613,0.758
αK_sd,0.266,0.027,0.222,0.323
αJK_mean,0.621,0.041,0.541,0.691
αJK_sd,0.295,0.03,0.239,0.351
αT_mean,0.459,0.038,0.384,0.526
αT_sd,0.266,0.027,0.216,0.316
αTJ_mean,0.163,0.021,0.125,0.203
αTJ_sd,0.149,0.016,0.118,0.176
αTJK_mean,0.638,0.035,0.576,0.705
αTJK_sd,0.252,0.025,0.2,0.296
αA[0],0.425,0.201,0.092,0.798
αA[1],0.472,0.196,0.139,0.818
αA[2],0.49,0.177,0.164,0.79
αA[3],0.354,0.222,0.018,0.753
αA[4],0.227,0.132,0.028,0.48
αA[5],0.477,0.175,0.189,0.81
αA[6],0.24,0.218,0.003,0.684
αA[7],0.37,0.147,0.124,0.642
αA[8],0.33,0.143,0.094,0.601
αA[9],0.487,0.175,0.185,0.806
αA[10],0.352,0.149,0.091,0.62
αA[11],0.101,0.076,0.011,0.243
αA[12],0.432,0.183,0.086,0.734
αA[13],0.086,0.063,0.007,0.197
αA[14],0.422,0.182,0.118,0.748
αA[15],0.469,0.164,0.169,0.753
αA[16],0.49,0.177,0.169,0.797
αA[17],0.2,0.103,0.044,0.398
αA[18],0.491,0.184,0.167,0.805
αA[19],0.044,0.042,0.002,0.121
αA[20],0.499,0.172,0.203,0.842
αA[21],0.444,0.177,0.121,0.748
αA[22],0.489,0.178,0.18,0.808
αA[23],0.388,0.151,0.103,0.648
αA[24],0.211,0.107,0.051,0.405
αA[25],0.499,0.176,0.186,0.811
αA[26],0.34,0.152,0.103,0.634
αA[27],0.5,0.179,0.181,0.816
αA[28],0.377,0.147,0.126,0.645
αA[29],0.042,0.043,0.001,0.117
αA[30],0.022,0.035,0.0,0.073
αA[31],0.115,0.065,0.018,0.233
αA[32],0.409,0.163,0.114,0.689
αA[33],0.045,0.048,0.002,0.116
αA[34],0.216,0.122,0.031,0.44
αA[35],0.19,0.137,0.019,0.451
αA[36],0.376,0.177,0.096,0.723
αA[37],0.271,0.144,0.032,0.523
αA[38],0.491,0.18,0.192,0.837
αA[39],0.026,0.033,0.001,0.081
αA[40],0.476,0.178,0.17,0.811
αA[41],0.513,0.174,0.198,0.826
αA[42],0.021,0.028,0.0,0.063
αA[43],0.392,0.159,0.117,0.697
αA[44],0.499,0.174,0.179,0.791
αA[45],0.167,0.104,0.022,0.365
αA[46],0.283,0.157,0.055,0.601
αA[47],0.441,0.176,0.119,0.753
αA[48],0.479,0.17,0.191,0.803
αA[49],0.487,0.17,0.196,0.81
αA[50],0.341,0.238,0.009,0.767
αA[51],0.094,0.054,0.018,0.189
αA[52],0.083,0.068,0.006,0.218
αA[53],0.307,0.15,0.059,0.568
αA[54],0.421,0.18,0.118,0.753
αA[55],0.473,0.179,0.159,0.784
αA[56],0.015,0.022,0.0,0.046
αA[57],0.497,0.171,0.176,0.807
αAB[0],0.106,0.04,0.042,0.179
αAB[1],0.192,0.061,0.092,0.311
αAB[2],0.149,0.048,0.07,0.241
αAB[3],0.395,0.08,0.241,0.543
αAB[4],0.095,0.034,0.044,0.158
αAB[5],0.128,0.04,0.061,0.203
αAB[6],0.206,0.057,0.102,0.312
αAB[7],0.167,0.054,0.071,0.262
αAB[8],0.152,0.047,0.073,0.239
αAB[9],0.15,0.049,0.065,0.24
αAB[10],0.305,0.08,0.154,0.447
αAB[11],0.29,0.081,0.132,0.431
αAB[12],0.036,0.025,0.004,0.077
αAB[13],0.07,0.03,0.024,0.125
αAB[14],0.363,0.074,0.232,0.509
αAB[15],0.269,0.073,0.132,0.403
αAB[16],0.103,0.044,0.036,0.19
αAB[17],0.109,0.041,0.04,0.183
αAB[18],0.255,0.063,0.139,0.368
αAB[19],0.1,0.05,0.028,0.194
αAB[20],0.137,0.042,0.067,0.218
αAB[21],0.136,0.044,0.057,0.218
αAB[22],0.077,0.041,0.016,0.151
αAB[23],0.143,0.043,0.072,0.228
αAB[24],0.095,0.038,0.031,0.163
αAB[25],0.2,0.068,0.082,0.323
αAB[26],0.056,0.047,0.004,0.145
αAB[27],0.152,0.044,0.072,0.236
αAB[28],0.202,0.066,0.097,0.32
αAB[29],0.134,0.067,0.035,0.256
αAB[30],0.227,0.075,0.099,0.368
αAB[31],0.186,0.091,0.048,0.347
αAB[32],0.196,0.06,0.092,0.314
αAB[33],0.11,0.055,0.031,0.215
αAB[34],0.271,0.081,0.119,0.407
αAB[35],0.171,0.067,0.068,0.296
αAB[36],0.075,0.042,0.012,0.148
αAB[37],0.06,0.032,0.014,0.121
αAB[38],0.153,0.047,0.081,0.255
αAB[39],0.072,0.058,0.008,0.176
αAB[40],0.081,0.056,0.009,0.182
αAB[41],0.126,0.045,0.05,0.203
αAB[42],0.279,0.07,0.164,0.414
αAB[43],0.101,0.036,0.036,0.164
αAB[44],0.23,0.073,0.097,0.36
αAB[45],0.1,0.033,0.044,0.161
αAB[46],0.137,0.043,0.068,0.215
αAB[47],0.071,0.03,0.025,0.129
αAB[48],0.13,0.039,0.065,0.202
αAB[49],0.147,0.045,0.067,0.227
αAB[50],0.283,0.091,0.136,0.458
αAB[51],0.06,0.024,0.019,0.103
αAB[52],0.197,0.069,0.091,0.334
αAB[53],0.066,0.025,0.027,0.111
αAB[54],0.109,0.037,0.049,0.178
αAB[55],0.352,0.083,0.206,0.513
αAB[56],0.063,0.023,0.025,0.104
αAB[57],0.135,0.041,0.065,0.208
αABC[0],0.792,0.161,0.499,0.989
αABC[1],0.799,0.155,0.514,0.993
αABC[2],0.784,0.163,0.481,0.993
αABC[3],0.058,0.011,0.037,0.079
αABC[4],0.75,0.157,0.442,0.975
αABC[5],0.799,0.158,0.474,0.993
αABC[6],0.088,0.02,0.055,0.126
αABC[7],0.752,0.156,0.475,0.983
αABC[8],0.808,0.148,0.545,0.992
αABC[9],0.779,0.164,0.489,0.995
αABC[10],0.288,0.138,0.07,0.552
αABC[11],0.022,0.022,0.001,0.061
αABC[12],0.505,0.191,0.139,0.827
αABC[13],0.691,0.178,0.373,0.966
αABC[14],0.739,0.188,0.364,0.988
αABC[15],0.753,0.164,0.442,0.975
αABC[16],0.782,0.157,0.487,0.992
αABC[17],0.695,0.188,0.343,0.964
αABC[18],0.678,0.174,0.356,0.949
αABC[19],0.515,0.239,0.089,0.9
αABC[20],0.721,0.163,0.424,0.974
αABC[21],0.769,0.162,0.471,0.993
αABC[22],0.109,0.034,0.05,0.171
αABC[23],0.648,0.159,0.353,0.92
αABC[24],0.731,0.171,0.397,0.982
αABC[25],0.794,0.157,0.491,0.986
αABC[26],0.631,0.208,0.241,0.944
αABC[27],0.78,0.158,0.492,0.992
αABC[28],0.809,0.148,0.513,0.983
αABC[29],0.45,0.246,0.04,0.861
αABC[30],0.193,0.071,0.076,0.328
αABC[31],0.293,0.181,0.037,0.647
αABC[32],0.705,0.187,0.362,0.99
αABC[33],0.48,0.245,0.069,0.898
αABC[34],0.769,0.16,0.478,0.989
αABC[35],0.619,0.197,0.247,0.913
αABC[36],0.253,0.095,0.086,0.427
αABC[37],0.573,0.193,0.241,0.923
αABC[38],0.795,0.153,0.489,0.987
αABC[39],0.528,0.251,0.108,0.932
αABC[40],0.508,0.23,0.089,0.897
αABC[41],0.779,0.166,0.447,0.99
αABC[42],0.189,0.092,0.042,0.354
αABC[43],0.707,0.181,0.354,0.974
αABC[44],0.791,0.159,0.485,0.994
αABC[45],0.807,0.157,0.501,0.989
αABC[46],0.83,0.144,0.566,0.994
αABC[47],0.775,0.16,0.461,0.983
αABC[48],0.742,0.165,0.425,0.975
αABC[49],0.796,0.156,0.47,0.99
αABC[50],0.183,0.076,0.064,0.325
αABC[51],0.67,0.202,0.302,0.983
αABC[52],0.098,0.093,0.002,0.271
αABC[53],0.681,0.169,0.359,0.958
αABC[54],0.756,0.175,0.414,0.987
αABC[55],0.531,0.262,0.086,0.954
αABC[56],0.627,0.192,0.286,0.951
αABC[57],0.768,0.169,0.437,0.991
αR[0],0.603,0.204,0.235,0.93
αR[1],0.576,0.198,0.243,0.927
αR[2],0.568,0.19,0.252,0.911
αR[3],0.516,0.23,0.123,0.919
αR[4],0.438,0.188,0.11,0.762
αR[5],0.572,0.197,0.225,0.908
αR[6],0.57,0.203,0.216,0.925
αR[7],0.569,0.188,0.231,0.901
αR[8],0.571,0.197,0.202,0.894
αR[9],0.596,0.194,0.268,0.931
αR[10],0.017,0.02,0.001,0.052
αR[11],0.032,0.015,0.008,0.059
αR[12],0.027,0.013,0.008,0.053
αR[13],0.547,0.208,0.189,0.905
αR[14],0.551,0.209,0.216,0.944
αR[15],0.605,0.192,0.25,0.915
αR[16],0.512,0.196,0.18,0.872
αR[17],0.565,0.203,0.2,0.906
αR[18],0.577,0.206,0.19,0.91
αR[19],0.038,0.016,0.013,0.065
αR[20],0.601,0.194,0.25,0.92
αR[21],0.573,0.201,0.219,0.925
αR[22],0.613,0.188,0.267,0.92
αR[23],0.595,0.2,0.227,0.915
αR[24],0.558,0.199,0.177,0.882
αR[25],0.561,0.202,0.191,0.9
αR[26],0.519,0.202,0.168,0.883
αR[27],0.597,0.202,0.24,0.934
αR[28],0.601,0.199,0.258,0.941
αR[29],0.218,0.194,0.002,0.61
αR[30],0.6,0.198,0.266,0.952
αR[31],0.601,0.197,0.249,0.937
αR[32],0.52,0.194,0.18,0.857
αR[33],0.013,0.012,0.001,0.032
αR[34],0.557,0.195,0.213,0.896
αR[35],0.469,0.234,0.096,0.901
αR[36],0.565,0.203,0.233,0.942
αR[37],0.504,0.185,0.164,0.821
αR[38],0.583,0.203,0.225,0.924
αR[39],0.056,0.02,0.021,0.094
αR[40],0.211,0.114,0.04,0.417
αR[41],0.596,0.205,0.25,0.958
αR[42],0.598,0.204,0.232,0.932
αR[43],0.55,0.217,0.174,0.932
αR[44],0.599,0.201,0.249,0.944
