,mean,sd,hpd_3%,hpd_97%
α_mean,0.553,0.053,0.451,0.651
α_sd,0.377,0.04,0.308,0.452
α[0],0.889,0.067,0.765,0.978
α[1],0.786,0.067,0.655,0.896
α[2],0.9,0.074,0.761,0.993
α[3],0.098,0.015,0.07,0.126
α[4],0.698,0.07,0.57,0.824
α[5],0.938,0.057,0.847,0.997
α[6],0.154,0.013,0.129,0.177
α[7],0.894,0.067,0.773,0.987
α[8],0.939,0.061,0.835,0.998
α[9],0.927,0.071,0.803,0.997
α[10],0.024,0.007,0.014,0.036
α[11],0.034,0.005,0.025,0.043
α[12],0.17,0.013,0.144,0.194
α[13],0.824,0.079,0.672,0.95
α[14],0.05,0.007,0.037,0.063
α[15],0.821,0.092,0.656,0.961
α[16],0.785,0.069,0.658,0.907
α[17],0.701,0.085,0.551,0.851
α[18],0.748,0.08,0.595,0.88
α[19],0.018,0.005,0.009,0.028
α[20],0.848,0.074,0.716,0.968
α[21],0.925,0.064,0.811,0.996
α[22],0.134,0.014,0.111,0.162
α[23],0.909,0.069,0.784,0.992
α[24],0.754,0.089,0.589,0.911
α[25],0.898,0.068,0.773,0.984
α[26],0.195,0.014,0.17,0.223
α[27],0.934,0.06,0.82,0.996
α[28],0.719,0.123,0.508,0.934
α[29],0.101,0.011,0.081,0.121
α[30],0.081,0.015,0.054,0.108
α[31],0.123,0.011,0.102,0.143
α[32],0.656,0.081,0.496,0.791
α[33],0.006,0.005,0.001,0.014
α[34],0.205,0.015,0.176,0.232
α[35],0.537,0.129,0.315,0.783
α[36],0.281,0.025,0.233,0.325
α[37],0.316,0.031,0.254,0.372
α[38],0.846,0.082,0.688,0.963
α[39],0.037,0.011,0.018,0.059
α[40],0.06,0.009,0.045,0.077
α[41],0.708,0.073,0.562,0.825
α[42],0.139,0.011,0.119,0.158
α[43],0.721,0.09,0.55,0.874
α[44],0.91,0.058,0.799,0.987
α[45],0.8,0.074,0.657,0.921
α[46],0.897,0.063,0.778,0.988
α[47],0.851,0.081,0.705,0.973
α[48],0.902,0.072,0.763,0.989
α[49],0.939,0.058,0.839,0.998
α[50],0.034,0.007,0.022,0.047
α[51],0.684,0.136,0.429,0.926
α[52],0.025,0.006,0.014,0.037
α[53],0.893,0.072,0.779,0.988
α[54],0.75,0.088,0.591,0.899
α[55],0.185,0.011,0.167,0.208
α[56],0.509,0.069,0.375,0.623
α[57],0.942,0.056,0.844,0.998
