,mean,sd,hpd_3%,hpd_97%
αA_mean,0.331,0.036,0.265,0.398
αA_sd,0.239,0.025,0.195,0.286
αAB_mean,0.416,0.034,0.342,0.474
αAB_sd,0.243,0.026,0.198,0.293
αABC_mean,0.424,0.048,0.333,0.514
αABC_sd,0.339,0.035,0.272,0.401
αR_mean,0.486,0.04,0.407,0.554
αR_sd,0.285,0.03,0.224,0.338
αB_mean,0.559,0.04,0.48,0.629
αB_sd,0.288,0.029,0.235,0.342
αC_mean,0.535,0.046,0.454,0.627
αC_sd,0.331,0.035,0.269,0.396
αBC_mean,0.428,0.038,0.357,0.498
αBC_sd,0.272,0.028,0.225,0.325
αG_mean,0.539,0.038,0.463,0.605
αG_sd,0.271,0.028,0.225,0.328
αH_mean,0.525,0.039,0.447,0.594
αH_sd,0.278,0.027,0.23,0.33
αJ_mean,0.56,0.04,0.483,0.632
αJ_sd,0.279,0.028,0.233,0.335
αK_mean,0.518,0.041,0.439,0.594
αK_sd,0.3,0.03,0.249,0.357
αJK_mean,0.54,0.038,0.472,0.611
αJK_sd,0.265,0.027,0.218,0.317
αT_mean,0.462,0.037,0.4,0.541
αT_sd,0.27,0.029,0.217,0.322
αTJ_mean,0.539,0.026,0.493,0.591
αTJ_sd,0.189,0.019,0.153,0.225
αTJK_mean,0.377,0.052,0.28,0.471
αTJK_sd,0.353,0.038,0.279,0.416
αA[0],0.448,0.198,0.112,0.817
αA[1],0.487,0.196,0.146,0.831
αA[2],0.512,0.172,0.179,0.805
αA[3],0.355,0.216,0.032,0.751
αA[4],0.2,0.108,0.035,0.39
αA[5],0.497,0.175,0.177,0.806
αA[6],0.214,0.203,0.001,0.62
αA[7],0.377,0.139,0.132,0.639
αA[8],0.319,0.129,0.088,0.55
αA[9],0.522,0.175,0.226,0.852
αA[10],0.346,0.145,0.105,0.621
αA[11],0.084,0.058,0.009,0.183
αA[12],0.473,0.183,0.153,0.803
αA[13],0.077,0.051,0.007,0.164
αA[14],0.446,0.188,0.151,0.826
αA[15],0.494,0.17,0.193,0.796
αA[16],0.525,0.184,0.217,0.877
αA[17],0.183,0.094,0.036,0.357
αA[18],0.511,0.181,0.205,0.841
αA[19],0.041,0.041,0.002,0.116
αA[20],0.52,0.177,0.225,0.858
αA[21],0.463,0.18,0.148,0.793
αA[22],0.514,0.175,0.207,0.838
αA[23],0.384,0.141,0.117,0.627
αA[24],0.2,0.095,0.051,0.377
αA[25],0.514,0.176,0.197,0.831
αA[26],0.323,0.144,0.071,0.584
αA[27],0.513,0.168,0.197,0.8
αA[28],0.382,0.142,0.131,0.639
αA[29],0.039,0.042,0.002,0.107
αA[30],0.017,0.024,0.0,0.055
αA[31],0.105,0.055,0.023,0.208
αA[32],0.408,0.153,0.124,0.682
αA[33],0.036,0.032,0.001,0.093
αA[34],0.195,0.098,0.057,0.385
αA[35],0.165,0.109,0.016,0.375
αA[36],0.364,0.18,0.058,0.676
αA[37],0.252,0.13,0.043,0.478
αA[38],0.527,0.171,0.22,0.83
αA[39],0.022,0.03,0.0,0.067
αA[40],0.494,0.182,0.142,0.796
αA[41],0.52,0.172,0.218,0.826
αA[42],0.019,0.025,0.001,0.057
αA[43],0.404,0.16,0.123,0.699
αA[44],0.531,0.175,0.205,0.833
αA[45],0.15,0.083,0.027,0.302
αA[46],0.279,0.145,0.055,0.539
αA[47],0.454,0.169,0.18,0.779
αA[48],0.484,0.167,0.166,0.788
αA[49],0.507,0.178,0.201,0.837
αA[50],0.335,0.246,0.004,0.798
αA[51],0.084,0.044,0.023,0.17
αA[52],0.064,0.047,0.006,0.153
αA[53],0.286,0.132,0.062,0.514
αA[54],0.421,0.174,0.126,0.744
αA[55],0.501,0.171,0.205,0.809
αA[56],0.012,0.018,0.0,0.035
αA[57],0.516,0.169,0.219,0.831
αAB[0],0.404,0.14,0.168,0.679
αAB[1],0.622,0.139,0.358,0.856
αAB[2],0.633,0.143,0.375,0.878
αAB[3],0.57,0.143,0.29,0.82
αAB[4],0.262,0.072,0.139,0.409
αAB[5],0.622,0.135,0.366,0.853
αAB[6],0.187,0.051,0.105,0.296
αAB[7],0.621,0.136,0.368,0.858
αAB[8],0.734,0.149,0.44,0.946
αAB[9],0.581,0.146,0.28,0.815
αAB[10],0.449,0.171,0.13,0.74
αAB[11],0.501,0.162,0.222,0.807
αAB[12],0.072,0.032,0.023,0.122
αAB[13],0.444,0.128,0.214,0.673
αAB[14],0.427,0.141,0.187,0.689
αAB[15],0.689,0.146,0.417,0.926
αAB[16],0.483,0.115,0.283,0.691
αAB[17],0.485,0.134,0.231,0.714
αAB[18],0.565,0.151,0.304,0.842
αAB[19],0.101,0.044,0.032,0.182
αAB[20],0.628,0.13,0.397,0.872
αAB[21],0.548,0.137,0.271,0.779
αAB[22],0.564,0.147,0.313,0.845
αAB[23],0.631,0.138,0.352,0.858
αAB[24],0.656,0.153,0.388,0.929
αAB[25],0.15,0.051,0.065,0.238
αAB[26],0.106,0.044,0.044,0.192
αAB[27],0.619,0.14,0.355,0.851
αAB[28],0.431,0.137,0.171,0.677
αAB[29],0.16,0.066,0.053,0.282
αAB[30],0.491,0.14,0.233,0.741
αAB[31],0.04,0.037,0.002,0.105
αAB[32],0.307,0.084,0.154,0.465
αAB[33],0.142,0.054,0.057,0.244
αAB[34],0.122,0.046,0.048,0.208
αAB[35],0.388,0.128,0.168,0.635
αAB[36],0.172,0.057,0.081,0.285
αAB[37],0.073,0.034,0.019,0.135
αAB[38],0.539,0.131,0.26,0.746
αAB[39],0.123,0.049,0.047,0.211
αAB[40],0.174,0.052,0.091,0.277
αAB[41],0.442,0.123,0.214,0.675
αAB[42],0.157,0.047,0.075,0.242
αAB[43],0.504,0.151,0.229,0.776
αAB[44],0.628,0.175,0.294,0.902
αAB[45],0.476,0.146,0.195,0.725
αAB[46],0.644,0.137,0.399,0.888
αAB[47],0.606,0.157,0.318,0.874
αAB[48],0.594,0.137,0.336,0.84
αAB[49],0.621,0.134,0.38,0.847
αAB[50],0.616,0.164,0.332,0.911
αAB[51],0.437,0.125,0.209,0.656
αAB[52],0.274,0.106,0.1,0.48
αAB[53],0.393,0.1,0.207,0.582
αAB[54],0.324,0.075,0.192,0.468
αAB[55],0.097,0.039,0.035,0.167
αAB[56],0.247,0.074,0.123,0.386
αAB[57],0.617,0.139,0.368,0.859
αABC[0],0.765,0.148,0.483,0.979
αABC[1],0.772,0.155,0.471,0.976
αABC[2],0.709,0.163,0.389,0.952
αABC[3],0.025,0.007,0.012,0.039
αABC[4],0.568,0.127,0.306,0.777
αABC[5],0.768,0.161,0.467,0.976
αABC[6],0.037,0.008,0.023,0.049
αABC[7],0.64,0.142,0.387,0.887
αABC[8],0.785,0.151,0.505,0.985
αABC[9],0.748,0.164,0.426,0.981
αABC[10],0.065,0.015,0.039,0.095
αABC[11],0.012,0.008,0.002,0.026
αABC[12],0.043,0.008,0.029,0.056
αABC[13],0.416,0.14,0.175,0.668
αABC[14],0.29,0.321,0.0,0.92
αABC[15],0.731,0.154,0.434,0.941
αABC[16],0.665,0.164,0.377,0.955
αABC[17],0.463,0.145,0.202,0.727
αABC[18],0.567,0.135,0.304,0.802
αABC[19],0.074,0.019,0.04,0.11
αABC[20],0.533,0.139,0.233,0.754
αABC[21],0.708,0.159,0.422,0.969
αABC[22],0.051,0.009,0.034,0.067
αABC[23],0.42,0.092,0.259,0.596
αABC[24],0.53,0.169,0.223,0.826
αABC[25],0.799,0.146,0.52,0.992
αABC[26],0.21,0.105,0.049,0.413
αABC[27],0.734,0.148,0.455,0.964
αABC[28],0.76,0.163,0.448,0.975
αABC[29],0.053,0.013,0.03,0.078
αABC[30],0.07,0.012,0.048,0.091
αABC[31],0.013,0.009,0.001,0.029
αABC[32],0.485,0.198,0.143,0.837
αABC[33],0.047,0.013,0.025,0.072
αABC[34],0.459,0.305,0.014,0.949
αABC[35],0.42,0.177,0.124,0.764
αABC[36],0.084,0.013,0.06,0.11
αABC[37],0.105,0.026,0.058,0.154
αABC[38],0.72,0.153,0.438,0.958
αABC[39],0.016,0.012,0.002,0.036
αABC[40],0.059,0.015,0.034,0.089
αABC[41],0.743,0.144,0.465,0.951
αABC[42],0.023,0.01,0.007,0.041
αABC[43],0.496,0.152,0.229,0.782
αABC[44],0.756,0.157,0.448,0.99
αABC[45],0.776,0.158,0.476,0.986
αABC[46],0.825,0.136,0.556,0.994
αABC[47],0.724,0.159,0.441,0.971
αABC[48],0.595,0.163,0.303,0.87
αABC[49],0.75,0.165,0.423,0.981
αABC[50],0.07,0.017,0.04,0.102
αABC[51],0.421,0.245,0.041,0.854
αABC[52],0.036,0.011,0.018,0.056
αABC[53],0.41,0.173,0.097,0.718
αABC[54],0.681,0.2,0.314,0.981
αABC[55],0.023,0.007,0.012,0.036
αABC[56],0.167,0.032,0.112,0.226
αABC[57],0.626,0.192,0.302,0.964
