,mean,sd,hpd_3%,hpd_97%
α_mean,0.005,0.001,0.002,0.008
α_sd,0.006,0.001,0.005,0.007
α[0],0.001,0.002,0.0,0.004
α[1],0.004,0.002,0.001,0.008
α[2],0.001,0.001,0.0,0.004
α[3],0.019,0.003,0.013,0.024
α[4],0.002,0.002,0.0,0.005
α[5],0.001,0.002,0.0,0.004
α[6],0.014,0.003,0.009,0.019
α[7],0.001,0.001,0.0,0.003
α[8],0.001,0.001,0.0,0.003
α[9],0.001,0.001,0.0,0.004
α[10],0.009,0.002,0.005,0.014
α[11],0.021,0.003,0.014,0.026
α[12],0.006,0.002,0.003,0.01
α[13],0.001,0.001,0.0,0.004
α[14],0.019,0.003,0.013,0.025
α[15],0.002,0.002,0.0,0.005
α[16],0.004,0.002,0.001,0.007
α[17],0.002,0.002,0.0,0.004
α[18],0.004,0.002,0.001,0.007
α[19],0.007,0.002,0.003,0.01
α[20],0.002,0.002,0.0,0.005
α[21],0.001,0.001,0.0,0.004
α[22],0.014,0.003,0.009,0.02
α[23],0.001,0.001,0.0,0.003
α[24],0.002,0.002,0.0,0.004
α[25],0.004,0.002,0.001,0.007
α[26],0.006,0.002,0.003,0.01
α[27],0.001,0.001,0.0,0.004
α[28],0.002,0.002,0.0,0.005
α[29],0.006,0.002,0.003,0.01
α[30],0.009,0.002,0.005,0.013
α[31],0.01,0.002,0.005,0.014
α[32],0.001,0.001,0.0,0.004
α[33],0.003,0.002,0.001,0.006
α[34],0.006,0.002,0.002,0.009
α[35],0.004,0.002,0.001,0.007
α[36],0.01,0.003,0.005,0.014
α[37],0.003,0.002,0.001,0.006
α[38],0.001,0.002,0.0,0.003
α[39],0.004,0.002,0.001,0.007
α[40],0.014,0.003,0.01,0.02
α[41],0.001,0.001,0.0,0.003
α[42],0.007,0.002,0.003,0.011
α[43],0.001,0.002,0.0,0.004
α[44],0.002,0.002,0.0,0.005
α[45],0.001,0.001,0.0,0.003
α[46],0.001,0.001,0.0,0.003
α[47],0.003,0.002,0.001,0.007
α[48],0.002,0.002,0.0,0.005
α[49],0.001,0.001,0.0,0.003
α[50],0.012,0.003,0.008,0.017
α[51],0.008,0.002,0.004,0.012
α[52],0.009,0.002,0.005,0.014
α[53],0.003,0.002,0.001,0.007
α[54],0.001,0.001,0.0,0.003
α[55],0.006,0.002,0.003,0.01
α[56],0.001,0.001,0.0,0.003
α[57],0.001,0.001,0.0,0.004
