R2,Median
-0.008612972,-0.005551781
0.002929153,
-0.00693607,
0.115583568,
-0.01298762,
-0.007352136,
0.069221487,
-0.009802361,
-0.006581335,
-0.007022124,
-0.069961063,
-0.005541802,
0.018461148,
-0.015441739,
0.124660346,
-0.006830107,
0.001339561,
-0.008288401,
-0.001116818,
0.009117787,
-0.010429131,
-0.006809404,
0.085591768,
-0.007280853,
-0.006687119,
0.002325322,
0.013351564,
-0.006775732,
-0.00556176,
0.006495194,
0.028590827,
0.029546944,
-0.010345456,
-0.067351514,
0.008958414,
0.002762741,
0.039881891,
-0.00467037,
-0.009659668,
0.00584171,
0.011198116,
-0.005934438,
0.030752494,
-0.008691461,
-0.004776267,
-0.012188323,
-0.010218808,
4.74E-05,
-0.00524076,
-0.008961785,
0.041736781,
0.031930573,
-0.060139556,
-0.001527303,
-0.013530494,
0.014067865,
-0.01099671,
-0.006035095,
