,mean,sd,hpd_3%,hpd_97%
α_mean,0.336,0.037,0.269,0.403
α_sd,0.291,0.029,0.234,0.342
α[0],0.051,0.009,0.036,0.068
α[1],0.239,0.025,0.195,0.287
α[2],0.001,0.001,0.0,0.002
α[3],0.731,0.153,0.457,0.973
α[4],0.122,0.018,0.086,0.152
α[5],0.026,0.006,0.016,0.037
α[6],0.016,0.004,0.009,0.025
α[7],0.657,0.111,0.457,0.849
α[8],0.293,0.046,0.201,0.372
α[9],0.23,0.037,0.161,0.299
α[10],0.068,0.01,0.051,0.089
α[11],0.22,0.02,0.182,0.257
α[12],0.14,0.018,0.11,0.175
α[13],0.391,0.054,0.29,0.485
α[14],0.722,0.111,0.497,0.904
α[15],0.821,0.096,0.639,0.965
α[16],0.175,0.019,0.138,0.207
α[17],0.003,0.003,0.0,0.007
α[18],0.105,0.015,0.078,0.131
α[19],0.001,0.001,0.0,0.002
α[20],0.38,0.044,0.304,0.47
α[21],0.034,0.006,0.024,0.045
α[22],0.74,0.103,0.547,0.918
α[23],0.588,0.143,0.335,0.844
α[24],0.519,0.105,0.314,0.697
α[25],0.288,0.043,0.211,0.372
α[26],0.415,0.267,0.01,0.867
α[27],0.005,0.003,0.001,0.011
α[28],0.03,0.005,0.02,0.039
α[29],0.053,0.008,0.039,0.069
α[30],0.811,0.107,0.597,0.959
α[31],0.314,0.048,0.229,0.405
α[32],0.017,0.004,0.012,0.025
α[33],0.248,0.027,0.205,0.307
α[34],0.0,0.001,0.0,0.001
α[35],0.494,0.076,0.361,0.641
α[36],0.298,0.033,0.241,0.362
α[37],0.45,0.08,0.304,0.596
α[38],0.745,0.135,0.483,0.942
α[39],0.442,0.053,0.348,0.541
α[40],0.323,0.046,0.229,0.399
α[41],0.408,0.089,0.25,0.583
α[42],0.038,0.005,0.028,0.049
α[43],0.647,0.116,0.442,0.864
α[44],0.111,0.012,0.089,0.134
α[45],0.011,0.004,0.005,0.018
α[46],0.631,0.14,0.344,0.845
α[47],0.54,0.096,0.374,0.724
α[48],0.325,0.043,0.249,0.412
α[49],0.056,0.009,0.04,0.072
α[50],0.008,0.003,0.003,0.013
α[51],0.765,0.095,0.59,0.915
α[52],0.686,0.112,0.488,0.882
α[53],0.35,0.074,0.22,0.482
α[54],0.686,0.1,0.503,0.864
α[55],0.013,0.005,0.005,0.021
α[56],0.681,0.103,0.476,0.847
α[57],0.64,0.15,0.37,0.898
α[58],0.021,0.005,0.012,0.031
α[59],0.433,0.065,0.309,0.552
α[60],0.662,0.08,0.514,0.8
α[61],0.143,0.016,0.116,0.176
α[62],0.23,0.023,0.188,0.274
α[63],0.13,0.017,0.099,0.16
α[64],0.755,0.116,0.546,0.945
α[65],0.646,0.124,0.396,0.841
α[66],0.62,0.079,0.477,0.763
