R2,Median
0.237003082,0.512436993
0.489609595,
-0.385049464,
0.622223456,
0.387960245,
0.395622914,
0.074104415,
0.655408131,
0.570451865,
0.535829412,
0.371735799,
0.666874769,
0.415316877,
0.495311529,
0.530109333,
0.414027975,
0.541434573,
-0.058412199,
0.50367352,
0.283236719,
0.690469643,
0.101091266,
0.64347323,
0.525800431,
0.542685669,
0.55586666,
0.51653303,
0.238074736,
-1.039654713,
0.304565582,
0.655915021,
0.602842737,
0.00152207,
0.485356617,
-0.234438103,
0.621880531,
0.602509648,
0.428546024,
0.625265062,
0.512436993,
0.585965858,
0.434483983,
0.061331734,
0.644121293,
0.383936784,
0.300969677,
0.666698794,
0.606099313,
0.3760551,
0.130636178,
-0.005453187,
0.504120192,
0.637897353,
0.522572049,
0.674955621,
0.219852997,
0.68177488,
0.633523875,
0.116372528,
0.612540364,
0.609333073,
0.482046276,
0.538050071,
0.424355302,
0.656947624,
0.620273632,
0.61540357,
