,mean,sd,hpd_3%,hpd_97%
αD_mean,0.258,0.03,0.201,0.311
αD_sd,0.227,0.022,0.187,0.268
αDE_mean,0.388,0.037,0.319,0.457
αDE_sd,0.282,0.027,0.232,0.333
αDEF_mean,0.522,0.04,0.444,0.594
αDEF_sd,0.302,0.03,0.244,0.355
αS_mean,0.364,0.039,0.288,0.434
αS_sd,0.308,0.031,0.251,0.361
αE_mean,0.361,0.036,0.291,0.426
αE_sd,0.265,0.026,0.215,0.309
αF_mean,0.294,0.033,0.231,0.351
αF_sd,0.252,0.025,0.207,0.295
αEF_mean,0.255,0.032,0.195,0.311
αEF_sd,0.245,0.024,0.204,0.291
αG_mean,0.524,0.035,0.465,0.594
αG_sd,0.271,0.025,0.229,0.325
αH_mean,0.443,0.039,0.365,0.512
αH_sd,0.299,0.029,0.248,0.356
αM_mean,0.334,0.037,0.262,0.401
αM_sd,0.284,0.029,0.233,0.341
αN_mean,0.344,0.037,0.27,0.412
αN_sd,0.278,0.026,0.23,0.324
αMN_mean,0.296,0.039,0.229,0.368
αMN_sd,0.289,0.028,0.232,0.335
αU_mean,0.39,0.039,0.314,0.463
αU_sd,0.301,0.028,0.252,0.354
αUM_mean,0.462,0.037,0.391,0.53
αUM_sd,0.283,0.027,0.236,0.334
αUMN_mean,0.55,0.042,0.47,0.625
αUMN_sd,0.325,0.03,0.269,0.383
αD[0],0.032,0.033,0.001,0.082
αD[1],0.258,0.144,0.033,0.533
αD[2],0.081,0.059,0.011,0.187
αD[3],0.304,0.123,0.097,0.534
αD[4],0.345,0.137,0.105,0.588
αD[5],0.041,0.044,0.002,0.11
αD[6],0.029,0.028,0.001,0.081
αD[7],0.461,0.165,0.188,0.784
αD[8],0.189,0.091,0.05,0.354
αD[9],0.097,0.054,0.021,0.204
αD[10],0.008,0.011,0.0,0.025
αD[11],0.42,0.149,0.156,0.695
αD[12],0.246,0.096,0.097,0.446
αD[13],0.064,0.042,0.011,0.139
αD[14],0.283,0.138,0.051,0.525
αD[15],0.172,0.069,0.056,0.3
αD[16],0.174,0.091,0.045,0.356
αD[17],0.033,0.038,0.001,0.098
αD[18],0.455,0.166,0.154,0.756
αD[19],0.043,0.036,0.004,0.106
αD[20],0.441,0.145,0.182,0.71
αD[21],0.01,0.014,0.0,0.029
αD[22],0.4,0.138,0.166,0.661
αD[23],0.499,0.163,0.204,0.794
αD[24],0.058,0.047,0.003,0.15
αD[25],0.055,0.04,0.007,0.131
αD[26],0.416,0.177,0.109,0.736
αD[27],0.103,0.06,0.02,0.213
αD[28],0.007,0.009,0.0,0.024
αD[29],0.017,0.026,0.0,0.056
αD[30],0.486,0.161,0.197,0.784
αD[31],0.376,0.16,0.088,0.654
αD[32],0.009,0.014,0.0,0.026
αD[33],0.345,0.123,0.139,0.571
αD[34],0.144,0.068,0.04,0.274
αD[35],0.487,0.157,0.208,0.769
αD[36],0.354,0.124,0.131,0.58
αD[37],0.067,0.045,0.01,0.145
αD[38],0.488,0.155,0.175,0.762
αD[39],0.133,0.072,0.033,0.284
αD[40],0.063,0.037,0.012,0.131
αD[41],0.351,0.126,0.133,0.596
αD[42],0.005,0.008,0.0,0.016
αD[43],0.477,0.161,0.178,0.761
αD[44],0.387,0.142,0.133,0.641
αD[45],0.368,0.18,0.086,0.71
αD[46],0.497,0.156,0.202,0.775
αD[47],0.497,0.162,0.213,0.789
αD[48],0.471,0.16,0.191,0.758
αD[49],0.009,0.013,0.0,0.028
αD[50],0.026,0.032,0.001,0.08
αD[51],0.49,0.162,0.213,0.794
αD[52],0.456,0.153,0.199,0.74
αD[53],0.369,0.177,0.058,0.671
αD[54],0.484,0.163,0.208,0.807
αD[55],0.3,0.106,0.123,0.497
αD[56],0.501,0.164,0.188,0.788
αD[57],0.427,0.144,0.162,0.694
αD[58],0.028,0.034,0.001,0.082
αD[59],0.345,0.146,0.095,0.621
αD[60],0.349,0.127,0.139,0.577
αD[61],0.368,0.151,0.087,0.638
αD[62],0.493,0.165,0.183,0.779
αD[63],0.029,0.035,0.002,0.078
αD[64],0.5,0.162,0.205,0.801
αD[65],0.491,0.157,0.173,0.741
αD[66],0.065,0.041,0.008,0.139
αDE[0],0.31,0.09,0.163,0.484
αDE[1],0.715,0.15,0.416,0.938
αDE[2],0.457,0.179,0.122,0.756
αDE[3],0.688,0.139,0.42,0.904
αDE[4],0.411,0.112,0.204,0.621
αDE[5],0.314,0.182,0.039,0.655
αDE[6],0.58,0.193,0.258,0.918
αDE[7],0.707,0.149,0.429,0.94
αDE[8],0.244,0.066,0.13,0.369
αDE[9],0.277,0.09,0.118,0.449
αDE[10],0.092,0.035,0.038,0.161
αDE[11],0.176,0.045,0.097,0.261
αDE[12],0.051,0.028,0.013,0.106
αDE[13],0.241,0.118,0.054,0.467
αDE[14],0.817,0.135,0.572,0.989
αDE[15],0.086,0.031,0.037,0.143
αDE[16],0.164,0.038,0.093,0.229
αDE[17],0.159,0.053,0.069,0.257
αDE[18],0.242,0.115,0.047,0.448
αDE[19],0.101,0.034,0.045,0.162
αDE[20],0.767,0.138,0.51,0.969
αDE[21],0.024,0.026,0.0,0.073
αDE[22],0.767,0.138,0.502,0.972
αDE[23],0.694,0.167,0.37,0.942
αDE[24],0.387,0.181,0.109,0.734
αDE[25],0.286,0.101,0.108,0.459
αDE[26],0.574,0.184,0.237,0.886
αDE[27],0.148,0.05,0.06,0.234
αDE[28],0.035,0.03,0.002,0.086
αDE[29],0.03,0.027,0.002,0.081
αDE[30],0.706,0.144,0.414,0.919
αDE[31],0.226,0.061,0.111,0.339
αDE[32],0.043,0.032,0.005,0.103
αDE[33],0.527,0.143,0.259,0.778
αDE[34],0.268,0.102,0.091,0.456
αDE[35],0.658,0.185,0.296,0.935
αDE[36],0.508,0.095,0.344,0.69
αDE[37],0.421,0.159,0.158,0.727
αDE[38],0.691,0.132,0.454,0.93
αDE[39],0.285,0.126,0.073,0.515
αDE[40],0.2,0.054,0.114,0.304
αDE[41],0.733,0.147,0.449,0.944
αDE[42],0.042,0.025,0.007,0.087
αDE[43],0.664,0.133,0.416,0.895
αDE[44],0.172,0.053,0.072,0.269
αDE[45],0.096,0.043,0.026,0.174
αDE[46],0.626,0.141,0.361,0.863
αDE[47],0.466,0.114,0.255,0.677
αDE[48],0.716,0.149,0.441,0.95
αDE[49],0.047,0.031,0.007,0.099
αDE[50],0.163,0.068,0.06,0.288
αDE[51],0.328,0.135,0.099,0.585
αDE[52],0.697,0.148,0.422,0.926
αDE[53],0.338,0.139,0.089,0.584
αDE[54],0.735,0.155,0.437,0.972
αDE[55],0.265,0.069,0.146,0.393
αDE[56],0.696,0.131,0.438,0.907
αDE[57],0.614,0.143,0.367,0.887
αDE[58],0.12,0.038,0.059,0.193
