,mean,sd,hpd_3%,hpd_97%
αD_mean,0.296,0.033,0.231,0.354
αD_sd,0.24,0.022,0.196,0.28
αDE_mean,0.521,0.04,0.457,0.603
αDE_sd,0.296,0.028,0.245,0.349
αDEF_mean,0.52,0.044,0.439,0.601
αDEF_sd,0.33,0.032,0.27,0.391
αS_mean,0.383,0.041,0.304,0.457
αS_sd,0.303,0.029,0.25,0.359
αE_mean,0.373,0.034,0.312,0.436
αE_sd,0.268,0.025,0.222,0.315
αF_mean,0.367,0.044,0.286,0.452
αF_sd,0.325,0.032,0.266,0.381
αEF_mean,0.426,0.04,0.354,0.503
αEF_sd,0.315,0.029,0.263,0.368
αG_mean,0.576,0.037,0.507,0.65
αG_sd,0.28,0.027,0.231,0.33
αH_mean,0.544,0.038,0.472,0.616
αH_sd,0.287,0.027,0.239,0.337
αM_mean,0.343,0.038,0.266,0.41
αM_sd,0.296,0.028,0.242,0.345
αN_mean,0.416,0.045,0.337,0.5
αN_sd,0.347,0.033,0.289,0.416
αMN_mean,0.483,0.044,0.401,0.565
αMN_sd,0.326,0.031,0.268,0.384
αU_mean,0.398,0.04,0.326,0.475
αU_sd,0.298,0.029,0.246,0.351
αUM_mean,0.59,0.036,0.521,0.654
αUM_sd,0.277,0.026,0.231,0.326
αUMN_mean,0.571,0.043,0.485,0.643
αUMN_sd,0.327,0.031,0.271,0.385
αD[0],0.035,0.035,0.001,0.098
αD[1],0.282,0.167,0.042,0.61
αD[2],0.209,0.158,0.011,0.518
αD[3],0.32,0.135,0.088,0.567
αD[4],0.43,0.166,0.127,0.733
αD[5],0.041,0.039,0.002,0.111
αD[6],0.043,0.051,0.001,0.127
αD[7],0.465,0.167,0.185,0.789
αD[8],0.2,0.102,0.04,0.396
αD[9],0.105,0.066,0.016,0.223
αD[10],0.009,0.016,0.0,0.028
αD[11],0.453,0.161,0.161,0.732
αD[12],0.269,0.112,0.079,0.465
αD[13],0.073,0.047,0.012,0.164
αD[14],0.316,0.158,0.061,0.598
αD[15],0.217,0.095,0.066,0.403
αD[16],0.194,0.098,0.046,0.384
αD[17],0.234,0.206,0.004,0.644
αD[18],0.49,0.185,0.159,0.825
αD[19],0.109,0.097,0.005,0.279
αD[20],0.454,0.158,0.175,0.733
αD[21],0.011,0.017,0.0,0.032
αD[22],0.427,0.145,0.167,0.696
αD[23],0.509,0.162,0.202,0.785
αD[24],0.059,0.048,0.003,0.147
αD[25],0.063,0.045,0.007,0.141
αD[26],0.445,0.186,0.144,0.816
αD[27],0.287,0.176,0.045,0.641
αD[28],0.015,0.022,0.0,0.053
αD[29],0.018,0.024,0.0,0.059
αD[30],0.506,0.166,0.208,0.8
αD[31],0.404,0.174,0.097,0.701
αD[32],0.125,0.157,0.0,0.44
αD[33],0.359,0.128,0.137,0.605
αD[34],0.35,0.17,0.087,0.672
αD[35],0.508,0.172,0.198,0.804
αD[36],0.373,0.134,0.151,0.638
αD[37],0.076,0.056,0.008,0.176
αD[38],0.516,0.171,0.222,0.835
αD[39],0.14,0.08,0.028,0.286
αD[40],0.065,0.039,0.013,0.139
αD[41],0.366,0.131,0.137,0.624
αD[42],0.006,0.01,0.0,0.018
αD[43],0.5,0.162,0.206,0.789
αD[44],0.51,0.173,0.2,0.818
αD[45],0.399,0.19,0.084,0.747
αD[46],0.514,0.164,0.228,0.828
αD[47],0.514,0.164,0.215,0.787
αD[48],0.482,0.173,0.173,0.796
αD[49],0.019,0.028,0.0,0.06
αD[50],0.08,0.095,0.001,0.253
αD[51],0.521,0.175,0.213,0.826
αD[52],0.474,0.169,0.186,0.802
αD[53],0.39,0.192,0.073,0.736
αD[54],0.497,0.171,0.192,0.803
αD[55],0.427,0.154,0.148,0.709
αD[56],0.513,0.164,0.227,0.819
αD[57],0.428,0.149,0.17,0.722
αD[58],0.032,0.04,0.001,0.098
αD[59],0.359,0.162,0.108,0.665
αD[60],0.362,0.129,0.141,0.606
αD[61],0.416,0.161,0.121,0.716
αD[62],0.518,0.18,0.212,0.85
αD[63],0.086,0.087,0.001,0.249
αD[64],0.511,0.168,0.223,0.836
αD[65],0.522,0.171,0.225,0.835
αD[66],0.069,0.045,0.011,0.156
αDE[0],0.451,0.129,0.208,0.677
αDE[1],0.799,0.145,0.533,0.989
αDE[2],0.661,0.196,0.292,0.969
αDE[3],0.798,0.146,0.523,0.987
αDE[4],0.679,0.166,0.378,0.934
αDE[5],0.61,0.235,0.192,0.96
αDE[6],0.726,0.191,0.375,0.979
αDE[7],0.782,0.145,0.509,0.984
αDE[8],0.329,0.095,0.17,0.511
αDE[9],0.45,0.148,0.201,0.728
αDE[10],0.137,0.048,0.055,0.227
αDE[11],0.24,0.06,0.133,0.355
αDE[12],0.074,0.039,0.017,0.141
αDE[13],0.45,0.175,0.133,0.779
αDE[14],0.869,0.122,0.624,0.998
αDE[15],0.117,0.047,0.038,0.199
αDE[16],0.222,0.048,0.138,0.313
αDE[17],0.557,0.227,0.177,0.952
αDE[18],0.456,0.255,0.027,0.873
αDE[19],0.275,0.118,0.085,0.503
αDE[20],0.829,0.126,0.593,0.991
αDE[21],0.029,0.028,0.001,0.08
αDE[22],0.842,0.138,0.576,0.997
αDE[23],0.758,0.174,0.431,0.986
αDE[24],0.489,0.188,0.137,0.819
αDE[25],0.523,0.172,0.226,0.837
αDE[26],0.737,0.198,0.365,0.993
αDE[27],0.547,0.197,0.202,0.893
αDE[28],0.077,0.066,0.004,0.198
αDE[29],0.038,0.038,0.002,0.105
αDE[30],0.789,0.138,0.521,0.976
αDE[31],0.308,0.086,0.156,0.467
αDE[32],0.498,0.244,0.095,0.923
αDE[33],0.711,0.169,0.403,0.96
αDE[34],0.618,0.191,0.261,0.929
αDE[35],0.715,0.194,0.35,0.984
αDE[36],0.678,0.137,0.448,0.931
αDE[37],0.545,0.184,0.173,0.846
αDE[38],0.764,0.133,0.531,0.976
αDE[39],0.308,0.103,0.133,0.506
αDE[40],0.277,0.071,0.148,0.407
αDE[41],0.812,0.138,0.554,0.99
αDE[42],0.079,0.039,0.021,0.147
αDE[43],0.796,0.133,0.543,0.983
αDE[44],0.429,0.148,0.172,0.722
αDE[45],0.194,0.086,0.059,0.354
αDE[46],0.767,0.141,0.505,0.978
αDE[47],0.568,0.12,0.348,0.77
αDE[48],0.787,0.146,0.522,0.984
αDE[49],0.131,0.101,0.005,0.316
αDE[50],0.516,0.217,0.138,0.895
αDE[51],0.414,0.157,0.11,0.684
αDE[52],0.776,0.144,0.517,0.975
αDE[53],0.419,0.166,0.102,0.696
αDE[54],0.814,0.137,0.536,0.986
αDE[55],0.517,0.135,0.283,0.775
αDE[56],0.774,0.138,0.52,0.974
αDE[57],0.745,0.154,0.464,0.978
αDE[58],0.211,0.069,0.091,0.337
αDE[59],0.616,0.123,0.38,0.818
αDE[60],0.638,0.132,0.392,0.868
αDE[61],0.236,0.095,0.073,0.41
αDE[62],0.863,0.12,0.614,0.997
αDE[63],0.559,0.188,0.201,0.854
αDE[64],0.75,0.141,0.498,0.971
αDE[65],0.765,0.157,0.46,0.98
αDE[66],0.192,0.06,0.095,0.304
αDEF[0],0.596,0.214,0.202,0.948
αDEF[1],0.806,0.152,0.517,0.992
αDEF[2],0.046,0.024,0.01,0.085
αDEF[3],0.829,0.143,0.546,0.992
αDEF[4],0.173,0.059,0.071,0.283
αDEF[5],0.675,0.149,0.413,0.943
αDEF[6],0.142,0.127,0.004,0.368
αDEF[7],0.793,0.159,0.487,0.988
αDEF[8],0.67,0.193,0.319,0.971
αDEF[9],0.479,0.161,0.197,0.774
αDEF[10],0.382,0.198,0.064,0.739
αDEF[11],0.612,0.199,0.242,0.921
αDEF[12],0.177,0.061,0.077,0.293
αDEF[13],0.692,0.179,0.365,0.971
αDEF[14],0.73,0.185,0.376,0.988
αDEF[15],0.366,0.192,0.054,0.711
αDEF[16],0.559,0.183,0.239,0.886
αDEF[17],0.019,0.017,0.001,0.046
αDEF[18],0.677,0.206,0.287,0.985
αDEF[19],0.03,0.023,0.004,0.067
αDEF[20],0.719,0.156,0.434,0.969
αDEF[21],0.565,0.179,0.229,0.87
αDEF[22],0.824,0.136,0.578,0.989
αDEF[23],0.733,0.192,0.364,0.988
αDEF[24],0.842,0.137,0.566,0.994
αDEF[25],0.435,0.147,0.173,0.7
αDEF[26],0.576,0.216,0.21,0.946
αDEF[27],0.03,0.016,0.009,0.06
αDEF[28],0.103,0.056,0.023,0.211
αDEF[29],0.668,0.203,0.311,0.974
αDEF[30],0.822,0.154,0.514,0.995
αDEF[31],0.348,0.169,0.059,0.658
αDEF[32],0.012,0.01,0.001,0.027
αDEF[33],0.728,0.169,0.418,0.982
αDEF[34],0.088,0.026,0.041,0.133
αDEF[35],0.732,0.144,0.451,0.949
αDEF[36],0.723,0.146,0.435,0.943
αDEF[37],0.464,0.146,0.204,0.732
αDEF[38],0.747,0.175,0.421,0.993
αDEF[39],0.766,0.146,0.504,0.983
αDEF[40],0.488,0.152,0.229,0.778
αDEF[41],0.568,0.205,0.204,0.926
αDEF[42],0.436,0.242,0.041,0.849
αDEF[43],0.686,0.189,0.328,0.975
αDEF[44],0.136,0.029,0.081,0.189
αDEF[45],0.467,0.198,0.139,0.834
αDEF[46],0.829,0.14,0.564,0.994
αDEF[47],0.793,0.154,0.492,0.994
αDEF[48],0.811,0.157,0.52,0.994
αDEF[49],0.071,0.031,0.024,0.13
αDEF[50],0.038,0.029,0.005,0.091
αDEF[51],0.55,0.224,0.191,0.952
αDEF[52],0.819,0.145,0.533,0.994
αDEF[53],0.499,0.219,0.129,0.879
αDEF[54],0.824,0.146,0.549,0.994
αDEF[55],0.566,0.199,0.223,0.922
αDEF[56],0.792,0.146,0.509,0.989
αDEF[57],0.836,0.131,0.592,0.994
αDEF[58],0.112,0.022,0.07,0.149
αDEF[59],0.792,0.151,0.501,0.996
αDEF[60],0.678,0.146,0.405,0.922
αDEF[61],0.137,0.048,0.054,0.225
αDEF[62],0.755,0.167,0.451,0.983
αDEF[63],0.05,0.02,0.018,0.086
αDEF[64],0.777,0.147,0.485,0.981
αDEF[65],0.829,0.136,0.566,0.988
αDEF[66],0.127,0.027,0.08,0.177
αS[0],0.006,0.006,0.0,0.016
αS[1],0.598,0.192,0.264,0.913
αS[2],0.029,0.018,0.005,0.065
αS[3],0.6,0.187,0.242,0.897
αS[4],0.384,0.19,0.051,0.717
αS[5],0.007,0.007,0.0,0.018
αS[6],0.003,0.004,0.0,0.01
αS[7],0.476,0.203,0.144,0.85
αS[8],0.598,0.194,0.26,0.941
αS[9],0.501,0.19,0.16,0.839
