R2,Median
0.2506445,0.599308829
0.576215397,
-0.359064314,
0.804854132,
0.58310727,
0.362470222,
0.089467547,
0.873265468,
0.725460867,
0.619622358,
0.362935844,
0.794535619,
0.518581363,
0.468802619,
0.639282825,
0.441380561,
0.635671437,
0.008766798,
0.572400884,
0.286525318,
0.871618639,
0.101552134,
0.858161849,
0.680332684,
0.583735945,
0.599308829,
0.575873722,
0.2551278,
-0.923648333,
0.25657667,
0.865483364,
0.697588896,
0.051977612,
0.65396359,
-0.101491673,
0.790602307,
0.808741549,
0.396286932,
0.815149286,
0.563511685,
0.69654158,
0.560646141,
0.045856522,
0.826361145,
0.481320175,
0.372129531,
0.800792515,
0.731657136,
0.580524065,
0.147066714,
0.039531483,
0.608083607,
0.823775656,
0.607420646,
0.889684953,
0.336092603,
0.898939115,
0.796231441,
0.137126896,
0.79516448,
0.783719345,
0.610376607,
0.667519055,
0.48152427,
0.864374322,
0.786095102,
0.67498513,
