,mean,sd,hpd_3%,hpd_97%
α_mean,0.009,0.001,0.007,0.011
α_sd,0.005,0.001,0.004,0.006
α[0],0.009,0.001,0.006,0.011
α[1],0.011,0.001,0.009,0.014
α[2],0.001,0.0,0.0,0.001
α[3],0.009,0.001,0.007,0.011
α[4],0.006,0.001,0.004,0.008
α[5],0.012,0.001,0.009,0.014
α[6],0.008,0.001,0.006,0.011
α[7],0.007,0.001,0.005,0.009
α[8],0.012,0.002,0.009,0.015
α[9],0.008,0.001,0.006,0.01
α[10],0.022,0.002,0.018,0.027
α[11],0.012,0.002,0.01,0.016
α[12],0.009,0.001,0.007,0.012
α[13],0.005,0.001,0.003,0.007
α[14],0.009,0.001,0.006,0.011
α[15],0.007,0.001,0.005,0.01
α[16],0.015,0.002,0.012,0.018
α[17],0.003,0.001,0.001,0.004
α[18],0.014,0.002,0.011,0.017
α[19],0.0,0.0,0.0,0.001
α[20],0.007,0.001,0.005,0.01
α[21],0.017,0.002,0.014,0.021
α[22],0.008,0.001,0.006,0.01
α[23],0.008,0.001,0.006,0.01
α[24],0.009,0.001,0.007,0.012
α[25],0.008,0.001,0.006,0.01
α[26],0.015,0.002,0.011,0.018
α[27],0.004,0.001,0.002,0.006
α[28],0.016,0.002,0.013,0.02
α[29],0.02,0.002,0.016,0.024
α[30],0.007,0.001,0.005,0.01
α[31],0.007,0.001,0.005,0.01
α[32],0.011,0.001,0.008,0.013
α[33],0.008,0.001,0.006,0.01
α[34],0.0,0.0,0.0,0.001
α[35],0.007,0.001,0.005,0.009
α[36],0.009,0.001,0.007,0.012
α[37],0.004,0.001,0.003,0.006
α[38],0.008,0.001,0.006,0.011
α[39],0.005,0.001,0.003,0.007
α[40],0.01,0.001,0.008,0.013
α[41],0.009,0.001,0.007,0.012
α[42],0.023,0.002,0.019,0.028
α[43],0.01,0.001,0.007,0.012
α[44],0.009,0.001,0.006,0.011
α[45],0.004,0.001,0.002,0.006
α[46],0.009,0.001,0.006,0.011
α[47],0.011,0.001,0.008,0.013
α[48],0.006,0.001,0.004,0.008
α[49],0.015,0.002,0.012,0.018
α[50],0.006,0.001,0.004,0.008
α[51],0.007,0.001,0.005,0.009
α[52],0.009,0.001,0.006,0.011
α[53],0.009,0.001,0.006,0.011
α[54],0.007,0.001,0.005,0.009
α[55],0.005,0.001,0.003,0.007
α[56],0.008,0.001,0.006,0.01
α[57],0.008,0.001,0.006,0.011
α[58],0.007,0.001,0.005,0.009
α[59],0.01,0.001,0.008,0.013
α[60],0.009,0.001,0.007,0.012
α[61],0.008,0.001,0.006,0.01
α[62],0.009,0.001,0.006,0.011
α[63],0.01,0.001,0.007,0.012
α[64],0.008,0.001,0.006,0.01
α[65],0.009,0.001,0.007,0.011
α[66],0.007,0.001,0.005,0.009
