R2,Median
-0.08396836,0.036451528
0.079411337,
-0.512643661,
0.055275004,
0.02784611,
0.067022793,
-0.026102002,
0.028223564,
0.075818934,
0.065435791,
0.159744427,
0.115404908,
0.053615819,
-0.024410037,
0.05538366,
0.009948547,
0.169297809,
-0.042593073,
0.14790017,
-0.02503264,
0.031326709,
0.037606301,
0.035429047,
0.038150793,
0.050546707,
0.061293666,
0.145700541,
-0.019273767,
-1.212018114,
-0.135872939,
0.030753702,
0.052885124,
0.053010392,
0.034963787,
-0.358386139,
0.027907588,
0.050823982,
-0.011043769,
0.036451528,
0.005479013,
0.060294043,
0.033212044,
-0.159160966,
0.06270851,
0.046287506,
-0.009774506,
0.044450989,
0.065671336,
-0.044031604,
-0.067644653,
-0.04352656,
0.026025948,
0.053996133,
0.071152993,
0.024933773,
-0.023556987,
0.030634061,
0.03751224,
-0.020238476,
0.057966309,
0.05060442,
0.051409261,
0.050180512,
0.0749911,
0.035939883,
0.048772339,
0.017368957,
